Time	[Extracellular Calcium]	[Cytosolic Calcium]	[IP3]	[Intravesicular Calcium]	[Glycogen Phosphorylase]
0	1000	0	0.45	0.36	1
1	1000	0.465286	0.582995	1.20992	0.325367
2	1000	0.209428	0.74292	1.46911	0.134053
3	1000	0.15787	0.617593	1.27792	0.266167
4	1000	0.13662	0.448308	0.985562	0.516726
5	1000	0.245505	0.274978	0.611543	0.836686
6	1000	0.63305	0.235179	0.471432	0.99028
7	1000	0.404241	0.55002	1.3151	0.25525
8	1000	0.205297	0.722765	1.46424	0.14614
9	1000	0.156299	0.608545	1.26564	0.277723
10	1000	0.136813	0.439558	0.969616	0.531162
11	1000	0.257907	0.268267	0.594497	0.851257
12	1000	0.650049	0.239152	0.487455	0.991202
13	1000	0.383709	0.57462	1.34469	0.231499
14	1000	0.201751	0.720032	1.45846	0.149009
15	1000	0.154754	0.601203	1.25323	0.287475
16	1000	0.13721	0.430944	0.95347	0.545523
17	1000	0.270958	0.261912	0.578004	0.865339
18	1000	0.664828	0.243763	0.507228	0.991912
19	1000	0.364882	0.597649	1.37068	0.211886
20	1000	0.198399	0.716877	1.45216	0.152244
21	1000	0.153257	0.59376	1.24062	0.2975
22	1000	0.137891	0.42231	0.937092	0.560058
23	1000	0.284706	0.255935	0.562108	0.878872
24	1000	0.676968	0.249066	0.530945	0.992435
25	1000	0.347715	0.618781	1.39328	0.195795
26	1000	0.195223	0.713335	1.44536	0.155842
27	1000	0.151805	0.586218	1.22783	0.307795
28	1000	0.138898	0.413661	0.92047	0.574761
29	1000	0.299179	0.250373	0.546851	0.891768
30	1000	0.686072	0.255125	0.558721	0.992787
31	1000	0.332128	0.637818	1.41271	0.182664
32	1000	0.192207	0.709439	1.43811	0.159798
33	1000	0.1504	0.578585	1.21485	0.318351
34	1000	0.140282	0.405004	0.903587	0.589625
35	1000	0.314413	0.245258	0.532267	0.903951
36	1000	0.691788	0.262019	0.590613	0.992972
37	1000	0.318007	0.654692	1.42924	0.171996
38	1000	0.189336	0.705216	1.43042	0.164108
39	1000	0.14904	0.570864	1.20169	0.329164
40	1000	0.142093	0.396342	0.886427	0.604649
41	1000	0.330436	0.240621	0.518405	0.915346
42	1000	0.693826	0.269836	0.626552	0.992837
43	1000	0.30523	0.669425	1.44313	0.163368
44	1000	0.186599	0.700691	1.42234	0.16877
45	1000	0.147726	0.563061	1.18836	0.340226
46	1000	0.144389	0.387684	0.868985	0.619823
47	1000	0.347271	0.236489	0.505316	0.925889
48	1000	0.691983	0.278683	0.666385	0.989374
49	1000	0.293662	0.682122	1.45463	0.156426
50	1000	0.183983	0.695886	1.41387	0.173783
51	1000	0.146461	0.55518	1.17485	0.351532
52	1000	0.147225	0.379036	0.851247	0.635143
53	1000	0.364934	0.232885	0.493066	0.935535
54	1000	0.686157	0.288673	0.709834	0.963089
55	1000	0.283183	0.692906	1.46399	0.150892
56	1000	0.18148	0.690822	1.40504	0.179141
57	1000	0.145244	0.547225	1.16117	0.363076
58	1000	0.150654	0.370409	0.833219	0.650595
59	1000	0.383419	0.229827	0.481741	0.944254
60	1000	0.676374	0.299934	0.756476	0.907775
61	1000	0.273669	0.701941	1.47141	0.146533
62	1000	0.17908	0.685517	1.39588	0.184844
63	1000	0.14408	0.539199	1.14733	0.374854
64	1000	0.15473	0.361813	0.814906	0.66617
65	1000	0.40271	0.227323	0.471435	0.95204
66	1000	0.662783	0.312605	0.805805	0.840798
67	1000	0.265012	0.709383	1.4771	0.14317
68	1000	0.176775	0.679987	1.38639	0.190888
69	1000	0.142971	0.531107	1.13332	0.386858
70	1000	0.159493	0.35326	0.796333	0.681852
71	1000	0.42276	0.225377	0.462271	0.95891
72	1000	0.645674	0.32682	0.85716	0.770418
73	1000	0.257116	0.715387	1.48122	0.140661
74	1000	0.174558	0.674248	1.37659	0.197269
75	1000	0.141923	0.522953	1.11915	0.399085
76	1000	0.164977	0.344764	0.777533	0.697626
77	1000	0.443503	0.223989	0.454385	0.964899
78	1000	0.625464	0.342712	0.909815	0.699987
79	1000	0.24989	0.720103	1.48395	0.13889
80	1000	0.172423	0.668313	1.3665	0.203985
81	1000	0.140939	0.514739	1.10481	0.411529
82	1000	0.171201	0.336342	0.75856	0.713466
83	1000	0.464844	0.223151	0.447932	0.970063
84	1000	0.602688	0.360386	0.962953	0.631393
85	1000	0.243259	0.723664	1.48542	0.137769
86	1000	0.170364	0.662194	1.35614	0.211029
87	1000	0.140028	0.50647	1.09031	0.424184
88	1000	0.178171	0.328011	0.739476	0.729349
89	1000	0.486663	0.222854	0.443091	0.97447
90	1000	0.577964	0.379901	1.01574	0.56595
91	1000	0.237152	0.72619	1.48575	0.13723
92	1000	0.168377	0.655903	1.3455	0.218401
93	1000	0.139197	0.498147	1.07564	0.437049
94	1000	0.185883	0.319793	0.720362	0.74524
95	1000	0.508798	0.223088	0.440055	0.978196
96	1000	0.551964	0.401243	1.06734	0.504697
97	1000	0.231511	0.727789	1.48504	0.137218
98	1000	0.166456	0.64945	1.33462	0.226092
99	1000	0.138458	0.489777	1.06081	0.450116
100	1000	0.194321	0.311712	0.701301	0.761099
