Time	[Receptor 1]	[Receptor 2]	[ligand receptor complex-plasma membrane]	[ligand receptor complex-endosome]	[Receptor 1-endosome]	[Receptor 2 endosome]
0	20	20	0	40	0	0
1	21.8433	18.4798	0.00902373	38.6903	6.8737	6.28673
2	23.2891	17.5508	0.014017	37.4257	14.0566	11.9727
3	24.4658	17.0209	0.0168727	36.2039	21.4308	17.2378
4	25.4602	16.7605	0.0186279	35.0228	28.9171	22.2039
5	26.3308	16.6819	0.01984	33.8809	36.4622	26.9538
6	27.1174	16.7258	0.0208018	32.7769	44.0306	31.5436
7	27.8466	16.8521	0.0216631	31.7093	51.5987	36.0118
8	28.5366	17.034	0.0224974	30.677	59.1509	40.3847
9	29.1995	17.2531	0.0233389	29.6788	66.677	44.6805
10	29.8438	17.4971	0.0242017	28.7136	74.1704	48.9116
11	30.4748	17.7577	0.0250904	27.7803	81.6271	53.0869
12	31.0965	18.0293	0.0260052	26.8779	89.0446	57.2127
13	31.7114	18.308	0.0269446	26.0054	96.4215	61.2936
14	32.3213	18.5913	0.0279066	25.1619	103.757	65.3328
15	32.9272	18.8774	0.0288895	24.3463	111.052	69.3329
16	33.53	19.1652	0.0298916	23.5578	118.305	73.2961
17	34.1302	19.454	0.0309116	22.7954	125.518	77.2239
18	34.7282	19.7431	0.0319486	22.0584	132.691	81.1176
19	35.3243	20.0322	0.0330017	21.3459	139.825	84.9785
20	35.9185	20.3212	0.0340705	20.6571	146.919	88.8075
21	36.5111	20.6097	0.0351543	19.9912	153.976	92.6057
22	37.1021	20.8977	0.0362529	19.3475	160.995	96.3739
23	37.6915	21.1851	0.037366	18.7253	167.978	100.113
24	38.2794	21.4719	0.0384933	18.1239	174.925	103.823
25	38.8658	21.7581	0.0396346	17.5425	181.836	107.506
26	39.4508	22.0436	0.0407897	16.9806	188.713	111.162
27	40.0343	22.3284	0.0419586	16.4374	195.556	114.791
28	40.6164	22.6125	0.043141	15.9125	202.366	118.395
29	41.197	22.8959	0.0443369	15.4052	209.143	121.973
30	41.7763	23.1785	0.045546	14.9149	215.888	125.527
31	42.354	23.4605	0.0467683	14.441	222.601	129.057
32	42.9304	23.7418	0.0480036	13.9832	229.284	132.564
33	43.5054	24.0223	0.0492519	13.5407	235.936	136.048
34	44.0789	24.3022	0.0505129	13.1131	242.559	139.509
35	44.6511	24.5813	0.0517867	12.7	249.152	142.949
36	45.2219	24.8597	0.053073	12.3008	255.716	146.367
37	45.7912	25.1375	0.0543718	11.9152	262.252	149.764
38	46.3592	25.4145	0.055683	11.5426	268.76	153.141
39	46.9257	25.6908	0.0570064	11.1826	275.241	156.498
40	47.4909	25.9664	0.058342	10.8349	281.695	159.835
41	48.0547	26.2413	0.0596896	10.4991	288.122	163.154
42	48.6171	26.5155	0.0610492	10.1747	294.523	166.453
43	49.1782	26.789	0.0624206	9.86134	300.899	169.734
44	49.7379	27.0619	0.0638036	9.55873	307.249	172.997
45	50.2962	27.334	0.0651983	9.26651	313.574	176.242
46	50.8531	27.6054	0.0666045	8.98432	319.875	179.47
47	51.4086	27.8761	0.0680221	8.71185	326.151	182.681
48	51.9628	28.1462	0.0694509	8.44878	332.404	185.875
49	52.5157	28.4155	0.0708909	8.1948	338.633	189.054
50	53.0672	28.6842	0.0723421	7.94962	344.839	192.216
51	53.6173	28.9522	0.0738042	7.71296	351.022	195.362
52	54.1661	29.2195	0.0752772	7.48454	357.182	198.493
53	54.7135	29.4861	0.076761	7.26409	363.321	201.609
54	55.2596	29.752	0.0782555	7.05135	369.437	204.71
55	55.8044	30.0173	0.0797606	6.84609	375.531	207.796
56	56.3478	30.2819	0.0812761	6.64804	381.604	210.869
57	56.8899	30.5458	0.0828021	6.45699	387.656	213.927
58	57.4306	30.809	0.0843383	6.2727	393.687	216.971
59	57.97	31.0716	0.0858847	6.09496	399.698	220.001
60	58.5081	31.3334	0.0874412	5.92356	405.688	223.018
61	59.0449	31.5947	0.0890078	5.75829	411.657	226.022
62	59.5804	31.8552	0.0905842	5.59895	417.607	229.013
63	60.1145	32.1151	0.0921704	5.44535	423.537	231.992
64	60.6473	32.3743	0.0937663	5.29731	429.448	234.957
65	61.1789	32.6328	0.0953719	5.15465	435.339	237.911
66	61.7091	32.8907	0.096987	5.01719	441.211	240.852
67	62.238	33.1479	0.0986115	4.88477	447.064	243.781
68	62.7656	33.4045	0.100245	4.75722	452.899	246.699
69	63.2919	33.6604	0.101888	4.6344	458.715	249.604
70	63.8169	33.9156	0.103541	4.51614	464.513	252.499
71	64.3406	34.1702	0.105202	4.4023	470.292	255.382
72	64.8631	34.4242	0.106872	4.29274	476.054	258.253
73	65.3842	34.6774	0.108552	4.18732	481.797	261.114
74	65.9041	34.9301	0.11024	4.08591	487.523	263.964
75	66.4226	35.182	0.111936	3.98838	493.232	266.803
76	66.9399	35.4334	0.113642	3.8946	498.923	269.632
77	67.456	35.6841	0.115355	3.80446	504.597	272.45
78	67.9707	35.9341	0.117078	3.71783	510.254	275.258
79	68.4842	36.1835	0.118808	3.63462	515.894	278.056
80	68.9965	36.4323	0.120547	3.5547	521.517	280.843
81	69.5074	36.6804	0.122294	3.47797	527.124	283.621
82	70.0171	36.9278	0.12405	3.40433	532.714	286.389
83	70.5256	37.1747	0.125813	3.33368	538.288	289.147
84	71.0328	37.4209	0.127584	3.26593	543.845	291.896
85	71.5387	37.6664	0.129363	3.20098	549.387	294.635
86	72.0434	37.9114	0.13115	3.13874	554.912	297.364
87	72.5469	38.1557	0.132945	3.07913	560.421	300.085
88	73.0491	38.3993	0.134747	3.02207	565.915	302.796
89	73.55	38.6424	0.136556	2.96747	571.393	305.498
90	74.0498	38.8848	0.138373	2.91525	576.856	308.191
91	74.5483	39.1266	0.140198	2.86534	582.303	310.875
92	75.0455	39.3677	0.14203	2.81767	587.734	313.55
93	75.5416	39.6083	0.143868	2.77216	593.151	316.217
