Time	[AA]	[5-HPETE]	[5-HETE]	[LTA4]	[LTB4]	[w-LTB4]	[PLA2]	[15-LOX]	[12-LOX]	[COX-2]	[PGES]	[15-HPETE]	[TXAS]	[5-LOX]	[LTA4H]	[CYP4F3]	[PHGPx]	[exo-AA]	[15-HETE]	[12-HPETE]	[12-HETE]	[PGH2]	[PGE2]	[TXA2]	[TXB2]
0	0.001	0.001	0.001	0.001	0.001	0.001	1.5	1.5	0.5	0.2	0.5	0.001	0.5	5	0.76	0.07	0.8	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1	0.00955424	0.00966877	0.0396922	7.54728	11.9545	4.87307	1.5	1.63429	0.407081	0.2	0.5	0.0336735	0.493863	2.72686	0.62792	0.07	0.8	0	0.117965	0.0124183	0.0505544	0.000184363	0.00221766	0.0261898	0.00226959
2	0.0200289	0.0203193	0.121529	11.1942	24.7495	12.7401	1.5	1.76727	0.240843	0.2	0.5	0.0768121	0.47854	1.43296	0.462261	0.07	0.8	0	0.415028	0.0160791	0.134483	0.000398882	0.00467505	0.0752982	0.00705324
3	0.0521543	0.0526489	0.308065	16.5442	34.9493	20.9417	1.5	1.89894	0.0683981	0.2	0.5	0.2034	0.443698	0.641965	0.312121	0.07	0.8	0	1.12472	0.0126354	0.220609	0.00111796	0.0101561	0.185941	0.0192248
4	0.250083	0.231764	0.979255	22.2176	41.2229	29.0379	1.5	2.0293	0.000644765	0.2	0.5	0.969065	0.335289	0.15781	0.193308	0.07	0.8	0	3.73503	0.00167207	0.26162	0.00706821	0.0281725	0.610956	0.0534594
5	0.675935	0.363997	2.97551	19.489	42.8845	36.4323	1.5	2.15836	2.48352e-13	0.2	0.5	3.45822	0.0900031	0.0329367	0.116838	0.07	0.8	0	15.5084	6.91956e-06	0.263514	0.0666067	0.108117	2.26243	0.185778
6	0.736752	0.168642	4.42459	14.0335	41.1299	42.8815	1.5	2.28613	-8.20369e-21	0.2	0.5	4.54967	0.00739589	0.0161429	0.0753526	0.07	0.8	0	36.4815	2.28935e-08	0.263521	0.465792	0.573965	3.89986	0.504809
7	0.716059	0.101308	5.14	10.4938	37.7048	48.7459	1.5	2.41264	-3.73229e-26	0.2	0.5	4.92256	0.000392964	0.0149414	0.0523016	0.07	0.8	0	59.3469	7.57445e-11	0.263521	1.14446	2.09619	4.0466	0.910562
8	0.686593	0.0866396	5.65278	8.22121	33.665	54.128	1.5	2.53788	-8.13272e-28	0.2	0.5	5.18262	1.65681e-05	0.018566	0.0384848	0.07	0.8	0	82.4395	2.50756e-13	0.263521	1.43682	4.26065	3.70399	1.29768
9	0.656268	0.0884605	6.13639	6.68367	29.5495	59.02	1.5	2.66188	4.21022e-31	0.2	0.5	5.40574	5.95436e-07	0.0256948	0.0296246	0.07	0.8	0	105.451	8.30204e-16	0.263521	1.50858	6.43534	3.35343	1.64883
10	0.62719	0.0958627	6.64814	5.60055	25.6364	63.4011	1.5	2.78465	3.22041e-32	0.2	0.5	5.60908	1.87734e-08	0.0359392	0.0236155	0.07	0.8	0	128.266	2.75094e-18	0.263521	1.52216	8.45209	3.03438	1.96615
11	0.600371	0.103685	7.20345	4.81778	22.0677	67.2625	1.5	2.9062	1.6328e-33	0.2	0.5	5.8031	5.25739e-10	0.0483372	0.0193436	0.07	0.8	0	150.836	9.28931e-21	0.263521	1.52185	10.3007	2.74562	2.2528
12	0.576323	0.108797	7.79495	4.24124	18.9042	70.6161	1.5	3.02653	-5.62987e-32	0.2	0.5	5.99642	1.33494e-11	0.0610606	0.0161824	0.07	0.8	0	173.153	5.93942e-23	0.263521	1.51915	12.0001	2.48434	2.51169
13	0.555167	0.109601	8.40213	3.80545	16.1541	73.4945	1.5	3.14567	1.12324e-32	0.2	0.5	6.19567	4.7038e-13	0.0718542	0.0137629	0.07	0.8	0	195.241	6.94444e-24	0.263521	1.51774	13.5717	2.24792	2.74548
14	0.536689	0.105839	8.99955	3.46125	13.7934	75.9451	1.5	3.26362	2.93003e-33	0.2	0.5	6.40446	3.82189e-14	0.078865	0.0118607	0.07	0.8	0	217.138	6.76858e-25	0.263521	1.51887	15.0349	2.03401	2.95654
15	0.520445	0.098221	9.56339	3.17273	11.7811	78.0224	1.5	3.3804	-4.80928e-32	0.2	0.5	6.62315	-8.71888e-15	0.0812886	0.0103348	0.07	0.8	0	238.883	8.61871e-25	0.263521	1.52269	16.4057	1.84044	3.14705
16	0.505923	0.0879675	10.0755	2.91656	10.0707	79.7809	1.5	3.49602	-2.42566e-32	0.2	0.5	6.84959	-1.72041e-15	0.0794477	0.00909368	0.07	0.8	0	260.508	-1.23413e-25	0.263521	1.52871	17.6972	1.6653	3.31896
17	0.492666	0.0764024	10.5252	2.6801	8.61708	81.2706	1.5	3.61048	2.18254e-31	0.2	0.5	7.08053	2.28578e-15	0.0743916	0.00807442	0.07	0.8	0	282.032	-2.64117e-25	0.263521	1.53615	18.9198	1.50683	3.47404
18	0.480335	0.0646743	10.9085	2.45817	7.37993	82.5352	1.5	3.72381	-5.97585e-33	0.2	0.5	7.31282	-1.63596e-17	0.0673778	0.0072315	0.07	0.8	0	303.462	-5.19447e-26	0.263521	1.54425	20.0818	1.36344	3.61388
