Time	[Ca in the cytosol]	[Ca in the InsP3-insensitive pool]
0	0.1	1.4
1	0.121828	1.11954
2	0.114229	0.94953
3	0.109248	0.838878
4	0.105992	0.76709
5	0.673755	0.877793
6	0.473937	1.18322
7	0.29356	1.28061
8	0.2928	1.7201
9	0.258579	1.7179
10	0.316729	2.05186
11	0.26827	2.1742
12	0.244985	2.19914
13	0.22478	2.15553
14	0.207371	2.06416
15	0.19219	1.94283
16	0.178879	1.80602
17	0.1672	1.6648
18	0.156978	1.52704
19	0.148074	1.39798
20	0.140362	1.28069
21	0.133729	1.17663
22	0.128063	1.08608
23	0.123258	1.0085
24	0.119212	0.942877
25	0.115824	0.887931
26	0.113004	0.842294
27	0.110667	0.804627
28	0.108739	0.773683
29	0.107152	0.748351
30	0.105849	0.727662
31	0.104781	0.710795
32	0.103908	0.697055
33	0.103194	0.685869
34	0.10261	0.676764
35	0.102133	0.669352
36	0.101743	0.663315
37	0.101425	0.658397
38	0.101165	0.65439
39	0.100953	0.651123
40	0.100779	0.648457
41	0.100637	0.646282
42	0.100521	0.644507
43	0.100426	0.643057
44	0.100349	0.641872
45	0.100286	0.640904
46	0.100234	0.640113
47	0.100191	0.639466
48	0.100157	0.638937
49	0.100128	0.638505
50	0.100105	0.638151
51	0.100086	0.637861
52	0.10007	0.637624
53	0.100058	0.63743
54	0.100047	0.637272
55	0.100039	0.637142
56	0.100032	0.637036
57	0.100026	0.636949
58	0.100021	0.636877
59	0.100017	0.636819
60	0.100014	0.636771
61	0.100012	0.636732
62	0.10001	0.6367
63	0.100008	0.636674
64	0.100006	0.636653
65	0.100005	0.636635
66	0.100004	0.636621
67	0.100004	0.636609
68	0.100003	0.636599
69	0.100002	0.636591
70	0.100002	0.636585
71	0.100002	0.63658
72	0.100001	0.636575
73	0.100001	0.636572
74	0.100001	0.636569
75	0.100001	0.636566
76	0.100001	0.636565
77	0.1	0.636563
78	0.1	0.636562
79	0.1	0.636561
80	0.1	0.63656
81	0.1	0.636559
82	0.1	0.636558
83	0.1	0.636558
84	0.1	0.636557
85	0.1	0.636557
86	0.1	0.636557
87	0.1	0.636557
88	0.1	0.636556
89	0.1	0.636556
90	0.1	0.636556
91	0.1	0.636556
92	0.1	0.636556
93	0.1	0.636556
94	0.1	0.636556
95	0.1	0.636556
96	0.1	0.636556
97	0.1	0.636556
98	0.1	0.636556
99	0.1	0.636556
100	0.1	0.636556
