Time	Values[zzs]	Values[bbs]	Values[hhs]	Values[nns]
0	0.00141	0.203517	0.98786	0.02457
1	0.00141127	0.202958	0.980729	0.0254055
2	0.00141517	0.201415	0.977136	0.0268629
3	0.00142182	0.199072	0.974596	0.0284277
4	0.00143137	0.196082	0.972349	0.0300065
5	0.00144393	0.192576	0.970168	0.0315808
6	0.00145961	0.188665	0.967985	0.0331461
7	0.00147852	0.184441	0.965782	0.0347013
8	0.00150077	0.179981	0.963555	0.0362465
9	0.00152646	0.175352	0.961303	0.0377825
10	0.0015557	0.170606	0.959024	0.0393111
11	0.00158859	0.165788	0.956717	0.0408349
12	0.00162526	0.160935	0.954378	0.0423571
13	0.00166584	0.156078	0.952003	0.0438816
14	0.00171046	0.151239	0.949586	0.0454131
15	0.0017593	0.14644	0.947118	0.0469572
16	0.00181254	0.141695	0.944589	0.0485201
17	0.0018704	0.137016	0.941989	0.0501093
18	0.00193314	0.132412	0.939302	0.0517335
19	0.00200106	0.12789	0.936511	0.0534029
20	0.00207454	0.123453	0.933593	0.0551299
21	0.00215402	0.119104	0.930523	0.0569293
22	0.00224006	0.114844	0.927266	0.0588196
23	0.00233335	0.110671	0.923778	0.0608241
24	0.00243475	0.106583	0.920004	0.0629731
25	0.0025454	0.102576	0.915868	0.0653068
26	0.00266679	0.0986444	0.911265	0.0678804
27	0.00280094	0.0947803	0.906045	0.0707725
28	0.00295074	0.0909746	0.899984	0.0741009
29	0.00312046	0.0872149	0.892725	0.0780523
30	0.00331694	0.0834847	0.883659	0.0829475
31	0.00355223	0.0797606	0.871613	0.0894032
32	0.00385136	0.076007	0.853923	0.098833
33	0.00428503	0.0721595	0.822213	0.11574
34	0.00545009	0.0680539	0.701204	0.181866
35	0.0132815	0.0638181	0.280375	0.517481
36	0.0136951	0.0605882	0.648632	0.186273
37	0.0148428	0.0571928	0.644731	0.198956
38	0.0225864	0.053655	0.285165	0.508597
39	0.0229257	0.0510214	0.643407	0.188806
40	0.0244287	0.0481675	0.585948	0.231795
41	0.0315978	0.0452775	0.342911	0.445034
42	0.0317879	0.0432177	0.662638	0.177386
43	0.0327062	0.0409315	0.647824	0.197772
44	0.0402236	0.0384422	0.281861	0.512826
45	0.0402488	0.0368933	0.655015	0.181699
46	0.0404221	0.0352809	0.732059	0.147957
47	0.0452814	0.0332366	0.053886	0.844277
48	0.0484437	0.0316393	0.499014	0.297961
49	0.0482831	0.0306489	0.725172	0.143801
50	0.0482203	0.0295754	0.772286	0.130031
51	0.048702	0.0282186	0.704261	0.174475
52	0.056172	0.0265109	0.22302	0.584721
53	0.0559275	0.0258507	0.650357	0.185053
54	0.0556067	0.0253618	0.778552	0.120187
55	0.0553036	0.0248733	0.812507	0.111703
56	0.0550388	0.0243448	0.815878	0.114048
57	0.0548573	0.0237172	0.802772	0.122492
58	0.0549634	0.0228606	0.753449	0.149831
59	0.0619858	0.0215132	0.0474596	0.839291
60	0.0623832	0.0209605	0.579041	0.234897
61	0.0619384	0.0208873	0.765433	0.123494
62	0.0614682	0.0209144	0.824741	0.102739
63	0.0609708	0.0210604	0.848514	0.0955618
64	0.0604414	0.0213681	0.863468	0.0896375
65	0.0598779	0.021893	0.876917	0.0832139
66	0.0592818	0.0226975	0.890277	0.0763906
67	0.0586577	0.0238443	0.903256	0.0695852
68	0.0580118	0.0253904	0.915274	0.0631688
69	0.0573502	0.0273814	0.925929	0.0573685
70	0.0566784	0.0298482	0.93508	0.0522734
71	0.0560008	0.0328052	0.942773	0.0478786
72	0.0553208	0.0362504	0.94916	0.0441277
73	0.0546409	0.0401667	0.954432	0.0409437
74	0.0539631	0.0445241	0.958776	0.0382464
75	0.0532888	0.0492822	0.962358	0.0359618
76	0.0526191	0.0543931	0.965321	0.0340246
77	0.0519548	0.0598038	0.967779	0.0323792
78	0.0512965	0.0654592	0.969827	0.0309793
79	0.0506446	0.0713032	0.97154	0.0297864
80	0.0499995	0.0772812	0.972976	0.0287685
81	0.0493614	0.083341	0.974185	0.0278993
82	0.0487304	0.0894337	0.975204	0.027157
83	0.0481067	0.0955142	0.976063	0.0265234
84	0.0474904	0.101542	0.976789	0.0259834
85	0.0468816	0.107481	0.977401	0.0255243
86	0.0462801	0.113299	0.977916	0.0251356
87	0.0456862	0.118969	0.978347	0.0248082
88	0.0450996	0.124467	0.978707	0.0245346
89	0.0445205	0.129775	0.979004	0.0243081
90	0.0439488	0.134876	0.979247	0.0241233
91	0.0433845	0.139757	0.979441	0.0239754
92	0.0428274	0.14441	0.979594	0.0238603
93	0.0422776	0.148827	0.979709	0.0237745
94	0.041735	0.153004	0.979791	0.0237147
95	0.0411996	0.156938	0.979843	0.0236784
96	0.0406712	0.160629	0.979869	0.0236633
97	0.0401498	0.164078	0.979871	0.0236671
98	0.0396353	0.167286	0.979851	0.0236882
99	0.0391278	0.170258	0.979812	0.023725
100	0.038627	0.172997	0.979754	0.0237759
