Time	[C1]	[C2]	[C3]	[IC3]	[IC2]	[IM1]	[IM2]	[open states]	[IF]
0	0	0	1	0	0	0	0	0	0
1	0.000421858	0.0316601	0.961181	0.00651816	0.00021476	8.65271e-09	1.77457e-14	1.03302e-06	2.90858e-06
2	0.000419137	0.0314511	0.954785	0.012913	0.000425419	3.51455e-08	1.51324e-13	1.02698e-06	5.71455e-06
3	0.000416384	0.0312445	0.948511	0.0191865	0.000632071	7.84258e-08	5.12584e-13	1.02065e-06	8.46669e-06
4	0.000413683	0.0310417	0.942356	0.0253412	0.000834807	1.37961e-07	1.20968e-12	1.01443e-06	1.11667e-05
5	0.000411033	0.0308428	0.936318	0.0313792	0.0010337	2.13236e-07	2.34611e-12	1.00833e-06	1.38155e-05
6	0.287969	0.168068	0.0511369	0.00766221	0.0553369	0.00339527	3.06068e-08	0.149865	0.276567
7	0.125622	0.0578908	0.0140267	0.0237432	0.144028	0.0176825	3.75539e-07	0.0772536	0.539753
8	0.0498399	0.022304	0.00525727	0.0334433	0.18617	0.0375665	1.33782e-06	0.0320336	0.633384
9	0.0202044	0.00888202	0.00207361	0.0369174	0.199927	0.0592552	3.03751e-06	0.0139046	0.658833
10	0.0087668	0.00372323	0.000854903	0.0376948	0.202171	0.0812956	5.50843e-06	0.00686985	0.658618
11	0.00434408	0.00173246	0.000385139	0.0374305	0.200028	0.103141	8.75179e-06	0.00412722	0.648803
12	0.00262	0.000959737	0.000203153	0.0367782	0.196267	0.12459	1.27566e-05	0.00303687	0.635532
13	0.00193424	0.000655547	0.000131851	0.03599	0.191956	0.145572	1.75074e-05	0.00258279	0.62116
14	0.00164828	0.000531698	0.000103143	0.0351623	0.187501	0.166068	2.29875e-05	0.0023742	0.606588
15	0.00151661	0.00047736	9.08447e-05	0.0343321	0.183059	0.186078	2.91796e-05	0.00226084	0.592156
16	0.00144478	0.000449913	8.48866e-05	0.0335133	0.178687	0.205609	3.60668e-05	0.00218489	0.57799
17	0.00139648	0.000432965	8.13965e-05	0.0327108	0.174406	0.224671	4.36324e-05	0.0021241	0.564134
18	0.00135771	0.000420206	7.88839e-05	0.0319263	0.170222	0.243275	5.18602e-05	0.0020699	0.550598
19	0.00132311	0.00040921	7.67754e-05	0.0311601	0.166137	0.261431	6.07342e-05	0.00201898	0.537383
20	0.00129057	0.000399036	7.48497e-05	0.0304122	0.162149	0.279149	7.02388e-05	0.00197004	0.524484
21	5.84868e-06	0.000402888	0.0121288	0.687748	0.0230949	0.275977	7.20323e-05	9.99082e-08	0.000570218
22	9.36213e-06	0.000675581	0.0204829	0.682783	0.0228206	0.272596	7.38034e-05	1.05492e-07	0.000559046
23	1.2972e-05	0.000946767	0.0287158	0.677788	0.0226521	0.269255	7.55521e-05	1.13535e-07	0.000553675
24	1.65307e-05	0.0012141	0.0368319	0.67287	0.0224861	0.265956	7.72787e-05	1.21464e-07	0.000548377
25	2.00389e-05	0.00147765	0.0448328	0.668028	0.0223226	0.262697	7.89835e-05	1.2928e-07	0.000543151
26	2.34973e-05	0.00173746	0.0527204	0.66326	0.0221617	0.259478	8.06667e-05	1.36985e-07	0.000537996
27	2.69068e-05	0.00199359	0.0604963	0.658566	0.0220032	0.256298	8.23287e-05	1.4458e-07	0.00053291
28	3.0268e-05	0.0022461	0.0681621	0.653945	0.0218472	0.253158	8.39696e-05	1.52067e-07	0.000527893
29	3.35816e-05	0.00249503	0.0757194	0.649394	0.0216936	0.250056	8.55898e-05	1.59447e-07	0.000522944
30	3.68485e-05	0.00274045	0.08317	0.644914	0.0215423	0.246992	8.71895e-05	1.66723e-07	0.000518062
31	4.00691e-05	0.0029824	0.0905153	0.640502	0.0213933	0.243965	8.87689e-05	1.73896e-07	0.000513246
32	4.32443e-05	0.00322093	0.0977569	0.636158	0.0212466	0.240976	9.03283e-05	1.80966e-07	0.000508495
33	4.63747e-05	0.0034561	0.104896	0.63188	0.0211021	0.238023	9.1868e-05	1.87937e-07	0.000503808
34	4.94609e-05	0.00368795	0.111935	0.627669	0.0209598	0.235106	9.33881e-05	1.94809e-07	0.000499184
