Time	Values[v]	Values[U]
0	-70	-14
1	-70	-14
2	-70	-14
3	-70	-14
4	-70	-14
5	-70	-14
6	-70	-14
7	-70	-14
8	-70	-14
9	-70	-14
10	-70	-14
11	-61.634	-13.9827
12	-52.6347	-13.9332
13	-29.6049	-13.8312
14	-65.1227	-5.80263
15	-65.2107	-5.94587
16	-65.1542	-6.08631
17	-64.9832	-6.22352
18	-64.7199	-6.35714
19	-64.3782	-6.48691
20	-63.965	-6.61262
21	-63.4801	-6.73406
22	-62.9161	-6.85102
23	-62.2567	-6.96325
24	-61.4717	-7.07041
25	-60.5078	-7.17201
26	-59.2652	-7.26726
27	-57.5394	-7.35485
28	-54.8358	-7.43219
29	-49.5785	-7.49313
30	-32.5604	-7.51582
31	-67.7109	0.417584
32	-71.904	0.131914
33	-73.7415	-0.159703
34	-74.3097	-0.449971
35	-74.3458	-0.735523
36	-74.1772	-1.01509
37	-73.9313	-1.28828
38	-73.6558	-1.55502
39	-73.3685	-1.81535
40	-73.0763	-2.06939
41	-72.7816	-2.31723
42	-72.4852	-2.55899
43	-72.1873	-2.79479
44	-71.888	-3.02473
45	-71.587	-3.24894
46	-71.2841	-3.46751
47	-70.979	-3.68054
48	-70.6714	-3.88815
49	-70.3609	-4.09042
50	-70.047	-4.28745
51	-69.7292	-4.47933
52	-69.4072	-4.66614
53	-69.08	-4.84796
54	-68.7472	-5.02488
55	-68.4078	-5.19697
56	-68.0608	-5.36429
57	-67.705	-5.5269
58	-67.3391	-5.68487
59	-66.9613	-5.83824
60	-66.5696	-5.98704
61	-66.1613	-6.13132
62	-65.7332	-6.27108
63	-65.2812	-6.40634
64	-64.7996	-6.53707
65	-64.281	-6.66323
66	-63.7152	-6.78475
67	-63.0873	-6.90151
68	-62.3754	-7.01331
69	-61.5448	-7.11986
70	-60.5375	-7.22068
71	-59.2477	-7.315
72	-57.4586	-7.40145
73	-54.6416	-7.47734
74	-49.072	-7.53614
75	-29.9675	-7.5534
76	-68.0484	0.361065
77	-72.0458	0.0755798
78	-73.7653	-0.21522
79	-74.2835	-0.504368
80	-74.3009	-0.788695
81	-74.1256	-1.06702
82	-73.8773	-1.33897
83	-73.6008	-1.60448
84	-73.3132	-1.86362
85	-73.0207	-2.11648
86	-72.7258	-2.36317
87	-72.4292	-2.6038
88	-72.1311	-2.83849
89	-71.8315	-3.06734
90	-71.5302	-3.29048
91	-71.2269	-3.508
92	-70.9214	-3.72001
93	-70.6132	-3.9266
94	-70.3021	-4.12788
95	-69.9875	-4.32394
96	-69.669	-4.51485
97	-69.346	-4.70072
98	-69.0179	-4.88162
99	-68.6839	-5.05762
100	-68.3431	-5.22881
