Time	Values[v]	Values[u]
0	-70	-14
1	-70	-14
2	-70	-14
3	-70	-14
4	-70	-14
5	-70	-14
6	-70	-14
7	-70	-14
8	-70	-14
9	-70	-14
10	-70	-14
11	-64.305	-13.988
12	-59.4491	-13.9561
13	-53.1895	-13.9037
14	-51.5319	-13.8362
15	-47.544	-13.7596
16	-32.7887	-13.6539
17	-68.2508	-7.57096
18	-73.6772	-7.7034
19	-75.9025	-7.84783
20	-76.5899	-7.99469
21	-76.7264	-8.14007
22	-76.6843	-8.28269
23	-76.5865	-8.42218
24	-76.4722	-8.55849
25	-76.3538	-8.69164
26	-76.2353	-8.82168
27	-76.118	-8.94867
28	-76.0021	-9.0727
29	-75.888	-9.19381
30	-75.7755	-9.31207
31	-75.6647	-9.42755
32	-75.5556	-9.54032
33	-75.4482	-9.6504
34	-75.3424	-9.75789
35	-75.2382	-9.86285
36	-75.1357	-9.96531
37	-75.0348	-10.0653
38	-74.9354	-10.163
39	-74.8376	-10.2583
40	-74.7414	-10.3514
41	-74.6467	-10.4422
42	-74.5536	-10.5309
43	-74.4619	-10.6174
44	-74.3717	-10.7019
45	-74.2831	-10.7843
46	-74.1958	-10.8648
47	-74.1101	-10.9433
48	-74.0257	-11.0199
49	-73.9428	-11.0947
50	-73.8613	-11.1677
51	-73.7812	-11.2389
52	-73.7024	-11.3084
53	-73.6249	-11.3762
54	-73.5488	-11.4424
55	-73.474	-11.5069
56	-73.4006	-11.5699
57	-73.3284	-11.6314
58	-73.2575	-11.6913
59	-73.1878	-11.7498
60	-73.1195	-11.8068
61	-73.0523	-11.8625
62	-72.9864	-11.9167
63	-72.9217	-11.9697
64	-72.8581	-12.0213
65	-72.7957	-12.0717
66	-72.7345	-12.1209
67	-72.6744	-12.1688
68	-72.6155	-12.2155
69	-72.5576	-12.2611
70	-72.5008	-12.3055
71	-72.4452	-12.3489
72	-72.3906	-12.3911
73	-72.337	-12.4324
74	-72.2845	-12.4725
75	-72.233	-12.5117
76	-72.1825	-12.55
77	-72.133	-12.5872
78	-72.0845	-12.6235
79	-72.0369	-12.6589
80	-71.9903	-12.6935
81	-71.9446	-12.7271
82	-71.8999	-12.7599
83	-71.8561	-12.7919
84	-71.8132	-12.8231
85	-71.7711	-12.8535
86	-71.7299	-12.8832
87	-71.6895	-12.912
88	-71.65	-12.9402
89	-71.6113	-12.9676
90	-71.5734	-12.9944
91	-71.5364	-13.0205
92	-71.5001	-13.0459
93	-71.4645	-13.0706
94	-71.4298	-13.0948
95	-71.3958	-13.1183
96	-71.3625	-13.1412
97	-71.3299	-13.1635
98	-71.298	-13.1853
99	-71.2669	-13.2065
100	-71.2364	-13.2272
