Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.5
1	0.067642	0.000228141	0.0311418	0	0	0	0	0	0	0	0	0	0	0	0.0690733	0.000536514	0.000556783	0	0	0	0.00389179	0	0	0	0.5
2	0.0680613	0.000175784	0.0312163	0	0	0	0	0	0	0	0	0	0	0	0.0685746	0.000593258	0.00103334	0	0	0	0.00857166	0	0	0	0.5
3	0.0695995	0.000175724	0.0315614	0	0	0	0	0	0	0	0	0	0	0	0.06799	0.000617539	0.00127292	0	0	0	0.0130981	0	0	0	0.5
4	0.0721779	0.000175593	0.0320494	0	0	0	0	0	0	0	0	0	0	0	0.0673739	0.000644558	0.00140119	0	0	0	0.0174691	0	0	0	0.5
5	0.0757318	0.00017513	0.0326227	0	0	0	0	0	0	0	0	0	0	0	0.0667124	0.000679612	0.00148983	0	0	0	0.021683	0	0	0	0.5
6	0.0801973	0.000174305	0.0332657	0	0	0	0	0	0	0	0	0	0	0	0.0659881	0.000723868	0.00157185	0	0	0	0.0257361	0	0	0	0.5
7	0.0855112	0.00017318	0.0339811	0	0	0	0	0	0	0	0	0	0	0	0.0651843	0.000777752	0.00166135	0	0	0	0.0296229	0	0	0	0.5
8	0.0916109	0.000171849	0.0347786	0	0	0	0	0	0	0	0	0	0	0	0.0642857	0.000841542	0.00176379	0	0	0	0.0333361	0	0	0	0.5
9	0.0984338	0.000170412	0.03567	0	0	0	0	0	0	0	0	0	0	0	0.0632788	0.000915538	0.00188079	0	0	0	0.0368674	0	0	0	0.5
10	0.105917	0.000168961	0.036667	0	0	0	0	0	0	0	0	0	0	0	0.0621519	0.00100014	0.0020122	0	0	0	0.0402075	0	0	0	0.5
11	0.113999	0.000167578	0.0377803	0	0	0	0	0	0	0	0	0	0	0	0.060895	0.00109588	0.00215709	0	0	0	0.0433466	0	0	0	0.5
12	0.122616	0.00016633	0.0390194	0	0	0	0	0	0	0	0	0	0	0	0.0595001	0.00120349	0.00231417	0	0	0	0.046275	0	0	0	0.5
13	0.131704	0.00016527	0.0403921	0	0	0	0	0	0	0	0	0	0	0	0.0579607	0.00132391	0.00248192	0	0	0	0.0489834	0	0	0	0.5
14	0.141199	0.000164439	0.0419047	0	0	0	0	0	0	0	0	0	0	0	0.0562721	0.00145834	0.00265871	0	0	0	0.0514632	0	0	0	0.5
15	0.151037	0.000163866	0.0435619	0	0	0	0	0	0	0	0	0	0	0	0.0544314	0.00160832	0.00284281	0	0	0	0.0537068	0	0	0	0.5
16	0.161154	0.000163572	0.0453668	0	0	0	0	0	0	0	0	0	0	0	0.0524372	0.00177577	0.0030324	0	0	0	0.0557082	0	0	0	0.5
17	0.171487	0.000163568	0.0473209	0	0	0	0	0	0	0	0	0	0	0	0.05029	0.00196311	0.00322553	0	0	0	0.0574632	0	0	0	0.5
18	0.181972	0.000163858	0.0494239	0	0	0	0	0	0	0	0	0	0	0	0.0479921	0.00217336	0.00342015	0	0	0	0.0589697	0	0	0	0.5
19	0.192548	0.000164442	0.0516739	0	0	0	0	0	0	0	0	0	0	0	0.0455477	0.00241032	0.00361402	0	0	0	0.0602277	0	0	0	0.5
20	0.203156	0.000165312	0.0540669	0	0	0	0	0	0	0	0	0	0	0	0.042963	0.0026788	0.00380472	0	0	0	0.0612401	0	0	0	0.5
21	0.213737	0.000166458	0.0565972	0	0	0	0	0	0	0	0	0	0	0	0.0402468	0.00298484	0.00398953	0	0	0	0.0620121	0	0	0	0.5
22	0.224239	0.000167865	0.0592565	0	0	0	0	0	0	0	0	0	0	0	0.0374102	0.00333616	0.0041654	0	0	0	0.0625519	0	0	0	0.5
23	0.23461	0.000169513	0.0620342	0	0	0	0	0	0	0	0	0	0	0	0.0344675	0.00374262	0.00432881	0	0	0	0.0628705	0	0	0	0.5
24	0.244804	0.000171378	0.0649166	0	0	0	0	0	0	0	0	0	0	0	0.0314365	0.00421688	0.00447558	0	0	0	0.0629817	0	0	0	0.5
25	0.25478	0.000173431	0.0678864	0	0	0	0	0	0	0	0	0	0	0	0.0283395	0.00477522	0.00460072	0	0	0	0.0629019	0	0	0	0.5
26	0.2645	0.000175637	0.0709221	0	0	0	0	0	0	0	0	0	0	0	0.0252041	0.00543865	0.00469816	0	0	0	0.0626501	0	0	0	0.5
27	0.273934	0.000177953	0.0739972	0	0	0	0	-8.20108e-35	-9.52348e-34	1.12558e-33	0	0	0	0	0.0220643	0.00623413	0.00476054	0	0	0	0.062247	0	0	0	0.5
28	0.283057	0.000180327	0.0770787	0	0	0	0	2.48424e-27	-9.50223e-27	-5.49314e-26	0	0	0	0	0.018962	0.00719596	0.00477898	0	0	0	0.0617152	0	0	0	0.5
29	0.291851	0.000182696	0.0801261	0	0	0	0	-1.70208e-26	-4.85151e-25	-2.14844e-24	0	0	0	0	0.015948	0.00836697	0.00474319	0	0	0	0.0610781	0	0	0	0.5
30	0.300303	0.000184986	0.0830911	0	0	0	0	-7.91006e-25	-1.53194e-24	-1.86593e-24	0	0	0	0	0.0130818	0.00979883	0.00464211	0	0	0	0.0603593	0	0	0	0.5
31	0.308406	0.000187108	0.0859166	0	0	0	0	-1.16699e-24	-1.14024e-24	-1.61949e-24	0	0	0	0	0.0104308	0.0115505	0.00446552	0	0	0	0.0595811	0	0	0	0.5
32	0.316159	0.000188967	0.0885397	0	0	0	0	-1.42994e-24	-1.20213e-24	-1.43462e-24	0	0	0	0	0.00806421	0.0136833	0.00420717	0	0	0	0.0587641	0	0	0	0.5
33	0.323566	0.000190463	0.0908961	0	0	0	0	-1.57897e-24	-1.04625e-24	-1.35899e-24	0	0	0	0	0.00604398	0.016251	0.00386947	0	0	0	0.0579256	0	0	0	0.5
34	0.330633	0.000191509	0.0929297	0	0	0	0	-1.66845e-24	-1.04067e-24	-1.27814e-24	0	0	0	0	0.00441052	0.0192865	0.00346824	0	0	0	0.057079	0	0	0	0.5
35	0.337368	0.000192048	0.0946044	0	0	0	0	-1.71847e-24	-1.00837e-24	-1.24952e-24	0	0	0	0	0.00316923	0.0227879	0.00303435	0	0	0	0.0562338	0	0	0	0.5
36	0.343784	0.00019207	0.0959142	0	0	0	0	-1.75197e-24	-9.91694e-25	-1.22352e-24	0	0	0	0	0.00228488	0.0267134	0.00260886	0	0	0	0.0553959	0	0	0	0.5
37	0.34989	0.000191623	0.0968873	0	0	0	0	-1.77509e-24	-9.84535e-25	-1.19914e-24	0	0	0	0	0.00168978	0.0309892	0.00223129	0	0	0	0.0545685	0	0	0	0.5
38	0.355698	0.000190799	0.0975786	0	0	0	0	-1.79172e-24	-9.76614e-25	-1.18178e-24	0	0	0	0	0.0013035	0.0355292	0.00192708	0	0	0	0.0537534	0	0	0	0.5
39	0.361218	0.000189712	0.098055	0	0	0	0	-1.80494e-24	-9.6937e-25	-1.16734e-24	0	0	0	0	0.00105337	0.0402553	0.00170191	0	0	0	0.0529509	0	0	0	0.5
40	0.366462	0.00018847	0.09838	0	0	0	0	-1.81606e-24	-9.6226e-25	-1.15497e-24	0	0	0	0	0.000885841	0.0451087	0.00154565	0	0	0	0.0521614	0	0	0	0.5
41	0.37144	0.000187162	0.0986046	0	0	0	0	-1.82582e-24	-9.55098e-25	-1.1441e-24	0	0	0	0	0.000767124	0.0500503	0.00144108	0	0	0	0.0513848	0	0	0	0.5
42	0.376161	0.000185847	0.0987648	0	0	0	0	-1.83466e-24	-9.48227e-25	-1.13393e-24	0	0	0	0	0.000677986	0.0550558	0.00137141	0	0	0	0.050621	0	0	0	0.5
43	0.380637	0.000184563	0.0988837	0	0	0	0	-1.84272e-24	-9.41457e-25	-1.12452e-24	0	0	0	0	0.0006079	0.0601093	0.00132385	0	0	0	0.0498698	0	0	0	0.5
44	0.384877	0.000183329	0.0989758	0	0	0	0	-1.85007e-24	-9.34851e-25	-1.1157e-24	0	0	0	0	0.000550967	0.0652	0.00128992	0	0	0	0.049131	0	0	0	0.5
45	0.38889	0.000182154	0.0990498	0	0	0	0	-1.85678e-24	-9.28463e-25	-1.10738e-24	0	0	0	0	0.00050365	0.0703195	0.00126444	0	0	0	0.0484045	0	0	0	0.5
46	0.392686	0.000181044	0.0991109	0	0	0	0	-1.86287e-24	-9.22308e-25	-1.0995e-24	0	0	0	0	0.000463657	0.0754611	0.00124437	0	0	0	0.0476901	0	0	0	0.5
47	0.396273	0.000179997	0.0991627	0	0	0	0	-1.86838e-24	-9.16388e-25	-1.09202e-24	0	0	0	0	0.000429408	0.0806187	0.00122793	0	0	0	0.0469875	0	0	0	0.5
48	0.399659	0.000179014	0.0992072	0	0	0	0	-1.87331e-24	-9.10713e-25	-1.08493e-24	0	0	0	0	0.000399761	0.085787	0.00121406	0	0	0	0.0462966	0	0	0	0.5
49	0.402854	0.000178092	0.099246	0	0	0	0	-1.87771e-24	-9.05275e-25	-1.07818e-24	0	0	0	0	0.000373865	0.0909612	0.00120209	0	0	0	0.0456172	0	0	0	0.5
50	0.405864	0.000177228	0.0992801	0	0	0	0	-1.88159e-24	-9.0007e-25	-1.07177e-24	0	0	0	0	0.000351069	0.0961369	0.00119159	0	0	0	0.0449491	0	0	0	0.5
51	0.408697	0.000176421	0.0993104	0	0	0	0	-1.88498e-24	-8.95089e-25	-1.06566e-24	0	0	0	0	0.000330866	0.10131	0.00118228	0	0	0	0.0442921	0	0	0	0.5
52	0.41136	0.000175666	0.0993375	0	0	0	0	-1.88791e-24	-8.90324e-25	-1.05984e-24	0	0	0	0	0.000312852	0.106477	0.00117395	0	0	0	0.043646	0	0	0	0.5
53	0.413861	0.000174962	0.0993619	0	0	0	0	-1.89041e-24	-8.85766e-25	-1.0543e-24	0	0	0	0	0.000296704	0.111634	0.00116644	0	0	0	0.0430107	0	0	0	0.5
54	0.416206	0.000174306	0.0993839	0	0	0	0	-1.89248e-24	-8.81405e-25	-1.04901e-24	0	0	0	0	0.00028216	0.116778	0.00115965	0	0	0	0.042386	0	0	0	0.5
