Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
0	0	0	0	0	0.06	0	0	0	0.001	0	0	0	0	0.03	0	0	0	0	0	0	0.01	0	0	0
1	0.000183259	2.48282e-05	1.55798e-07	2.02505e-08	0.0595298	5.43794e-11	0.000380567	2.64241e-05	0.000538092	7.45491e-05	2.37155e-09	5.5293e-05	1.62376e-11	0.0299373	4.25685e-08	6.50178e-06	4.23632e-05	3.02254e-05	4.01863e-06	2.49639e-08	0.00997004	9.27088e-12	2.60233e-05	1.33866e-09
2	0.000363516	8.79256e-05	1.04659e-06	7.22793e-08	0.0592564	2.29555e-09	0.000486686	3.68292e-05	0.000398196	0.000250149	7.94664e-09	7.90317e-05	6.41898e-10	0.0299017	2.54814e-07	2.11497e-05	8.40206e-05	5.99472e-05	1.39615e-05	1.62809e-07	0.00995317	4.02609e-10	3.60011e-05	4.86275e-09
3	0.000540968	0.000183655	3.16141e-06	1.52733e-07	0.0590426	1.76767e-08	0.000512482	3.98364e-05	0.000355007	0.000457095	1.57478e-08	9.17564e-05	4.87356e-09	0.0298751	7.22838e-07	4.23179e-05	0.000124984	8.91739e-05	2.8648e-05	4.78223e-07	0.00994048	3.18024e-09	4.05759e-05	1.03076e-08
4	0.000715845	0.000307169	6.81598e-06	2.66723e-07	0.0588475	6.92941e-08	0.000515432	4.06516e-05	0.000341207	0.000672076	2.57106e-08	9.99578e-05	1.90981e-08	0.0298519	1.4888e-06	6.86789e-05	0.000165265	0.000117914	4.7114e-05	1.00375e-06	0.00992927	1.27382e-08	4.30928e-05	1.78784e-08
5	0.000888379	0.000454306	1.21804e-05	4.20243e-07	0.0586589	1.8981e-07	0.000512476	4.08371e-05	0.000336509	0.000888185	3.79569e-08	0.000105853	5.25083e-08	0.0298302	2.56236e-06	9.9148e-05	0.000204875	0.000146175	6.85719e-05	1.74807e-06	0.00991866	3.5512e-08	4.4675e-05	2.78213e-08
6	0.00105879	0.000621502	1.93064e-05	6.17421e-07	0.0584729	4.17069e-07	0.000508482	4.08549e-05	0.000334743	0.00110337	5.2559e-08	0.000110318	1.1589e-07	0.0298093	3.93021e-06	0.000132839	0.000243825	0.000173965	9.23784e-05	2.70297e-06	0.00990838	7.9132e-08	4.57468e-05	4.02701e-08
7	0.00122729	0.000805704	2.81527e-05	8.60335e-07	0.0582886	7.89923e-07	0.000504742	4.08383e-05	0.000333998	0.00131698	6.95063e-08	0.000113777	2.20355e-07	0.0297891	5.56381e-06	0.000169028	0.000282126	0.000201292	0.000118008	3.84892e-06	0.0098983	1.51519e-07	4.64987e-05	5.52423e-08
8	0.00139409	0.00100431	3.86086e-05	1.14947e-06	0.0581057	1.34484e-06	0.000501509	4.08231e-05	0.000333665	0.00152874	8.8723e-08	0.000116482	3.76268e-07	0.0297693	7.42554e-06	0.000207123	0.000319789	0.000228164	0.000145031	5.15961e-06	0.0098884	2.60106e-07	4.70337e-05	7.26702e-08
9	0.00155937	0.00121509	5.05145e-05	1.48416e-06	0.0579242	2.11341e-06	0.000498756	4.08165e-05	0.000333532	0.00173843	1.1009e-07	0.000118609	5.92435e-07	0.02975	9.47344e-06	0.000246643	0.000356825	0.000254588	0.000173098	6.60535e-06	0.00987866	4.11246e-07	4.74163e-05	9.24303e-08
