Time	[Osteoclast]	[Osteoblast]	[Steady state osteoclast]	[Steady state osteoblast]	[Bone mass]	[Cells actively resorbing bone]	[Cells actively forming bone]
0	11	212	1.06066	212.132	100	0	0
1	9.57891	248.479	1.06066	212.132	100.032	0	0
2	8.34211	278.978	1.06066	212.132	100.12	0	0
3	7.27345	304.315	1.06066	212.132	100.256	0	0
4	6.35387	325.221	1.06066	212.132	100.431	0	0
5	5.56442	342.336	1.06066	212.132	100.638	0	0
6	4.88748	356.215	1.06066	212.132	100.872	0	0
7	4.30729	367.335	1.06066	212.132	101.127	0	0
8	3.80997	376.106	1.06066	212.132	101.398	0	0
9	3.38347	382.878	1.06066	212.132	101.683	0	0
10	3.01741	387.95	1.06066	212.132	101.978	0	0
11	2.70292	391.578	1.06066	212.132	102.28	0	0
12	2.43241	393.977	1.06066	212.132	102.587	0	0
13	2.19943	395.335	1.06066	212.132	102.898	0	0
14	1.99849	395.808	1.06066	212.132	103.21	0	0
15	1.82495	395.532	1.06066	212.132	103.522	0	0
16	1.67486	394.622	1.06066	212.132	103.833	0	0
17	1.54487	393.176	1.06066	212.132	104.142	0	0
18	1.43214	391.28	1.06066	212.132	104.448	0	0
19	1.33427	389.005	1.06066	212.132	104.751	0	0
20	1.2492	386.413	1.06066	212.132	105.049	0	0
21	1.1752	383.558	1.06066	212.132	105.343	0	0
22	1.11078	380.486	1.06066	212.132	105.632	0	0
23	1.05469	377.237	1.06066	212.132	105.916	0	0
24	1.00583	373.845	1.06066	212.132	106.193	0	0
25	0.963289	370.339	1.06066	212.132	106.465	0	0
26	0.926275	366.746	1.06066	212.132	106.731	0	0
27	0.894105	363.086	1.06066	212.132	106.991	0	0
28	0.866194	359.381	1.06066	212.132	107.244	0	0
29	0.842036	355.646	1.06066	212.132	107.492	0	0
30	0.821193	351.896	1.06066	212.132	107.732	0	0
31	0.803286	348.144	1.06066	212.132	107.967	0	0
32	0.787984	344.4	1.06066	212.132	108.195	0	0
33	0.775	340.674	1.06066	212.132	108.417	0	0
34	0.764081	336.976	1.06066	212.132	108.632	0	0
35	0.755006	333.31	1.06066	212.132	108.841	0	0
36	0.747581	329.685	1.06066	212.132	109.044	0	0
37	0.741634	326.105	1.06066	212.132	109.241	0	0
38	0.737012	322.575	1.06066	212.132	109.431	0	0
39	0.733582	319.1	1.06066	212.132	109.616	0	0
40	0.731223	315.681	1.06066	212.132	109.795	0	0
41	0.729829	312.323	1.06066	212.132	109.968	0	0
42	0.729303	309.028	1.06066	212.132	110.136	0	0
43	0.729559	305.797	1.06066	212.132	110.298	0	0
44	0.73052	302.633	1.06066	212.132	110.454	0	0
45	0.732117	299.536	1.06066	212.132	110.606	0	0
46	0.734285	296.508	1.06066	212.132	110.752	0	0
47	0.736967	293.55	1.06066	212.132	110.893	0	0
48	0.740113	290.662	1.06066	212.132	111.028	0	0
49	0.743672	287.845	1.06066	212.132	111.16	0	0
50	0.747604	285.098	1.06066	212.132	111.286	0	0
51	0.751867	282.422	1.06066	212.132	111.408	0	0
52	0.756425	279.816	1.06066	212.132	111.525	0	0
53	0.761245	277.28	1.06066	212.132	111.638	0	0
54	0.766296	274.815	1.06066	212.132	111.746	0	0
55	0.77155	272.418	1.06066	212.132	111.851	0	0
56	0.77698	270.09	1.06066	212.132	111.951	0	0
