Time	[p53]	[Mdm2]	[precursor Mdm2]
0	0	0	0
1	0.299632	0.00190259	0.0580247
2	0.588821	0.0144502	0.223296
3	0.822158	0.0459217	0.474292
4	0.91867	0.100741	0.766398
5	0.82946	0.17741	1.03151
6	0.617231	0.268138	1.20986
7	0.40934	0.362242	1.28764
8	0.275033	0.450966	1.29245
9	0.205327	0.529623	1.25911
10	0.170293	0.596737	1.20996
11	0.150851	0.652479	1.15556
12	0.138742	0.697684	1.10051
13	0.130659	0.733409	1.04693
14	0.125112	0.760753	0.995897
15	0.121313	0.780785	0.947967
16	0.118785	0.794512	0.90341
17	0.117221	0.80286	0.862325
18	0.116409	0.806672	0.824706
19	0.116195	0.806705	0.790477
20	0.116468	0.803638	0.759522
21	0.11714	0.79807	0.731696
22	0.118139	0.790528	0.706839
23	0.11941	0.781475	0.684783
24	0.120902	0.771313	0.665353
25	0.122574	0.76039	0.648376
26	0.124386	0.749004	0.633678
27	0.126304	0.737403	0.621093
28	0.128297	0.725804	0.61045
29	0.130335	0.714385	0.601587
30	0.13239	0.703288	0.594348
31	0.134436	0.692631	0.58858
32	0.13645	0.682504	0.584133
33	0.138411	0.672976	0.580867
34	0.140301	0.664095	0.578645
35	0.142101	0.655893	0.577336
36	0.143798	0.648386	0.576818
37	0.145382	0.641578	0.576974
38	0.146843	0.635461	0.577694
39	0.148176	0.630018	0.578877
40	0.149378	0.625224	0.58043
41	0.150449	0.621048	0.582267
42	0.151389	0.617455	0.584311
43	0.152204	0.614406	0.586495
44	0.152897	0.611858	0.588757
45	0.153477	0.60977	0.591045
46	0.153951	0.608099	0.593316
47	0.154328	0.606799	0.595531
48	0.154618	0.605831	0.597663
49	0.154829	0.605152	0.599686
50	0.154972	0.604725	0.601584
51	0.155055	0.604513	0.603344
52	0.155087	0.604481	0.604957
53	0.155077	0.604598	0.606421
54	0.155032	0.604837	0.607735
55	0.154959	0.60517	0.608901
56	0.154865	0.605576	0.609924
57	0.154754	0.606034	0.61081
58	0.154633	0.606526	0.611568
59	0.154505	0.607038	0.612206
60	0.154374	0.607556	0.612734
61	0.154243	0.60807	0.613162
62	0.154114	0.608572	0.6135
63	0.15399	0.609054	0.613757
64	0.153871	0.609511	0.613944
65	0.153759	0.609939	0.614069
66	0.153655	0.610336	0.61414
67	0.153559	0.6107	0.614167
68	0.153472	0.61103	0.614156
69	0.153393	0.611325	0.614115
70	0.153323	0.611588	0.61405
71	0.153261	0.611818	0.613966
72	0.153207	0.612018	0.613867
73	0.153161	0.612189	0.613759
74	0.153121	0.612333	0.613645
75	0.153088	0.612452	0.613528
76	0.153061	0.612549	0.613411
77	0.15304	0.612625	0.613296
78	0.153023	0.612684	0.613184
79	0.15301	0.612726	0.613078
80	0.153001	0.612754	0.612977
81	0.152996	0.612771	0.612883
82	0.152993	0.612778	0.612797
83	0.152992	0.612776	0.612718
84	0.152994	0.612767	0.612647
85	0.152996	0.612752	0.612584
86	0.153001	0.612733	0.612527
87	0.153006	0.612711	0.612478
88	0.153011	0.612687	0.612436
89	0.153018	0.612661	0.6124
90	0.153024	0.612635	0.61237
91	0.153031	0.612608	0.612345
92	0.153037	0.612582	0.612325
93	0.153044	0.612557	0.61231
94	0.15305	0.612533	0.612298
95	0.153056	0.61251	0.61229
96	0.153061	0.612489	0.612285
97	0.153066	0.612469	0.612282
98	0.153071	0.612451	0.612282
99	0.153075	0.612435	0.612283
100	0.153079	0.612421	0.612285
