Time	[TF_A]	[Calcium in store]	[Calcium in cytoplasm]
0	15	0	0.25
1	12.8618	0.486683	0.481611
2	12.4067	0.977906	0.162981
3	14.704	0.501283	0.4346
4	12.9303	0.993911	0.165491
5	15.0859	0.522754	0.388747
6	12.9155	1.00916	0.168296
7	15.1673	0.551789	0.343244
8	12.8191	1.02355	0.171445
9	15.1439	0.58788	0.298527
10	12.7125	1.03694	0.175016
11	15.0632	0.628196	0.257103
12	12.6067	1.04913	0.179124
13	14.9497	0.668322	0.222506
14	12.5038	1.05983	0.183952
15	14.8197	0.70495	0.196655
16	12.4043	1.06859	0.189792
17	14.6826	0.737169	0.178967
18	12.3088	1.0747	0.197149
19	14.543	0.765559	0.167597
20	12.2183	1.07687	0.206986
21	14.4033	0.791075	0.160664
22	12.135	1.07239	0.221407
23	14.2647	0.814542	0.156707
24	12.0641	1.05434	0.246133
25	14.1277	0.836548	0.154714
26	12.0249	0.997113	0.303551
27	13.9928	0.857482	0.154019
28	12.1521	0.782076	0.499121
29	13.86	0.877583	0.154196
30	12.66	0.555526	0.66776
31	13.7294	0.896995	0.154977
32	13.2459	0.492662	0.661183
33	13.6013	0.915794	0.156196
34	13.7851	0.477423	0.61277
35	13.4755	0.934012	0.157754
36	14.2469	0.475926	0.559626
37	13.3522	0.95165	0.159596
38	14.6181	0.481218	0.508742
39	13.2313	0.968686	0.161698
40	14.8934	0.492358	0.460588
41	13.1129	0.985078	0.164058
42	15.0726	0.509887	0.414223
43	12.9971	1.00076	0.166694
44	15.161	0.534661	0.368577
45	12.8839	1.01565	0.169644
46	15.1693	0.567003	0.323253
47	12.7733	1.02961	0.172968
48	15.1141	0.605458	0.279568
49	12.6656	1.0425	0.176759
50	15.016	0.646233	0.240769
51	12.5608	1.05407	0.181159
52	14.8935	0.685072	0.20997
53	12.4593	1.06398	0.186389
54	14.7596	0.71974	0.187916
55	12.3615	1.07168	0.192819
56	14.6209	0.750152	0.173273
57	12.268	1.07626	0.201112
58	14.4811	0.777155	0.164078
59	12.1804	1.07596	0.2126
60	14.3418	0.801675	0.158614
61	12.1015	1.06681	0.230454
62	14.2039	0.824436	0.155628
63	12.0402	1.03717	0.264556
64	14.0677	0.84593	0.154276
65	12.0398	0.933625	0.362514
66	13.9337	0.866472	0.154008
67	12.3472	0.652843	0.606437
68	13.8019	0.886256	0.154479
69	12.9215	0.516933	0.675448
70	13.6724	0.90539	0.155469
71	13.4928	0.483173	0.641454
72	13.5453	0.923929	0.156848
73	14.0001	0.475725	0.589142
74	13.4206	0.941892	0.158536
75	14.4228	0.477545	0.536736
76	13.2984	0.959267	0.160495
77	14.7519	0.485411	0.487134
78	13.1786	0.976025	0.16271
79	14.9844	0.499277	0.439912
80	13.0613	0.992112	0.165189
81	15.1225	0.519916	0.393979
82	12.9467	1.00745	0.167958
83	15.1737	0.548073	0.348448
84	12.8346	1.02195	0.171065
85	15.1515	0.58345	0.303554
86	12.7253	1.03546	0.174582
87	15.0747	0.623499	0.261568
88	12.6188	1.0478	0.178621
89	14.9639	0.663857	0.226042
90	12.5154	1.05869	0.183354
91	14.8351	0.700974	0.199177
92	12.4155	1.0677	0.189057
93	14.6985	0.733686	0.180636
94	12.3195	1.07417	0.196204
95	14.5591	0.762468	0.168643
96	12.2284	1.07688	0.205681
97	14.4193	0.788267	0.161284
98	12.1441	1.07339	0.219397
99	14.2805	0.811934	0.157045
100	12.0712	1.05757	0.242376
