Time	[stat_sol]	[Pstat_sol]	[statKinase_sol]	[PstatDimer_sol]	[PstatDimer_nuc]	[stat_nuc]	[Pstat_nuc]	[statPhosphatase_nuc]	[species_test]
0	1	0	0	0	0	0	0	0.05	0
1	0.999951	0	0	0	0	0.000713734	0	0.05	0
2	0.999907	0	0	0	0	0.00135967	0	0.05	0
3	0.999867	0	0	0	0	0.00194438	0	0.05	0
4	0.999831	0	0	0	0	0.00247377	0	0.05	0
5	0.999798	0	0	0	0	0.00295315	0	0.05	0
6	0.999768	0	0	0	0	0.00338732	0	0.05	0
7	0.999741	0	0	0	0	0.0037806	0	0.05	0
8	0.999717	0	0	0	0	0.00413688	0	0.05	0
9	0.999695	0	0	0	0	0.00445968	0	0.05	0
10	0.999675	0	0	0	0	0.00475218	0	0.05	0
11	0.999657	0	0	0	0	0.00501725	0	0.05	0
12	0.999641	0	0	0	0	0.00525749	0	0.05	0
13	0.999626	0	0	0	0	0.00547523	0	0.05	0
14	0.999612	0	0	0	0	0.0056726	0	0.05	0
15	0.9996	0	0	0	0	0.00585151	0	0.05	0
16	0.999589	0	0	0	0	0.0060137	0	0.05	0
17	0.999579	0	0	0	0	0.00616074	0	0.05	0
18	0.99957	0	0	0	0	0.00629405	0	0.05	0
19	0.999561	0	0	0	0	0.00641492	0	0.05	0
20	0.999554	0	0	0	0	0.00652451	0	0.05	0
21	0.999547	0	0	0	0	0.00662389	0	0.05	0
22	0.999541	0	0	0	0	0.006714	0	0.05	0
23	0.999535	0	0	0	0	0.00679571	0	0.05	0
24	0.99953	0	0	0	0	0.0068698	0	0.05	0
25	0.999526	0	0	0	0	0.006937	0	0.05	0
26	0.999522	0	0	0	0	0.00699793	0	0.05	0
27	0.999518	0	0	0	0	0.00705319	0	0.05	0
28	0.999514	0	0	0	0	0.00710331	0	0.05	0
29	0.999511	0	0	0	0	0.00714876	0	0.05	0
30	0.999508	0	0	0	0	0.00718998	0	0.05	0
31	0.999506	0	0	0	0	0.00722736	0	0.05	0
32	0.999504	0	0	0	0	0.00726127	0	0.05	0
33	0.999501	0	0	0	0	0.00729202	0	0.05	0
34	0.999499	0	0	0	0	0.00731991	0	0.05	0
35	0.999498	0	0	0	0	0.0073452	0	0.05	0
36	0.999496	0	0	0	0	0.00736815	0	0.05	0
37	0.999495	0	0	0	0	0.00738895	0	0.05	0
38	0.999493	0	0	0	0	0.00740783	0	0.05	0
39	0.999492	0	0	0	0	0.00742495	0	0.05	0
40	0.999491	0	0	0	0	0.00744047	0	0.05	0
41	0.99949	0	0	0	0	0.00745455	0	0.05	0
42	0.999489	0	0	0	0	0.00746733	0	0.05	0
43	0.999489	0	0	0	0	0.00747891	0	0.05	0
44	0.999488	0	0	0	0	0.00748942	0	0.05	0
45	0.999487	0	0	0	0	0.00749895	0	0.05	0
46	0.999487	0	0	0	0	0.00750759	0	0.05	0
47	0.999486	0	0	0	0	0.00751543	0	0.05	0
48	0.999486	0	0	0	0	0.00752255	0	0.05	0
49	0.999485	0	0	0	0	0.007529	0	0.05	0
50	0.999485	0	0	0	0	0.00753485	0	0.05	0
51	0.999484	0	0	0	0	0.00754016	0	0.05	0
52	0.999484	0	0	0	0	0.00754497	0	0.05	0
53	0.999484	0	0	0	0	0.00754934	0	0.05	0
54	0.999484	0	0	0	0	0.0075533	0	0.05	0
55	0.999483	0	0	0	0	0.00755689	0	0.05	0
56	0.999483	0	0	0	0	0.00756015	0	0.05	0
57	0.999483	0	0	0	0	0.0075631	0	0.05	0
58	0.999483	0	0	0	0	0.00756578	0	0.05	0
59	0.999483	0	0	0	0	0.00756821	0	0.05	0
60	0.999482	0	0	0	0	0.00757042	0	0.05	0
61	0.999482	0	0	0	0	0.00757242	0	0.05	0
62	0.999482	0	0	0	0	0.00757423	0	0.05	0
63	0.999482	0	0	0	0	0.00757588	0	0.05	0
64	0.999482	0	0	0	0	0.00757737	0	0.05	0
65	0.999482	0	0	0	0	0.00757873	0	0.05	0
66	0.999482	0	0	0	0	0.00757996	0	0.05	0
67	0.999482	0	0	0	0	0.00758107	0	0.05	0
68	0.999482	0	0	0	0	0.00758208	0	0.05	0
69	0.999482	0	0	0	0	0.007583	0	0.05	0
70	0.999481	0	0	0	0	0.00758383	0	0.05	0
71	0.999481	0	0	0	0	0.00758458	0	0.05	0
72	0.999481	0	0	0	0	0.00758527	0	0.05	0
73	0.999481	0	0	0	0	0.00758589	0	0.05	0
74	0.999481	0	0	0	0	0.00758645	0	0.05	0
75	0.999481	0	0	0	0	0.00758696	0	0.05	0
76	0.999481	0	0	0	0	0.00758742	0	0.05	0
77	0.999481	0	0	0	0	0.00758784	0	0.05	0
78	0.999481	0	0	0	0	0.00758822	0	0.05	0
79	0.999481	0	0	0	0	0.00758857	0	0.05	0
80	0.999481	0	0	0	0	0.00758888	0	0.05	0
81	0.999481	0	0	0	0	0.00758917	0	0.05	0
82	0.999481	0	0	0	0	0.00758943	0	0.05	0
83	0.999481	0	0	0	0	0.00758966	0	0.05	0
84	0.999481	0	0	0	0	0.00758987	0	0.05	0
85	0.999481	0	0	0	0	0.00759006	0	0.05	0
86	0.999481	0	0	0	0	0.00759024	0	0.05	0
87	0.999481	0	0	0	0	0.0075904	0	0.05	0
88	0.999481	0	0	0	0	0.00759054	0	0.05	0
89	0.999481	0	0	0	0	0.00759067	0	0.05	0
90	0.999481	0	0	0	0	0.00759079	0	0.05	0
91	0.999481	0	0	0	0	0.0075909	0	0.05	0
92	0.999481	0	0	0	0	0.00759099	0	0.05	0
93	0.999481	0	0	0	0	0.00759108	0	0.05	0
94	0.999481	0	0	0	0	0.00759116	0	0.05	0
95	0.999481	0	0	0	0	0.00759123	0	0.05	0
96	0.999481	0	0	0	0	0.0075913	0	0.05	0
97	0.999481	0	0	0	0	0.00759136	0	0.05	0
98	0.999481	0	0	0	0	0.00759141	0	0.05	0
99	0.999481	0	0	0	0	0.00759146	0	0.05	0
100	0.999481	0	0	0	0	0.00759151	0	0.05	0
