Time	[ADP]	[NAD]	[ATP]	[NADH]	[pyruvate]	[lactate]	[CoA]	[halfglucose]	[AcCoA]	[AcP]	[Ac]	[AcO]	[EtOH]	[AcLac]	[AcetoinIn]	[AcetoinOut]	[Butanediol]	[O2]	[PO4]
0	4.9	6.33	0.1	3.67	1	0.1	1	30	0	0	1	0	1	0	0	0	0.01	0.2	10
1	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564283	0.000375138	0	0.01	0.2	10
2	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
3	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
4	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
5	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
6	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
7	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
8	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
9	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
10	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
11	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
12	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
13	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
14	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
15	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
16	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
17	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
18	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
19	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
20	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
21	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
22	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
23	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
24	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
25	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
26	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
27	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
28	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
29	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
30	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
31	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
