Time	[GLCi]	[ATP]	[G6P]	[ADP]	[F6P]	[F16bP]	[AMP]	[DHAP]	[GAP]	[NAD]	[BPG]	[NADH]	[P3G]	[P2G]	[PEP]	[PYR]	[AcAld]	[GLCo]	[CO2]	[EtOH]	[Glycerol]	[Glycogen]	[Trehalose]	[Succinate]
0	0.0976522	2.52513	2.67504	1.28199	0.624976	6.22132	0.292885	1.00415	0.0451809	1.50329	0.000736873	0.0867097	0.885689	0.127696	0.0632352	1.81531	0.178141	50	1	50	0.15	0	0	0
1	0.0953591	2.51712	2.54812	1.28686	0.595527	5.82434	0.296011	0.987197	0.044418	1.50343	0.000712186	0.0865672	0.861071	0.124128	0.0622367	1.8063	0.177316	50	1	50	0.15	0	0	0
2	0.0959556	2.49763	2.4869	1.29857	0.580711	5.65352	0.303798	0.977385	0.0439764	1.50334	0.000692041	0.0866612	0.84917	0.122379	0.0613062	1.80256	0.176692	50	1	50	0.15	0	0	0
3	0.0962284	2.48888	2.46	1.30378	0.574201	5.57945	0.307331	0.973067	0.0437822	1.5033	0.000683243	0.0867033	0.843916	0.121606	0.0608973	1.80088	0.176412	50	1	50	0.15	0	0	0
4	0.096348	2.48508	2.44841	1.30605	0.571398	5.54773	0.308875	0.971207	0.0436984	1.50328	0.000679463	0.0867216	0.841648	0.121273	0.0607212	1.80015	0.17629	50	1	50	0.15	0	0	0
5	0.0963994	2.48345	2.44347	1.30701	0.570201	5.53422	0.309538	0.970412	0.0436627	1.50327	0.000677852	0.0867295	0.840679	0.121131	0.060646	1.79984	0.176238	50	1	50	0.15	0	0	0
6	0.0964213	2.48276	2.44136	1.30742	0.569692	5.52849	0.309821	0.970074	0.0436475	1.50327	0.000677168	0.0867328	0.840267	0.12107	0.0606141	1.7997	0.176216	50	1	50	0.15	0	0	0
7	0.0964307	2.48246	2.44047	1.3076	0.569476	5.52606	0.309941	0.969931	0.043641	1.50327	0.000676877	0.0867342	0.840092	0.121045	0.0606005	1.79965	0.176207	50	1	50	0.15	0	0	0
8	0.0964346	2.48234	2.44009	1.30767	0.569385	5.52502	0.309992	0.96987	0.0436383	1.50327	0.000676754	0.0867348	0.840018	0.121034	0.0605947	1.79962	0.176203	50	1	50	0.15	0	0	0
9	0.0964363	2.48228	2.43993	1.3077	0.569346	5.52459	0.310013	0.969845	0.0436371	1.50326	0.000676702	0.0867351	0.839987	0.121029	0.0605923	1.79961	0.176201	50	1	50	0.15	0	0	0
10	0.096437	2.48226	2.43987	1.30772	0.56933	5.5244	0.310022	0.969834	0.0436367	1.50326	0.000676679	0.0867352	0.839974	0.121027	0.0605913	1.79961	0.1762	50	1	50	0.15	0	0	0
11	0.0964373	2.48225	2.43984	1.30772	0.569323	5.52432	0.310026	0.969829	0.0436364	1.50326	0.00067667	0.0867352	0.839968	0.121026	0.0605908	1.7996	0.1762	50	1	50	0.15	0	0	0
12	0.0964374	2.48225	2.43982	1.30773	0.56932	5.52429	0.310028	0.969827	0.0436364	1.50326	0.000676666	0.0867352	0.839966	0.121026	0.0605907	1.7996	0.1762	50	1	50	0.15	0	0	0
13	0.0964375	2.48224	2.43982	1.30773	0.569319	5.52428	0.310029	0.969826	0.0436363	1.50326	0.000676664	0.0867353	0.839964	0.121026	0.0605906	1.7996	0.1762	50	1	50	0.15	0	0	0
14	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676664	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
15	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
16	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
17	0.0964375	2.48224	2.43982	1.30773	0.569317	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
18	0.0964375	2.48224	2.43981	1.30773	0.569317	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
19	0.0964375	2.48224	2.43982	1.30773	0.569317	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
20	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
21	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
22	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
23	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
24	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52427	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
25	0.0964375	2.48224	2.43982	1.30773	0.569318	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
26	0.0964375	2.48224	2.43982	1.30773	0.569317	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
27	0.0964375	2.48224	2.43981	1.30773	0.569317	5.52426	0.310029	0.969826	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
28	0.0964375	2.48224	2.43981	1.30773	0.569317	5.52426	0.310029	0.969825	0.0436363	1.50326	0.000676663	0.0867353	0.839964	0.121026	0.0605905	1.7996	0.1762	50	1	50	0.15	0	0	0
