Time	[R1]	[P1]	[P1_prime]	[R2]	[P2]	[P2_prime]	[P3_prime]
0	0.01	0.1	0.1	0.1	1	1	0.1
1	0.00790405	0.0837186	0.363708	0.0790405	0.837186	1.15958	0.354762
2	0.0062474	0.0699121	0.489232	0.062474	0.699121	1.23376	0.596281
3	0.00493797	0.0582496	0.552754	0.0493797	0.582496	1.25404	0.779394
4	0.003903	0.0484322	0.568446	0.03903	0.484322	1.24184	0.906327
5	0.00308495	0.0401932	0.550369	0.0308495	0.401932	1.21203	0.986277
6	0.00243836	0.0332977	0.525293	0.0243836	0.332977	1.1739	1.02738
7	0.00192729	0.0275412	0.514061	0.0192729	0.275412	1.13278	1.03566
8	0.00152334	0.0227461	0.527984	0.0152334	0.227461	1.09184	1.01586
9	0.00120406	0.0187602	0.572422	0.0120406	0.187602	1.05266	0.9725
10	0.000951691	0.0154531	0.648339	0.00951691	0.154531	1.01506	0.910221
11	0.000752221	0.0127138	0.75217	0.00752221	0.127138	0.974501	0.831826
12	0.000594559	0.0104486	0.880661	0.00594559	0.104486	0.914113	0.731671
13	0.000469942	0.00857808	1.03761	0.00469942	0.0857808	0.800515	0.592165
14	0.000371445	0.00703558	1.20134	0.00371445	0.0703558	0.637276	0.431084
15	0.000293592	0.00576519	1.33032	0.00293592	0.0576519	0.481489	0.300108
16	0.000232056	0.00472014	1.42095	0.00232056	0.0472014	0.358047	0.207384
17	0.000183418	0.00386139	1.48343	0.00183418	0.0386139	0.265679	0.143191
18	0.000144975	0.00315646	1.5264	0.00144975	0.0315646	0.197856	0.0988605
19	0.000114589	0.00257836	1.55591	0.00114589	0.0257836	0.148372	0.0682537
20	9.05716e-05	0.0021047	1.57616	0.000905716	0.021047	0.112316	0.0471226
21	7.15882e-05	0.00171693	1.59004	0.000715882	0.0171693	0.0860131	0.0325336
22	5.65837e-05	0.00139975	1.59954	0.000565837	0.0139975	0.0667731	0.0224613
23	4.4724e-05	0.00114049	1.60602	0.00044724	0.0114049	0.0526488	0.0155073
24	3.53501e-05	0.000928728	1.61045	0.000353501	0.00928728	0.0422354	0.0107063
25	2.79409e-05	0.000755885	1.61346	0.000279409	0.00755885	0.0345215	0.00739167
26	2.20846e-05	0.000614897	1.6155	0.000220846	0.00614897	0.0287779	0.00510323
27	1.74558e-05	0.000499964	1.61687	0.000174558	0.00499964	0.0244784	0.00352328
28	1.37971e-05	0.000406326	1.6178	0.000137971	0.00406326	0.0212422	0.00243248
29	1.09053e-05	0.000330078	1.61842	0.000109053	0.00330078	0.0187928	0.00167939
30	8.61961e-06	0.000268025	1.61883	8.61961e-05	0.00268025	0.0169286	0.00115946
31	6.81298e-06	0.000217548	1.6191	6.81298e-05	0.00217548	0.0155021	0.000800492
32	5.38502e-06	0.000176509	1.61928	5.38502e-05	0.00176509	0.0144048	0.000552662
33	4.25634e-06	0.000143158	1.61939	4.25634e-05	0.00143158	0.0135564	0.000381559
34	3.36423e-06	0.000116067	1.61946	3.36423e-05	0.00116067	0.0128974	0.000263429
35	2.65911e-06	9.40698e-05	1.61951	2.65911e-05	0.000940698	0.0123831	0.000181872
36	2.10177e-06	7.62163e-05	1.61953	2.10177e-05	0.000762163	0.0119803	0.000125565
37	1.66125e-06	6.17313e-05	1.61954	1.66125e-05	0.000617313	0.0116634	8.66905e-05
38	1.31306e-06	4.99838e-05	1.61955	1.31306e-05	0.000499838	0.0114133	5.98513e-05
39	1.03785e-06	4.04598e-05	1.61955	1.03785e-05	0.000404598	0.0112154	4.13215e-05
40	8.20321e-07	3.27411e-05	1.61955	8.20321e-06	0.000327411	0.0110583	2.85285e-05
41	6.48385e-07	2.64876e-05	1.61955	6.48385e-06	0.000264876	0.0109333	1.96961e-05
42	5.12487e-07	2.14228e-05	1.61955	5.12487e-06	0.000214228	0.0108336	1.35983e-05
43	4.05072e-07	1.73219e-05	1.61954	4.05072e-06	0.000173219	0.0107539	9.38828e-06
44	3.20171e-07	1.40026e-05	1.61954	3.20171e-06	0.000140026	0.0106902	6.48169e-06
45	2.53065e-07	1.13166e-05	1.61954	2.53065e-06	0.000113166	0.0106391	4.47498e-06
46	2.00024e-07	9.14366e-06	1.61953	2.00024e-06	9.14366e-05	0.0105981	3.08953e-06
47	1.581e-07	7.3863e-06	1.61953	1.581e-06	7.3863e-05	0.0105652	2.13302e-06
48	1.24963e-07	5.96539e-06	1.61953	1.24963e-06	5.96539e-05	0.0105387	1.47264e-06
49	9.87711e-08	4.81679e-06	1.61953	9.87711e-07	4.81679e-05	0.0105174	1.01672e-06
50	7.80692e-08	3.88855e-06	1.61953	7.80692e-07	3.88855e-05	0.0105003	7.01944e-07
51	6.17062e-08	3.13856e-06	1.61953	0.891099	0.203309	0.0289013	4.84624e-07
52	4.87729e-08	2.53273e-06	1.61952	1.59543	0.700952	0.130854	3.35073e-07
53	3.85503e-08	2.04346e-06	1.61952	2.15213	1.36373	0.343673	4.5503e-06
54	3.04704e-08	1.64841e-06	1.61783	2.59215	2.10303	0.660668	0.0021144
55	2.40839e-08	1.32949e-06	1.53076	2.93995	2.85964	1.0605	0.110955
56	1.90361e-08	1.07209e-06	1.26365	3.21485	3.5954	1.5258	0.444821
57	1.50462e-08	8.64379e-07	1.03914	3.43213	4.28708	2.06729	0.722102
58	1.18926e-08	6.96798e-07	0.855944	3.60387	4.92185	2.69491	0.916164
59	9.39996e-09	5.61617e-07	0.67788	3.73961	5.49398	3.34306	1.05033
60	7.42977e-09	4.52592e-07	0.517536	3.84691	6.00249	3.93911	1.14298
61	5.87253e-09	3.64677e-07	0.388453	3.93171	6.44944	4.46708	1.20695
62	4.64167e-09	2.93797e-07	0.290465	3.99874	6.8387	4.93151	1.25111
63	3.6688e-09	2.36659e-07	0.218181	4.05172	7.17515	5.33866	1.2816
64	2.89984e-09	1.90608e-07	0.165659	4.0936	7.4641	5.69426	1.30266
65	2.29205e-09	1.53496e-07	0.127827	4.1267	7.71088	6.00357	1.31719
66	1.81164e-09	1.23594e-07	0.100724	4.15286	7.92065	6.27147	1.32722
67	1.43193e-09	9.95048e-08	0.0813779	4.17354	8.09821	6.50253	1.33415
