Time	[T1]	[T2]	[T3]	[C1]	[C2]	[C3]
0	6	5	1	0	0	0
1	3.78374	2.83992	1.33667	2.46324	1.70608	0.207557
2	2.99888	1.98617	1.22858	3.4304	2.17796	0.385558
3	2.68796	1.62944	1.10367	3.8971	2.28125	0.491176
4	2.56297	1.47064	1.02846	4.16654	2.26362	0.551469
5	2.52011	1.39306	0.991292	4.35084	2.2046	0.587862
6	2.51565	1.35005	0.975378	4.49764	2.13281	0.611787
7	2.52967	1.32257	0.96993	4.62861	2.0593	0.628864
8	2.55274	1.30268	0.969157	4.75384	1.98843	0.641794
9	2.58035	1.28697	0.970179	4.87805	1.9219	0.651868
10	2.61032	1.27394	0.971625	5.0034	1.86027	0.659714
11	2.64161	1.26287	0.972856	5.13083	1.80366	0.665648
12	2.67369	1.25342	0.973581	5.26072	1.75195	0.669843
13	2.70629	1.24537	0.973671	5.39317	1.70495	0.672406
14	2.73929	1.23861	0.973071	5.52817	1.66243	0.673416
15	2.77259	1.23304	0.971764	5.66563	1.62417	0.672937
16	2.80616	1.22857	0.969748	5.80548	1.58991	0.671032
17	2.83995	1.22513	0.967034	5.94762	1.55943	0.667761
18	2.87396	1.22267	0.963638	6.09196	1.53251	0.663186
19	2.90816	1.22112	0.959581	6.23841	1.50892	0.657373
20	2.94255	1.22042	0.954891	6.38691	1.48848	0.650391
21	2.97712	1.22053	0.949599	6.5374	1.47099	0.642312
22	3.01188	1.22139	0.943739	6.68982	1.45627	0.633211
23	3.04684	1.22296	0.937351	6.84415	1.44415	0.623167
24	3.08202	1.2252	0.930481	7.00037	1.43448	0.612262
25	3.11744	1.22807	0.923174	7.15848	1.42711	0.600579
26	3.15312	1.23154	0.915481	7.31852	1.42191	0.588206
27	3.18911	1.23558	0.907456	7.48051	1.41875	0.575228
28	3.22544	1.24016	0.899155	7.64454	1.41752	0.561733
29	3.26216	1.24526	0.890635	7.8107	1.41812	0.547808
30	3.29932	1.25086	0.881954	7.97909	1.42044	0.533539
31	3.337	1.25694	0.873171	8.14988	1.42442	0.519008
32	3.37524	1.26348	0.864344	8.32324	1.42997	0.504296
33	3.41413	1.27049	0.855531	8.49936	1.43702	0.48948
34	3.45374	1.27794	0.846786	8.67848	1.44553	0.474632
35	3.49415	1.28584	0.838166	8.86088	1.45544	0.45982
36	3.53547	1.29419	0.82972	9.04683	1.46671	0.445108
37	3.57777	1.30298	0.821499	9.23668	1.47932	0.43055
38	3.62116	1.31221	0.813546	9.43079	1.49323	0.416201
39	3.66576	1.3219	0.805906	9.62954	1.50844	0.402104
40	3.71167	1.33206	0.798618	9.83339	1.52494	0.388299
41	3.75901	1.34268	0.791716	10.0428	1.54272	0.374819
42	3.80792	1.3538	0.785235	10.2582	1.5618	0.361694
43	3.85852	1.36541	0.779202	10.4803	1.5822	0.348945
44	3.91097	1.37754	0.773645	10.7095	1.60392	0.33659
45	3.9654	1.39021	0.768586	10.9465	1.62702	0.324642
46	4.02199	1.40345	0.764045	11.192	1.65152	0.313108
47	4.0809	1.41726	0.760042	11.4467	1.67748	0.301993
48	4.14231	1.43168	0.756592	11.7113	1.70494	0.291296
49	4.20641	1.44675	0.75371	11.9867	1.73398	0.281014
50	4.27341	1.46248	0.751408	12.2737	1.76467	0.271143
51	4.34352	1.47891	0.749699	12.5732	1.79708	0.261673
52	4.41698	1.49607	0.748593	12.8862	1.83131	0.252595
53	4.49401	1.514	0.748101	13.2137	1.86745	0.243895
54	4.57488	1.53274	0.748234	13.5568	1.90562	0.235561
55	4.65987	1.55232	0.749002	13.9167	1.94593	0.227578
56	4.74925	1.57279	0.750415	14.2945	1.98851	0.21993
57	4.84333	1.59418	0.752485	14.6916	2.0335	0.212603
58	4.94244	1.61654	0.755223	15.1092	2.08105	0.205579
59	5.04688	1.6399	0.758642	15.5486	2.1313	0.198843
60	5.15703	1.66432	0.762754	16.0114	2.18444	0.19238
61	5.27323	1.68982	0.767574	16.4989	2.24064	0.186174
