Time	[AC_active_cyto_mem]	[G_GDP_cyto]	[G_protein_cyto]	[G_a_s_cyto]	[GRK_bg_cyto]	[iso_BAR_p_cyto_mem]	[PDE4_cyto]	[ATP_cyto]	[AC_PKA_cyto_mem]	[R2C2_cyto]	[PP_PDE_cyto]	[BAR_cyto_mem]	[BAR_G_cyto_mem]	[iso_extra]	[iso_BAR_cyto_mem]	[MAPK_active_cyto]	[MEK_cyto]	[MEK_active_cyto]	[B_Raf_active_cyto]	[bg_cyto]	[B_Raf_cyto]	[PKA_cyto]	[AC_cyto_mem]	[AMP_cyto]	[GRK_cyto]	[PP2A_cyto]	[MAPK_cyto]	[PTP_cyto]	[PTP_PKA_cyto]	[c_R2C2_cyto]	[c2_R2C2_cyto]	[c3_R2C2_cyto]	[iso_BAR_G_cyto_mem]	[PDE_high_km_cyto]	[cAMP_cyto]	[PTP_PP_cyto]	[PDE4_P_cyto]
0	0	0	2167.2	0	0	0	240.8	3.01e+06	0	120.4	120.4	94	0	6020	0	0	108.36	0	0	0	120.4	0	300	3.01e+06	0.602	60.2	216.72	120.4	0	0	0	0	0	301	0	60.2	0
1	1.94391	0.000747503	2148.06	0.01704	0.000167307	1.20364e-05	240.8	3.00999e+06	0	120.397	120.4	0.0136757	0.591965	5851.89	0.328147	1.52098e-16	108.36	1.14323e-14	1.73327e-12	0.406401	120.4	4.46732e-12	298.056	3.01001e+06	0.601833	60.2	216.72	120.4	8.03956e-14	0.00312373	4.00359e-08	4.85712e-10	93.0662	301	4.14598	60.2	2.66676e-12
2	4.21662	0.00218556	2147.6	0.0264075	0.000703667	1.43255e-05	240.8	3.00997e+06	0	120.391	120.4	0.0115251	0.588837	5851.88	0.32742	8.82108e-14	108.36	3.32893e-12	2.40764e-10	0.871214	120.4	2.95977e-10	295.783	3.01002e+06	0.601296	60.2	216.72	120.4	1.10937e-11	0.0089832	3.23774e-07	1.11351e-08	93.0722	301	5.71783	60.2	3.66041e-10
3	6.48556	0.00422647	2147.13	0.0359032	0.00153106	1.67279e-05	240.8	3.00995e+06	0	120.383	120.4	0.0115266	0.588836	5851.88	0.327491	3.2007e-12	108.36	8.35987e-11	4.00769e-09	1.33571	120.4	3.28596e-09	293.514	3.01004e+06	0.600469	60.2	216.72	120.4	1.83483e-10	0.0165587	1.06923e-06	6.66087e-08	93.0721	301	7.12627	60.2	6.0234e-09
4	8.75066	0.00685349	2146.67	0.0455302	0.00258332	1.92865e-05	240.8	3.00993e+06	0	120.374	120.4	0.0115281	0.588836	5851.88	0.327561	3.98291e-11	108.36	8.18466e-10	2.96445e-08	1.79993	120.4	1.84511e-08	291.249	3.01006e+06	0.599417	60.2	216.72	120.4	1.34891e-09	0.0257842	2.5059e-06	2.38161e-07	93.0721	301	8.52571	60.2	4.40703e-08
5	11.0119	0.0100422	2146.2	0.0552908	0.00380859	2.2034e-05	240.8	3.00991e+06	0	120.363	120.4	0.0115297	0.588835	5851.88	0.327632	2.80765e-10	108.36	4.8469e-09	1.41833e-07	2.2639	120.4	7.15238e-08	288.988	3.01008e+06	0.598191	60.2	216.72	120.4	6.41571e-09	0.0366565	4.87016e-06	6.42798e-07	93.072	301	9.9265	60.2	2.08644e-07
6	13.2691	0.0137612	2145.74	0.0651876	0.00516625	2.49954e-05	240.8	3.00988e+06	0	120.351	120.4	0.0115312	0.588835	5851.88	0.327703	1.38656e-09	108.36	2.09079e-08	5.14508e-07	2.7276	120.4	2.18476e-07	286.731	3.01011e+06	0.596834	60.2	216.72	120.4	2.31385e-08	0.0491763	8.38784e-06	1.44651e-06	93.0719	301	11.3293	60.2	7.49124e-07
7	15.5223	0.0179725	2145.27	0.0752231	0.00662452	2.81899e-05	240.8	3.00984e+06	0	120.337	120.4	0.0115328	0.588834	5851.88	0.327774	5.35538e-09	108.36	7.23589e-08	1.53749e-06	3.19103	120.4	5.63855e-07	284.478	3.01015e+06	0.595375	60.2	216.72	120.4	6.87477e-08	0.0633445	1.32598e-05	2.86031e-06	93.0718	301	12.7341	60.2	2.216e-06
8	17.7715	0.022633	2144.81	0.0854	0.00815854	3.16322e-05	240.8	3.0098e+06	0	120.321	120.4	0.0115343	0.588834	5851.88	0.327845	1.72573e-08	108.36	2.12703e-07	3.97595e-06	3.65417	120.4	1.28207e-06	282.229	3.01018e+06	0.593841	60.2	216.72	120.4	1.76766e-07	0.0791619	1.96516e-05	5.12948e-06	93.0718	301	14.1409	60.2	5.67314e-06
9	20.0165	0.0276946	2144.34	0.0957209	0.00974884	3.5333e-05	240.8	3.00976e+06	0	120.303	120.4	0.0115359	0.588833	5851.88	0.327915	4.83581e-08	108.36	5.50935e-07	9.18644e-06	4.11696	120.4	2.6395e-06	279.984	3.01022e+06	0.592251	60.2	216.72	120.4	4.06079e-07	0.096629	2.76876e-05	8.51765e-06	93.0717	301	15.5496	60.2	1.29766e-05
