Time	[clock gene mRNA]	[clock protein]	[Transcriptional repressor]	[Neuropeptide]	[clock gene mRNA]	[clock protein]	[Transcriptional repressor]	[Neuropeptide]
0	4.25	3.25	2.25	2.5	4.25	3.25	2.25	2.5
1	2.64238	3.34581	2.46864	2.41345	2.64238	3.34581	2.46864	2.41345
2	0.96979	3.24032	2.62753	2.0054	0.96979	3.24032	2.62753	2.0054
3	0.420079	3.00874	2.69253	1.47546	0.420079	3.00874	2.69253	1.47546
4	0.404404	2.77215	2.67156	1.06017	0.404404	2.77215	2.67156	1.06017
5	0.457374	2.55507	2.58991	0.775322	0.457374	2.55507	2.58991	0.775322
6	0.568006	2.36335	2.46984	0.59742	0.568006	2.36335	2.46984	0.59742
7	0.748295	2.20271	2.33002	0.506078	0.748295	2.20271	2.33002	0.506078
8	1.01442	2.07992	2.18641	0.487661	1.01442	2.07992	2.18641	0.487661
9	1.37907	2.00265	2.05293	0.53491	1.37907	2.00265	2.05293	0.53491
10	1.84516	1.97869	1.94184	0.644762	1.84516	1.97869	1.94184	0.644762
11	2.40009	2.01457	1.8638	0.81552	2.40009	2.01457	1.8638	0.81552
12	3.00531	2.11353	1.82748	1.04326	3.00531	2.11353	1.82748	1.04326
13	3.58025	2.27215	1.83883	1.31629	3.58025	2.27215	1.83883	1.31629
14	3.99089	2.47548	1.89947	1.60751	3.99089	2.47548	1.89947	1.60751
15	4.0723	2.69255	2.00419	1.86781	4.0723	2.69255	2.00419	1.86781
16	3.71857	2.8787	2.13862	2.03204	3.71857	2.8787	2.13862	2.03204
17	2.90176	2.98485	2.27912	2.03619	2.90176	2.98485	2.27912	2.03619
18	1.74656	2.96888	2.39504	1.8383	1.74656	2.96888	2.39504	1.8383
19	0.784472	2.82635	2.45594	1.47269	0.784472	2.82635	2.45594	1.47269
20	0.521575	2.62598	2.44877	1.09666	0.521575	2.62598	2.44877	1.09666
21	0.508519	2.42884	2.38532	0.815492	0.508519	2.42884	2.38532	0.815492
22	0.559818	2.24926	2.2841	0.628342	0.559818	2.24926	2.2841	0.628342
23	0.656702	2.09226	2.16141	0.517308	0.656702	2.09226	2.16141	0.517308
24	0.792452	1.96117	2.03069	0.465869	0.792452	1.96117	2.03069	0.465869
25	0.959942	1.85812	1.90267	0.460598	0.959942	1.85812	1.90267	0.460598
26	1.15143	1.78409	1.78554	0.490871	1.15143	1.78409	1.78554	0.490871
27	1.36075	1.73901	1.68513	0.548476	1.36075	1.73901	1.68513	0.548476
