Time	[free basolateral BSP]	[basolateral bound BSP]	[free intracellular BSP]	[bound intracellular BSP]	[apical BSP]	[total BSP]	[intracellular BSP]
0	88	0	0	0	0	58.6667	0
1	82.3298	5.32489	0.0672565	0.248624	0.019607	58.6667	0.315881
2	77.2534	10.0816	0.105776	0.498362	0.0406134	58.6667	0.604138
3	72.7052	14.3327	0.141059	0.726793	0.0628049	58.6667	0.867852
4	68.6277	18.1337	0.173419	0.936025	0.0861016	58.6667	1.10944
5	64.97	21.5333	0.203139	1.12793	0.11043	58.6667	1.33107
6	61.6872	24.5746	0.230473	1.3042	0.135724	58.6667	1.53468
7	58.7392	27.2959	0.255648	1.46634	0.16192	58.6667	1.72199
8	56.0907	29.7313	0.278867	1.61569	0.188962	58.6667	1.89456
9	53.7101	31.9109	0.300315	1.75347	0.216798	58.6667	2.05379
10	51.5694	33.8616	0.320155	1.88077	0.245381	58.6667	2.20093
11	49.6437	35.6072	0.338536	1.99856	0.274665	58.6667	2.33709
12	47.9106	37.1692	0.35559	2.10771	0.304611	58.6667	2.4633
13	46.3502	38.5666	0.371439	2.20902	0.335181	58.6667	2.58046
14	44.9447	39.8164	0.386189	2.30319	0.366341	58.6667	2.68938
15	43.6783	40.9338	0.399938	2.39087	0.398058	58.6667	2.79081
16	42.5366	41.9325	0.412775	2.47263	0.430303	58.6667	2.88541
17	41.507	42.8246	0.424778	2.54899	0.463048	58.6667	2.97377
18	40.5781	43.6211	0.436018	2.62042	0.49627	58.6667	3.05644
19	39.7395	44.3317	0.446561	2.68734	0.529942	58.6667	3.1339
20	38.9822	44.9651	0.456464	2.75013	0.564045	58.6667	3.20659
21	38.298	45.5293	0.465781	2.80913	0.598557	58.6667	3.27491
22	37.6793	46.0313	0.474558	2.86466	0.63346	58.6667	3.33922
23	37.1197	46.4774	0.48284	2.917	0.668735	58.6667	3.39984
24	36.6131	46.8733	0.490664	2.9664	0.704366	58.6667	3.45706
25	36.1543	47.2241	0.498068	3.01309	0.740338	58.6667	3.51116
26	35.7383	47.5343	0.505082	3.05729	0.776635	58.6667	3.56237
27	35.361	47.8082	0.511736	3.09918	0.813244	58.6667	3.61091
28	35.0184	48.0494	0.518056	3.13893	0.850152	58.6667	3.65698
29	34.7071	48.2611	0.524067	3.1767	0.887347	58.6667	3.70076
30	34.4239	48.4465	0.52979	3.21263	0.924817	58.6667	3.74242
31	34.166	48.6081	0.535244	3.24685	0.962552	58.6667	3.78209
32	33.9308	48.7484	0.540449	3.27948	1.00054	58.6667	3.81992
33	33.7162	48.8696	0.54542	3.31062	1.03877	58.6667	3.85604
34	33.52	48.9736	0.550173	3.34037	1.07724	58.6667	3.89054
35	33.3405	49.0621	0.55472	3.36882	1.11593	58.6667	3.92354
36	33.1759	49.1367	0.559076	3.39606	1.15485	58.6667	3.95513
37	33.0247	49.1989	0.563251	3.42215	1.19397	58.6667	3.9854
38	32.8857	49.2499	0.567256	3.44716	1.23329	58.6667	4.01441
39	32.7576	49.2909	0.571101	3.47116	1.2728	58.6667	4.04226
40	32.6394	49.3229	0.574794	3.4942	1.31251	58.6667	4.06899
41	32.53	49.3467	0.578343	3.51633	1.35239	58.6667	4.09468
42	32.4286	49.3634	0.581756	3.53761	1.39245	58.6667	4.11937
43	32.3344	49.3735	0.585041	3.55808	1.43268	58.6667	4.14312
44	32.2467	49.3778	0.588203	3.57777	1.47306	58.6667	4.16598
45	32.1648	49.3768	0.591247	3.59674	1.51361	58.6667	4.18798
46	32.0881	49.3712	0.594181	3.615	1.5543	58.6667	4.20918
47	32.0163	49.3614	0.597009	3.6326	1.59514	58.6667	4.22961
48	31.9487	49.3479	0.599735	3.64956	1.63612	58.6667	4.24929
49	31.8849	49.3309	0.602363	3.66591	1.67723	58.6667	4.26828
50	31.8247	49.311	0.604899	3.68169	1.71848	58.6667	4.28658
51	31.7676	49.2884	0.607346	3.6969	1.75984	58.6667	4.30425
52	31.7133	49.2634	0.609706	3.71158	1.80133	58.6667	4.32129
53	31.6615	49.2363	0.611985	3.72575	1.84294	58.6667	4.33773
54	31.6121	49.2073	0.614184	3.73942	1.88466	58.6667	4.3536
55	31.5648	49.1766	0.616307	3.75261	1.92649	58.6667	4.36892
56	31.5193	49.1443	0.618357	3.76535	1.96842	58.6667	4.38371
57	31.4756	49.1108	0.620335	3.77765	2.01045	58.6667	4.39798
58	31.4334	49.076	0.622246	3.78952	2.05257	58.6667	4.41177
59	31.3926	49.0402	0.62409	3.80098	2.09479	58.6667	4.42507
60	31.353	49.0034	0.62587	3.81205	2.1371	58.6667	4.43792
61	31.3146	48.9659	0.627588	3.82273	2.1795	58.6667	4.45032
62	31.2772	48.9276	0.629247	3.83304	2.22197	58.6667	4.46228
63	31.2407	48.8887	0.630848	3.84298	2.26453	58.6667	4.47383
64	31.2051	48.8492	0.632392	3.85258	2.30716	58.6667	4.48498
