Time	[NO]	[sGCfast]	[NO_sGCfast]	[NO_sGCfast_6coord]	[NO_sGCfast_5coord]	[sGCslow]	[NO_sGCslow]	[NO_sGCslow_6coord]	[NO_sGCslow_6coord_NO_int]	[NO_sGCslow_5coord]	[NO_sGC_5coord_tot]	[sGC_inact_tot]
0	0.5	0.112	0	0	0	0.288	0	0	0	0	0	0.4
1	0.5	6.1098e-19	-1.13698e-18	0.00110891	0.110891	1.57072e-18	-2.92374e-18	0.230776	0.0218263	0.0353981	0.146289	0.253711
2	0.5	-6.35426e-23	1.17509e-22	0.00110891	0.110891	-1.62923e-22	3.02277e-22	0.201827	0.0191133	0.06706	0.177951	0.222049
3	0.5	9.43427e-21	-1.76074e-20	0.00110891	0.110891	2.42546e-20	-4.52772e-20	0.177086	0.0167947	0.094119	0.20501	0.19499
4	0.5	7.33335e-21	-1.36808e-20	0.00110891	0.110891	1.88537e-20	-3.518e-20	0.155943	0.0148132	0.117244	0.228135	0.171865
5	0.5	1.96229e-21	-3.65826e-21	0.00110891	0.110891	5.04503e-21	-9.40715e-21	0.137873	0.0131198	0.137007	0.247899	0.152101
6	0.5	6.21118e-22	-1.15938e-21	0.00110891	0.110891	1.59699e-21	-2.98131e-21	0.12243	0.0116725	0.153898	0.264789	0.135211
7	0.5	-8.00673e-23	1.48111e-22	0.00110891	0.110891	-2.05931e-22	3.80846e-22	0.109232	0.0104357	0.168332	0.279223	0.120777
8	0.5	3.03442e-24	-5.80603e-24	0.00110891	0.110891	7.79243e-24	-1.49322e-23	0.0979531	0.00937866	0.180668	0.291559	0.108441
9	0.5	1.67221e-23	-3.25557e-23	0.00110891	0.110891	4.29097e-23	-8.37356e-23	0.0883138	0.0084753	0.191211	0.302102	0.097898
10	0.5	7.40558e-26	-1.18087e-25	0.00110891	0.110891	1.91661e-25	-3.03362e-25	0.0800758	0.00770327	0.200221	0.311112	0.088888
11	0.5	-7.06632e-26	9.88864e-26	0.00110891	0.110891	-1.83724e-25	2.53804e-25	0.0730355	0.00704348	0.207921	0.318812	0.0811879
12	0.5	-2.25788e-26	6.82004e-26	0.00110891	0.110891	-5.64252e-26	1.75757e-25	0.0670187	0.00647961	0.214502	0.325393	0.0746073
13	0.5	1.68768e-27	-4.59263e-27	0.00110891	0.110891	4.24865e-27	-1.1831e-26	0.0618766	0.00599771	0.220126	0.331017	0.0689833
14	0.5	3.82044e-28	-6.00831e-29	0.00110891	0.110891	1.02296e-27	-1.44959e-28	0.0574821	0.00558587	0.224932	0.335823	0.0641769
15	0.5	-1.21711e-28	-1.41743e-28	0.00110891	0.110891	-3.35996e-28	-3.69897e-28	0.0537264	0.00523391	0.22904	0.339931	0.0600692
16	0.5	-7.82477e-30	2.1849e-29	0.00110891	0.110891	-1.96422e-29	5.62955e-29	0.0505167	0.00493311	0.23255	0.343441	0.0565588
17	0.5	-3.49557e-30	-6.71997e-31	0.00110891	0.110891	-9.43725e-30	-1.83351e-30	0.0477737	0.00467604	0.23555	0.346441	0.0535586
18	0.5	1.04659e-30	4.25234e-31	0.00110891	0.110891	2.84095e-30	1.12867e-30	0.0454294	0.00445634	0.238114	0.349005	0.0509947
19	0.5	6.07483e-31	8.50314e-32	0.00110891	0.110891	1.63738e-30	2.36357e-31	0.0434259	0.00426858	0.240305	0.351197	0.0488034
20	0.5	-1.46603e-31	-3.0069e-32	0.00110891	0.110891	-3.95816e-31	-8.17506e-32	0.0417137	0.00410812	0.242178	0.353069	0.0469308
21	0.5	-2.90427e-30	-5.9698e-31	0.00110891	0.110891	-7.84191e-30	-1.623e-30	0.0402504	0.00397099	0.243779	0.35467	0.0453303
22	0.5	2.69224e-30	5.72548e-31	0.00110891	0.110891	7.27107e-30	1.55416e-30	0.0389999	0.00385379	0.245146	0.356037	0.0439626
23	0.5	-4.02247e-30	-8.40536e-31	0.00110891	0.110891	-1.08625e-29	-2.28345e-30	0.0379311	0.00375363	0.246315	0.357206	0.0427937
24	0.5	-2.39687e-31	-4.07368e-32	0.00110891	0.110891	-6.46754e-31	-1.11905e-31	0.0370178	0.00366804	0.247314	0.358205	0.0417947
25	0.5	-1.26137e-29	-2.64528e-30	0.00110891	0.110891	-3.40633e-29	-7.18505e-30	0.0362372	0.00359488	0.248168	0.359059	0.040941
26	0.5	1.37364e-29	2.85178e-30	0.00110891	0.110891	3.70932e-29	7.7497e-30	0.0355701	0.00353236	0.248898	0.359789	0.0402113
27	0.5	6.16761e-29	1.26558e-29	0.00110891	0.110891	1.66539e-28	3.44116e-29	0.0349999	0.00347893	0.249521	0.360412	0.0395878
28	0.5	-6.7135e-29	-1.3612e-29	0.00110891	0.110891	-1.81269e-28	-3.70332e-29	0.0345127	0.00343327	0.250054	0.360945	0.0390549
29	0.5	1.47792e-28	2.98841e-29	0.00110891	0.110891	3.99042e-28	8.13149e-29	0.0340963	0.00339425	0.250509	0.361401	0.0385994
30	0.5	-3.60098e-28	-7.27501e-29	0.00110891	0.110891	-9.72271e-28	-1.97962e-28	0.0337404	0.00336089	0.250899	0.36179	0.0382102
31	0.5	6.29265e-28	1.26719e-28	0.00110891	0.110891	1.699e-27	3.44875e-28	0.0334363	0.00333239	0.251231	0.362122	0.0378776
32	0.5	-4.129e-27	-8.30693e-28	0.00110891	0.110891	-1.11482e-26	-2.26089e-27	0.0331764	0.00330803	0.251516	0.362407	0.0375933
33	0.5	1.02705e-26	2.05713e-27	0.00110891	0.110891	2.77294e-26	5.60011e-27	0.0329542	0.00328722	0.251759	0.36265	0.0373504
34	0.5	-2.60322e-26	-5.1986e-27	0.00110891	0.110891	-7.02835e-26	-1.41542e-26	0.0327644	0.00326943	0.251966	0.362857	0.0371427
35	0.5	5.48397e-26	1.09075e-26	0.00110891	0.110891	1.48057e-25	2.97039e-26	0.0326021	0.00325422	0.252144	0.363035	0.0369653
36	0.5	-9.49842e-26	-1.8779e-26	0.00110891	0.110891	-2.56433e-25	-5.11553e-26	0.0324635	0.00324123	0.252295	0.363186	0.0368136
37	0.5	8.89337e-26	1.72537e-26	0.00110891	0.110891	2.40078e-25	4.70457e-26	0.032345	0.00323012	0.252425	0.363316	0.036684
38	0.5	1.84595e-24	3.66194e-25	0.00110891	0.110891	4.98369e-24	9.9737e-25	0.0322437	0.00322063	0.252536	0.363427	0.0365733
39	0.5	-8.10231e-25	-1.5905e-25	0.00110891	0.110891	-2.18735e-24	-4.33422e-25	0.0321572	0.00321252	0.25263	0.363521	0.0364786
40	0.5	9.85068e-26	1.8014e-26	0.00110891	0.110891	2.65852e-25	4.92732e-26	0.0320832	0.00320559	0.252711	0.363602	0.0363977
41	0.5	3.86513e-25	7.59289e-26	0.00110891	0.110891	1.04346e-24	2.06903e-25	0.03202	0.00319966	0.25278	0.363671	0.0363286
42	0.5	-1.79872e-25	-3.33782e-26	0.00110891	0.110891	-4.85472e-25	-9.1226e-26	0.031966	0.0031946	0.252839	0.363731	0.0362695
43	0.5	-1.28408e-26	-4.04302e-27	0.00110891	0.110891	-3.47608e-26	-1.08059e-26	0.0319198	0.00319027	0.25289	0.363781	0.036219
44	0.5	1.13587e-26	2.62408e-27	0.00110891	0.110891	3.06893e-26	7.09598e-27	0.0318803	0.00318658	0.252933	0.363824	0.0361758
45	0.5	1.12759e-27	2.63751e-28	0.00110891	0.110891	3.04676e-27	7.12845e-28	0.0318466	0.00318342	0.25297	0.363861	0.0361389
46	0.5	-4.62148e-27	-1.05848e-27	0.00110891	0.110891	-1.24859e-26	-2.86341e-27	0.0318178	0.00318071	0.253001	0.363893	0.0361074
47	0.5	-3.74311e-26	-8.65651e-27	0.00110891	0.110891	-1.01133e-25	-2.34077e-26	0.0317932	0.00317841	0.253028	0.36392	0.0360805
48	0.5	9.59465e-26	2.22337e-26	0.00110891	0.110891	2.59235e-25	6.01158e-26	0.0317721	0.00317643	0.253051	0.363943	0.0360575
49	0.5	3.6041e-26	8.36e-27	0.00110891	0.110891	9.73784e-26	2.26029e-26	0.0317541	0.00317475	0.253071	0.363962	0.0360378
50	0.5	-3.03055e-25	-7.0178e-26	0.00110891	0.110891	-8.18812e-25	-1.89754e-25	0.0317388	0.00317331	0.253088	0.363979	0.036021
51	0.5	6.11181e-25	1.41484e-25	0.00110891	0.110891	1.65132e-24	3.82563e-25	0.0317256	0.00317208	0.253102	0.363993	0.0360066
52	0.5	3.32467e-25	7.70087e-26	0.00110891	0.110891	8.98279e-25	2.08221e-25	0.0317144	0.00317102	0.253115	0.364006	0.0359943
53	0.5	-2.45089e-24	-5.67341e-25	0.00110891	0.110891	-6.62194e-24	-1.53406e-24	0.0317048	0.00317012	0.253125	0.364016	0.0359838
54	0.5	4.09758e-24	9.48216e-25	0.00110891	0.110891	1.1071e-23	2.56396e-24	0.0316966	0.00316936	0.253134	0.364025	0.0359749
55	0.5	9.99864e-24	2.31416e-24	0.00110891	0.110891	2.70148e-23	6.25739e-24	0.0316896	0.0031687	0.253142	0.364033	0.0359672
56	0.5	2.88197e-25	6.71931e-26	0.00110891	0.110891	7.78696e-25	1.8163e-25	0.0316836	0.00316814	0.253148	0.364039	0.0359606
57	0.5	-5.19164e-24	-1.20125e-24	0.00110891	0.110891	-1.4027e-23	-3.24816e-24	0.0316785	0.00316766	0.253154	0.364045	0.035955
58	0.5	-4.1241e-24	-9.54854e-25	0.00110891	0.110891	-1.11427e-23	-2.58185e-24	0.0316741	0.00316725	0.253159	0.36405	0.0359502
