Time	[Notch protein]	[cytosolic NicD]	[nuclear NicD]	[Lunatic fringe mRNA]	[Lunatic Fringe protein]	[phosph. beta-catenin]	[nuclear beta-catenin]	[Axin2 protein]	[Gsk3]	[beta-catenin]	[Axin2 mRNA]	[active Ras]	[active ERK]	[active TF X]	[Dusp6 mRNA]	[Dusp6 protein]	[inactive Ras]	[inactive ERK]	[inactive TF X]	[Ras total]	[ERK total]	[X total]	[Dsh protein]	[Axin2/Gsk3 destruction complex]	[Kt]	[Fgf]
0	0.5	0.2	0	0.1	0.001	0.1	0.001	0.1	3	0.1	0.1	0.5	0.2	0.1	0.1	0.1	1.5	1.8	1.9	2	2	2	2	0	3	1
1	0.142041	0.474851	0.00084533	0.0504345	0.00624872	0.000321981	0.0795562	0.00253389	2.91168	0.213941	0.364119	1.46318	0.652015	0.0946581	0.0848275	0.0430415	0.536823	1.34798	1.90534	2	2	2	2	0.0883222	3	1
2	0.0629484	0.552079	0.0011877	0.0247722	0.00732753	0.000424313	0.121393	0.00334554	2.90263	0.298563	0.576013	1.98469	1.48519	0.229469	0.0862033	0.021269	0.0153101	0.514811	1.77053	2	2	2	2	0.0973696	3	1
3	0.0466762	0.586571	0.00137971	0.0121008	0.00671587	0.000546695	0.161423	0.00429015	2.88842	0.383789	0.792664	1.98878	1.9996	0.526013	0.152551	0.0172198	0.0112191	0.000398219	1.47399	2	2	2	2	0.111576	3	1
4	0.0433871	0.611798	0.00153329	0.0060183	0.00558033	0.000695874	0.200961	0.00530439	2.86931	0.468047	1.00248	1.98878	1.99949	0.848543	0.282706	0.0256615	0.0112187	0.000506858	1.15146	2	2	2	2	0.130691	3	1
5	0.0427238	0.634622	0.00168607	0.00316513	0.00441995	0.000876732	0.239963	0.00645417	2.8454	0.551064	1.22538	1.98878	1.99916	1.16238	0.436068	0.0419705	0.0112187	0.000836324	0.837624	2	2	2	2	0.154604	3	1
6	0.0425896	0.656441	0.00184868	0.0018737	0.00341771	0.00109517	0.27832	0.00780634	2.81635	0.632581	1.47672	1.98878	1.99873	1.46455	0.595616	0.0627767	0.0112187	0.00126729	0.53545	2	2	2	2	0.183653	3	1
7	0.0425621	0.677553	0.00202484	0.0013392	0.00261724	0.00135863	0.315896	0.00942072	2.78152	0.712288	1.76678	1.98878	1.99823	1.74274	0.755525	0.0864674	0.0112187	0.00176863	0.25726	2	2	2	2	0.218479	3	1
8	0.0425563	0.698032	0.00221679	0.00117998	0.00200671	0.00167613	0.352533	0.0113556	2.7401	0.789813	2.10253	1.98878	1.99767	1.94178	0.913431	0.112377	0.0112187	0.00232891	0.0582207	2	2	2	2	0.259905	3	1
9	0.0425549	0.71791	0.00242662	0.00121856	0.00155664	0.00205807	0.388036	0.013671	2.69116	0.864711	2.48836	1.98878	1.99706	1.97746	1.06742	0.140204	0.0112187	0.00294467	0.0225442	2	2	2	2	0.308844	3	1
