Time	[Ca_Cyt]	[IP3_Cyt]	[Ca_ER]	[S2]	[S2a]	[S4]	[Oc]	[O_o]	[Orai1]	Values[h]
0	0	0	0	0.54	0.06	0	0	0	0.001	0
1	0.0149482	0.00139507	0.00970765	0.360007	0.239992	0.150563	0.000129313	1.19194e-05	0.00043507	0.180959
2	0.0403887	0.0298877	0.21619	0.359525	0.239803	0.217115	0.000199112	2.63874e-05	9.80006e-05	0.325825
3	0.0503588	0.089662	0.687085	0.355589	0.237697	0.246785	0.000209588	3.38334e-05	2.6313e-05	0.439826
4	0.0523195	0.15487	1.25525	0.346166	0.232017	0.259314	0.000208496	3.49192e-05	2.63409e-05	0.529932
5	0.0524648	0.215053	1.83595	0.332112	0.22311	0.263462	0.000208729	3.46867e-05	2.63365e-05	0.601632
6	0.0522481	0.268953	2.4106	0.314885	0.211923	0.263175	0.000209327	3.40919e-05	2.63235e-05	0.658841
7	0.0519304	0.316928	2.9736	0.295916	0.199421	0.260247	0.000210111	3.33128e-05	2.63063e-05	0.704555
8	0.0515845	0.359581	3.5219	0.276415	0.186441	0.255524	0.000211019	3.24094e-05	2.62863e-05	0.741128
9	0.0512445	0.397522	4.05341	0.257288	0.173622	0.249441	0.000212011	3.14229e-05	2.62644e-05	0.770424
10	0.0509305	0.431319	4.56676	0.239126	0.161391	0.242273	0.000213051	3.03882e-05	2.62414e-05	0.793915
11	0.0506541	0.461483	5.06119	0.222265	0.149998	0.234237	0.000214111	2.93346e-05	2.62181e-05	0.812769
12	0.0504218	0.488464	5.53641	0.206842	0.139554	0.225534	0.000215166	2.82854e-05	2.61949e-05	0.827913
13	0.0502365	0.512652	5.99254	0.192873	0.130081	0.216356	0.000216199	2.7258e-05	2.6172e-05	0.840079
14	0.0500991	0.534385	6.42997	0.180292	0.121543	0.206889	0.000217198	2.62647e-05	2.61501e-05	0.849853
15	0.0500092	0.553955	6.84931	0.168998	0.113875	0.197306	0.000218154	2.53136e-05	2.61291e-05	0.857699
16	0.0499657	0.571615	7.25126	0.158868	0.106997	0.187758	0.000219063	2.44093e-05	2.61091e-05	0.86399
17	0.0499672	0.587582	7.63662	0.14978	0.100827	0.178372	0.000219924	2.35539e-05	2.60903e-05	0.869022
18	0.0500122	0.602044	8.00619	0.141616	0.0952859	0.169248	0.000220734	2.27476e-05	2.60725e-05	0.87303
19	0.0500993	0.615168	8.36077	0.134269	0.090301	0.160465	0.000221496	2.19897e-05	2.60559e-05	0.876204
20	0.0502275	0.627095	8.70116	0.127642	0.0858063	0.152076	0.000222212	2.12784e-05	2.60402e-05	0.878696
21	0.0503959	0.637952	9.02809	0.121649	0.0817435	0.144115	0.000222882	2.06115e-05	2.60256e-05	0.880627
22	0.050604	0.64785	9.34228	0.116216	0.0780615	0.1366	0.000223511	1.99865e-05	2.60119e-05	0.882094
23	0.0508517	0.656887	9.64436	0.111276	0.0747159	0.129536	0.000224099	1.94009e-05	2.59991e-05	0.883175
24	0.0511393	0.665152	9.93495	0.106774	0.0716679	0.12292	0.000224651	1.88521e-05	2.59871e-05	0.883932
25	0.0514676	0.672721	10.2146	0.102661	0.068884	0.116738	0.000225168	1.83377e-05	2.59759e-05	0.884413
26	0.051838	0.679665	10.4838	0.0988931	0.0663353	0.110975	0.000225653	1.78553e-05	2.59654e-05	0.884659
27	0.0522524	0.686049	10.743	0.0954347	0.0639967	0.10561	0.000226108	1.74027e-05	2.59555e-05	0.8847
