Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[OCT4_SOX2]	[Protein]
0	0	0	0	0.01	0	0	10	0.01	0.01	0.01	0.1	0
1	0	0	0	0.01	0	0	10	5.69839	5.69839	0.00463194	0.257689	0.010537
2	0	0	0	0.01	0	0	10	6.96996	6.96996	0.00439555	0.465862	0.0450474
3	0	0	0	0.01	0	0	10	7.20689	7.20689	0.00499526	0.515406	0.0895383
4	0	0	0	0.01	0	0	10	7.2495	7.2495	0.0053718	0.524742	0.135756
5	0	0	0	0.01	0	0	10	7.25713	7.25713	0.00554441	0.526427	0.18191
6	0	0	0	0.01	0	0	10	7.2585	7.2585	0.00561615	0.52673	0.227674
7	0	0	0	0.01	0	0	10	7.25875	7.25875	0.00564483	0.526785	0.272995
8	0	0	0	0.01	0	0	10	7.2588	7.2588	0.00565611	0.526795	0.317866
9	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566052	0.526797	0.362292
10	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566223	0.526798	0.406275
11	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566289	0.526798	0.449821
12	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566315	0.526798	0.492934
13	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566325	0.526798	0.535617
14	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566329	0.526798	0.577876
15	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566331	0.526798	0.619715
16	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566331	0.526798	0.661137
17	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.702147
18	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.742749
19	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.782947
20	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.822745
21	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.862147
22	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.901157
23	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.939778
24	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	0.978016
25	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.01587
26	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.05335
27	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.09046
28	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.1272
29	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.16357
30	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.19958
31	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.23523
32	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.27053
33	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.30548
34	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.34008
35	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.37433
36	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.40824
37	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.44182
38	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.47506
39	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.50797
40	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.54056
41	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.57282
42	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.60476
43	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.63638
44	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.66768
45	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.69868
46	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.72936
47	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.75974
