Time	[cyclinB]	[cdk1]	[ubiquitin ligase]	[cyclinE]	[cdk2]	[Ubiquitin ligase 2]
0	2	1	0	0	0	0
1	2.04711	0.984178	0.0622956	0.00147427	5.45924e-05	8.50951e-07
2	2.0927	0.984104	0.11482	0.00295123	0.00011353	2.0147e-06
3	2.13687	0.984264	0.165467	0.00442655	0.000172747	3.18676e-06
4	2.17966	0.984417	0.215207	0.00590016	0.000232239	4.36457e-06
5	2.22109	0.984558	0.264385	0.00737207	0.000292011	5.54817e-06
6	2.26116	0.984688	0.313159	0.0088423	0.000352064	6.73762e-06
7	2.29989	0.984808	0.361611	0.0103109	0.0004124	7.93297e-06
8	2.33728	0.984919	0.409784	0.0117778	0.000473023	9.13427e-06
9	2.37335	0.985022	0.457698	0.013243	0.000533934	1.03416e-05
10	2.4081	0.985117	0.505358	0.0147067	0.000595137	1.15549e-05
11	2.44153	0.985206	0.552752	0.0161687	0.000656633	1.27744e-05
12	2.47366	0.985288	0.599856	0.0176291	0.000718425	1.40001e-05
13	2.50449	0.985364	0.646627	0.019088	0.000780515	1.52319e-05
14	2.53404	0.985435	0.693	0.0205452	0.000842906	1.647e-05
15	2.56232	0.985501	0.738877	0.0220008	0.000905601	1.77145e-05
16	2.58934	0.985562	0.784099	0.0234549	0.000968601	1.89653e-05
17	2.61512	0.98562	0.828411	0.0249075	0.00103191	2.02226e-05
18	2.63969	0.985673	0.871357	0.0263584	0.00109553	2.14863e-05
19	2.66309	0.985722	0.912045	0.0278078	0.00115946	2.27566e-05
20	2.68541	0.985768	0.948484	0.0292557	0.00122371	2.40334e-05
21	2.7068	0.985812	0.975866	0.030702	0.00128827	2.53169e-05
22	2.72758	0.985853	0.987715	0.0321468	0.00135316	2.66071e-05
23	2.74809	0.985892	0.989707	0.0335901	0.00141837	2.79041e-05
24	2.76845	0.985931	0.989899	0.0350319	0.0014839	2.92078e-05
25	2.7887	0.985969	0.989916	0.0364721	0.00154977	3.05185e-05
26	2.80882	0.986006	0.989918	0.0379108	0.00161596	3.1836e-05
27	2.82882	0.986042	0.989919	0.039348	0.00168248	3.31605e-05
28	2.8487	0.986077	0.98992	0.0407836	0.00174934	3.4492e-05
29	2.86847	0.986111	0.98992	0.0422178	0.00181654	3.58306e-05
30	2.88811	0.986145	0.989921	0.0436504	0.00188408	3.71764e-05
31	2.90762	0.986178	0.989922	0.0450815	0.00195196	3.85293e-05
32	2.92702	0.98621	0.989923	0.0465111	0.00202019	3.98895e-05
33	2.9463	0.986241	0.989923	0.0479393	0.00208877	4.1257e-05
34	2.96546	0.986272	0.989924	0.0493659	0.00215769	4.26318e-05
35	2.9845	0.986302	0.989924	0.050791	0.00222697	4.40141e-05
36	3.00341	0.986331	0.989925	0.0522146	0.00229661	4.54039e-05
37	3.02221	0.98636	0.989926	0.0536367	0.0023666	4.68012e-05
38	3.04089	0.986388	0.989926	0.0550573	0.00243696	4.82061e-05
39	3.05944	0.986416	0.989927	0.0564764	0.00250768	4.96187e-05
40	3.07788	0.986443	0.989927	0.0578941	0.00257877	5.10391e-05
41	3.09619	0.98647	0.989928	0.0593102	0.00265023	5.24672e-05
42	3.11439	0.986496	0.989928	0.0607249	0.00272206	5.39032e-05
43	3.13247	0.986521	0.989929	0.0621381	0.00279427	5.53471e-05
44	3.15042	0.986546	0.98993	0.0635498	0.00286685	5.6799e-05
45	3.16826	0.98657	0.98993	0.06496	0.00293982	5.82589e-05
46	3.18597	0.986594	0.989931	0.0663687	0.00301318	5.9727e-05
47	3.20357	0.986618	0.989931	0.067776	0.00308692	6.12032e-05
48	3.22105	0.986641	0.989931	0.0691818	0.00316105	6.26878e-05
49	3.23841	0.986663	0.989932	0.0705861	0.00323557	6.41806e-05
50	3.25564	0.986685	0.989932	0.0719889	0.00331049	6.56818e-05
51	3.27276	0.986707	0.989933	0.0733903	0.00338582	6.71915e-05
52	3.28976	0.986728	0.989933	0.0747902	0.00346154	6.87097e-05
53	3.30664	0.986749	0.989934	0.0761886	0.00353768	7.02366e-05
54	3.3234	0.98677	0.989934	0.0775856	0.00361422	7.17721e-05
55	3.34004	0.98679	0.989935	0.0789811	0.00369117	7.33164e-05
56	3.35656	0.986809	0.989935	0.0803752	0.00376854	7.48695e-05
57	3.37296	0.986829	0.989935	0.0817678	0.00384634	7.64315e-05
58	3.38925	0.986848	0.989936	0.0831589	0.00392455	7.80024e-05
59	3.40541	0.986866	0.989936	0.0845486	0.00400319	7.95825e-05
60	3.42145	0.986885	0.989937	0.0859369	0.00408226	8.11716e-05
61	3.43738	0.986903	0.989937	0.0873237	0.00416177	8.277e-05
62	3.45319	0.98692	0.989937	0.088709	0.00424171	8.43777e-05
63	3.46887	0.986937	0.989938	0.0900929	0.00432209	8.59947e-05
64	3.48444	0.986954	0.989938	0.0914753	0.00440292	8.76212e-05
65	3.49989	0.986971	0.989938	0.0928563	0.00448419	8.92572e-05
66	3.51522	0.986988	0.989939	0.0942359	0.00456591	9.09029e-05
67	3.53044	0.987004	0.989939	0.095614	0.0046481	9.25582e-05
68	3.54553	0.987019	0.989939	0.0969907	0.00473074	9.42234e-05
69	3.5605	0.987035	0.98994	0.0983659	0.00481384	9.58983e-05
70	3.57536	0.98705	0.98994	0.0997397	0.00489741	9.75833e-05
71	3.5901	0.987065	0.98994	0.101112	0.00498144	9.92783e-05
72	3.60472	0.98708	0.989941	0.102483	0.00506596	0.000100983
73	3.61922	0.987095	0.989941	0.103852	0.00515095	0.000102699
74	3.6336	0.987109	0.989941	0.105221	0.00523642	0.000104424
75	3.64786	0.987123	0.989941	0.106587	0.00532238	0.00010616
76	3.66201	0.987137	0.989942	0.107952	0.00540883	0.000107907
77	3.67604	0.98715	0.989942	0.109316	0.00549577	0.000109664
78	3.68995	0.987163	0.989942	0.110679	0.00558321	0.000111432
79	3.70374	0.987176	0.989943	0.11204	0.00567116	0.000113211
80	3.71741	0.987189	0.989943	0.113399	0.00575961	0.000115
81	3.73096	0.987202	0.989943	0.114757	0.00584857	0.0001168
82	3.7444	0.987214	0.989943	0.116114	0.00593805	0.000118612
83	3.75772	0.987226	0.989944	0.117469	0.00602806	0.000120435
84	3.77092	0.987238	0.989944	0.118823	0.00611858	0.000122269
85	3.784	0.98725	0.989944	0.120175	0.00620964	0.000124114
86	3.79696	0.987262	0.989944	0.121526	0.00630123	0.000125971
87	3.80981	0.987273	0.989945	0.122876	0.00639336	0.00012784
88	3.82254	0.987284	0.989945	0.124224	0.00648603	0.00012972
89	3.83515	0.987295	0.989945	0.125571	0.00657924	0.000131612
90	3.84764	0.987306	0.989945	0.126916	0.00667302	0.000133516
91	3.86001	0.987317	0.989945	0.12826	0.00676734	0.000135432
92	3.87227	0.987327	0.989946	0.129603	0.00686223	0.00013736
93	3.88441	0.987338	0.989946	0.130944	0.00695769	0.0001393
94	3.89643	0.987348	0.989946	0.132284	0.00705372	0.000141253
95	3.90834	0.987358	0.989946	0.133622	0.00715033	0.000143218
96	3.92012	0.987368	0.989946	0.134959	0.00724752	0.000145196
97	3.93179	0.987377	0.989947	0.136295	0.0073453	0.000147187
98	3.94335	0.987387	0.989947	0.137629	0.00744367	0.00014919
99	3.95478	0.987396	0.989947	0.138962	0.00754264	0.000151207
100	3.9661	0.987405	0.989947	0.140293	0.00764221	0.000153236
