Time	[E2F]	[pRB]	[Phosphorylated pRB]	[inactive cycE_cdk2]	[active cycE_cdk2]	[AP-1]
0	0.014	0.006	0	0	0.0001	0
1	0.762756	0.523797	2.09855e-06	0.048814	1.36549e-05	0.0418715
2	0.86617	1.34272	3.72312e-06	0.128597	1.99733e-06	0.0797585
3	0.876832	2.2004	3.93137e-06	0.215387	3.17752e-07	0.11404
4	0.856637	3.04248	3.69773e-06	0.30392	5.51961e-08	0.145059
5	0.823307	3.84867	3.37944e-06	0.392033	1.04746e-08	0.173127
6	0.784166	4.61037	3.066e-06	0.478645	2.1694e-09	0.198523
7	0.742818	5.32423	2.77629e-06	0.563176	4.89462e-10	0.221502
8	0.701213	5.9896	2.51264e-06	0.645317	1.20032e-10	0.242295
9	0.660454	6.60731	2.27369e-06	0.724916	3.19155e-11	0.261109
10	0.621173	7.17901	2.05737e-06	0.801916	9.17724e-12	0.278133
11	0.583726	7.70684	1.8616e-06	0.876325	2.8464e-12	0.293537
12	0.548293	8.19314	1.68445e-06	0.948188	9.49821e-13	0.307475
13	0.514946	8.64039	1.52415e-06	1.01758	3.40146e-13	0.320086
14	0.483689	9.05104	1.37911e-06	1.08457	1.30417e-13	0.331497
15	0.454479	9.42754	1.24787e-06	1.14928	5.3402e-14	0.341823
16	0.427243	9.77221	1.12912e-06	1.21179	2.33045e-14	0.351166
17	0.401895	10.0873	1.02167e-06	1.27222	1.08049e-14	0.359619
18	0.378333	10.3749	9.24446e-07	1.33065	5.32148e-15	0.367268
19	0.356457	10.6371	8.36474e-07	1.38719	2.78293e-15	0.37419
20	0.336159	10.8757	7.56874e-07	1.44194	1.53797e-15	0.380452
21	0.317338	11.0925	6.84848e-07	1.49498	8.91137e-16	0.386119
22	0.299892	11.2891	6.19676e-07	1.54641	5.43677e-16	0.391247
23	0.283725	11.467	5.60706e-07	1.59631	3.52184e-16	0.395886
24	0.268744	11.6276	5.07348e-07	1.64476	2.38388e-16	0.400084
25	0.254863	11.7723	4.59067e-07	1.69183	1.69764e-16	0.403883
26	0.242	11.9023	4.15381e-07	1.73759	1.2761e-16	0.40732
27	0.230078	12.0186	3.75853e-07	1.78212	1.02423e-16	0.41043
28	0.219026	12.1224	3.40086e-07	1.82547	8.23425e-17	0.413244
29	0.208778	12.2146	3.07722e-07	1.8677	6.91923e-17	0.41579
30	0.199271	12.296	2.78439e-07	1.90887	6.14324e-17	0.418094
31	0.19045	12.3674	2.51942e-07	1.94903	5.67359e-17	0.420178
32	0.18226	12.4298	2.27966e-07	1.98823	5.44203e-17	0.422065
33	0.174654	12.4836	2.06272e-07	2.0265	5.42127e-17	0.423771
34	0.167587	12.5296	1.86643e-07	2.0639	5.61192e-17	0.425316
35	0.161018	12.5684	1.68882e-07	2.10046	6.03108e-17	0.426713
36	0.154909	12.6004	1.52811e-07	2.13623	6.72974e-17	0.427978
37	0.149224	12.6263	1.38269e-07	2.17123	7.77699e-17	0.429122
38	0.143933	12.6465	1.25111e-07	2.2055	9.3005e-17	0.430157
39	0.139005	12.6614	1.13205e-07	2.23907	1.15016e-16	0.431094
40	0.134413	12.6714	1.02432e-07	2.27197	1.47093e-16	0.431941
41	0.130133	12.6769	9.26846e-08	2.30422	1.94295e-16	0.432708
42	0.126142	12.6783	8.38645e-08	2.33586	2.65194e-16	0.433402
43	0.12242	12.6757	7.58838e-08	2.3669	3.73229e-16	0.43403
44	0.118946	12.6697	6.86625e-08	2.39737	5.42113e-16	0.434598
45	0.115703	12.6603	6.21285e-08	2.42729	8.10422e-16	0.435112
46	0.112676	12.648	5.62162e-08	2.45668	1.25098e-15	0.435577
47	0.109849	12.6328	5.08666e-08	2.48556	1.98491e-15	0.435998
48	0.107208	12.6151	4.60259e-08	2.51394	3.22797e-15	0.436379
49	0.104742	12.595	4.16458e-08	2.54186	5.44642e-15	0.436723
50	0.102438	12.5727	3.76827e-08	2.56931	9.37254e-15	0.437035
51	0.100285	12.5485	3.40967e-08	2.59632	1.66279e-14	0.437317
52	0.0982748	12.5224	3.08521e-08	2.6229	3.02882e-14	0.437573
53	0.0963974	12.4946	2.79163e-08	2.64907	5.66411e-14	0.437804
54	0.0946445	12.4653	2.52601e-08	2.67484	1.08722e-13	0.438013
55	0.0930084	12.4346	2.2857e-08	2.70022	2.14095e-13	0.438202
56	0.0914821	12.4027	2.06834e-08	2.72522	4.32348e-13	0.438373
57	0.090059	12.3696	1.87181e-08	2.74986	8.95004e-13	0.438528
58	0.0887329	12.3354	1.69431e-08	2.77414	1.89868e-12	0.438668
59	0.0874982	12.3004	1.53443e-08	2.79809	4.12604e-12	0.438795
60	0.0863497	12.2645	1.39138e-08	2.82169	9.18227e-12	0.438909
61	0.0852826	12.2278	1.26565e-08	2.84286	2.09037e-11	0.397142
62	0.0842922	12.1905	1.16052e-08	2.85976	4.85007e-11	0.359349
63	0.0833745	12.1526	1.08584e-08	2.87284	1.14226e-10	0.325152
64	0.0825256	12.1142	1.06702e-08	2.88247	2.72084e-10	0.29421
65	0.0817417	12.0754	1.16714e-08	2.889	6.53334e-10	0.266212
66	0.0810195	12.0362	1.54029e-08	2.89274	1.57684e-09	0.240879
67	0.0803559	11.9967	2.56048e-08	2.89399	3.81519e-09	0.217956
68	0.0797478	11.957	5.13121e-08	2.893	9.2319e-09	0.197215
69	0.0791925	11.9171	1.14236e-07	2.89	2.22942e-08	0.178447
70	0.0786875	11.8771	2.66219e-07	2.88521	5.36283e-08	0.161466
71	0.0782302	11.837	6.3009e-07	2.87882	1.2828e-07	0.1461
72	0.0778184	11.7968	1.49425e-06	2.87099	3.04672e-07	0.132197
73	0.0774498	11.7567	3.52897e-06	2.86189	7.17503e-07	0.119617
74	0.0771226	11.7166	8.27429e-06	2.85166	1.67345e-06	0.108234
75	0.0768347	11.6766	1.92253e-05	2.84043	3.86133e-06	0.0979339
76	0.0765844	11.6367	4.42094e-05	2.8283	8.8061e-06	0.0886143
77	0.0763699	11.5969	0.00010051	2.81538	1.9833e-05	0.0801815
78	0.0761896	11.5573	0.000225733	2.80177	4.40789e-05	0.0725512
79	0.0760422	11.5177	0.000500432	2.78752	9.66097e-05	0.0656471
80	0.0759261	11.4781	0.00109441	2.77269	0.000208687	0.0593999
81	0.0758404	11.4379	0.00235957	2.75729	0.000444023	0.0537473
82	0.0757845	11.3966	0.00501242	2.74124	0.000930012	0.0486325
83	0.0757584	11.3524	0.0104841	2.72436	0.00191616	0.0440045
84	0.0757638	11.3022	0.0215731	2.70622	0.00387964	0.039817
85	0.0758055	11.2401	0.0436133	2.68598	0.00770651	0.0360279
86	0.0758935	11.1549	0.0864389	2.66211	0.0149768	0.0325994
87	0.0760486	11.0267	0.167332	2.632	0.0283386	0.0294971
88	0.0763102	10.823	0.314435	2.5917	0.051786	0.0266901
89	0.0767501	10.4963	0.567945	2.53631	0.0902495	0.0241502
90	0.0774925	9.99057	0.97254	2.46217	0.147441	0.021852
91	0.0787385	9.26614	1.5537	2.37104	0.221663	0.0197725
92	0.0807912	8.33535	2.28505	2.27309	0.302832	0.0178909
93	0.084072	7.27739	3.07904	2.18317	0.376177	0.0161884
94	0.0891287	6.20593	3.82357	2.11223	0.430933	0.0146478
95	0.0966407	5.21742	4.43352	2.06269	0.464851	0.0132539
96	0.107418	4.36489	4.8732	2.03106	0.481695	0.0119926
97	0.122376	3.66311	5.14716	2.01223	0.486914	0.0108514
98	0.142441	3.10501	5.28104	2.00191	0.485213	0.00981874
99	0.168363	2.67486	5.30711	1.99719	0.479986	0.00888437
100	0.20042	2.35555	5.25653	1.9963	0.473539	0.00803891
