Time	[_5mTHF]	[THF]	[DHF]	[_5_10_CH2THF]	[_5_10_CHTHF]	[_10fTHF]	[Ser]	[Gly]	[dUMP]	[GAR]	[AICAR]	[HCOOH]	[NADPH]	[Hcy]
0	5.16	6.73	0.027	0.94	1.153	5.99	468	1850	20	10	2.1	900	50	1
1	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
2	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
3	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
4	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
5	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
6	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
7	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
8	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
9	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
10	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
11	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
12	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
13	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
14	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
15	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
16	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
17	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
18	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
19	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
20	5.16185	6.72775	0.027238	0.939753	1.15269	5.99073	468	1850	20	10	2.1	900	50	1
