Time	[ACA]	[CAR1]	[PKA]	[incAMP]	[ERK2]	[REGA]	[excAMP]
0	3.39	2.45	1.6	1.2	1.13	0.9	0.48
1	2.92232	2.31523	2.03684	1.34119	0.993491	0.765789	0.436361
2	2.20186	1.82275	2.1535	1.26021	0.757021	0.859202	0.334207
3	1.7711	1.40433	1.90509	0.992093	0.607514	1.03659	0.26209
4	1.74332	1.25946	1.49847	0.744296	0.59055	1.18277	0.246459
5	2.09597	1.40063	1.20603	0.654174	0.699123	1.19091	0.286076
6	2.73179	1.78903	1.17836	0.756236	0.902917	1.03252	0.370578
7	3.25816	2.24205	1.44144	1.01817	1.08158	0.828808	0.454245
8	3.12005	2.3652	1.86485	1.28115	1.0527	0.73835	0.456393
9	2.45257	2.00597	2.13561	1.31859	0.840262	0.800551	0.370975
10	1.89072	1.53552	2.02919	1.10391	0.649844	0.963964	0.283495
11	1.71048	1.28248	1.65396	0.826785	0.582613	1.13612	0.246155
12	1.92011	1.31573	1.29411	0.668076	0.644144	1.20723	0.264959
13	2.46915	1.61723	1.15584	0.695784	0.817983	1.10757	0.334491
14	3.10548	2.08114	1.31083	0.905145	1.02746	0.900814	0.426926
15	3.26126	2.37682	1.69987	1.19458	1.09269	0.755228	0.468031
16	2.72768	2.18216	2.0678	1.3372	0.929965	0.761357	0.408909
17	2.06913	1.7025	2.11248	1.20548	0.711394	0.89431	0.312821
18	1.73563	1.34838	1.81159	0.927259	0.593881	1.07497	0.254211
19	1.79778	1.27177	1.4155	0.709923	0.60678	1.19674	0.251697
20	2.22709	1.47396	1.17785	0.663541	0.740746	1.16447	0.302803
21	2.88064	1.89847	1.21846	0.807048	0.952009	0.982163	0.392293
22	3.2877	2.30867	1.53467	1.08631	1.09483	0.795604	0.463124
23	2.98443	2.31205	1.94964	1.3119	1.01112	0.741746	0.440991
24	2.29829	1.89006	2.14066	1.28354	0.788833	0.832734	0.34812
25	1.8193	1.45594	1.95374	1.03701	0.624482	1.00583	0.27061
26	1.73122	1.26941	1.56065	0.777493	0.587744	1.16278	0.246496
27	2.02442	1.36658	1.24163	0.660011	0.676843	1.19684	0.277536
28	2.62395	1.71853	1.16928	0.731583	0.868096	1.06214	0.355754
29	3.19811	2.17699	1.38791	0.971847	1.06021	0.856711	0.443316
30	3.17944	2.37192	1.79785	1.24647	1.06974	0.744312	0.461488
31	2.56164	2.07685	2.10895	1.32671	0.875957	0.784188	0.386108
32	1.96135	1.60147	2.06305	1.14459	0.674228	0.935183	0.295079
33	1.72129	1.30904	1.71678	0.86662	0.587384	1.11067	0.249457
34	1.87107	1.29846	1.34236	0.684742	0.629245	1.20244	0.259684
35	2.37045	1.55901	1.16448	0.682697	0.786561	1.12998	0.321585
36	3.01577	2.00725	1.27309	0.865132	0.997319	0.932369	0.412995
37	3.27566	2.35159	1.63299	1.15119	1.09482	0.77024	0.466565
38	2.83016	2.23546	2.02124	1.32805	0.962533	0.7528	0.421863
39	2.15845	1.77608	2.12476	1.237	0.741639	0.869051	0.32661
40	1.76873	1.39051	1.86818	0.970477	0.605989	1.04664	0.260659
41	1.77142	1.27097	1.47259	0.736354	0.599296	1.1827	0.249657
42	2.1451	1.43072	1.20271	0.661887	0.714963	1.1772	0.292601
43	2.77777	1.82585	1.19816	0.776371	0.918384	1.0133	0.377587
44	3.25587	2.25767	1.47532	1.04039	1.08225	0.818582	0.455662
45	3.06415	2.33851	1.8897	1.28689	1.03531	0.741799	0.449582
46	2.40043	1.9636	2.1296	1.30162	0.822741	0.81279	0.362948
47	1.87413	1.51212	1.99765	1.07937	0.643707	0.977175	0.280049
48	1.72715	1.28472	1.62176	0.812023	0.587574	1.14169	0.247629
49	1.96281	1.33927	1.28058	0.669318	0.657776	1.19903	0.270374
50	2.52232	1.65438	1.16654	0.711653	0.835439	1.08871	0.342027
51	3.12865	2.11032	1.34138	0.928993	1.03613	0.885376	0.431554
52	3.2219	2.36714	1.73257	1.20952	1.08119	0.753291	0.464162
53	2.66638	2.14034	2.076	1.32868	0.909898	0.770999	0.40021
54	2.03647	1.66851	2.08877	1.18128	0.699974	0.908498	0.30713
55	1.73913	1.34003	1.77609	0.906696	0.59443	1.08504	0.253705
56	1.83111	1.28719	1.39245	0.704271	0.617266	1.1947	0.255647
57	2.28026	1.50759	1.17843	0.67388	0.757949	1.14867	0.309974
58	2.92321	1.93555	1.24239	0.829425	0.966566	0.963293	0.399096
59	3.2733	2.31757	1.57032	1.10785	1.09164	0.787749	0.462974
60	2.9232	2.27854	1.97097	1.31353	0.99169	0.747446	0.433101
61	2.2503	1.84832	2.12876	1.2633	0.77252	0.846319	0.340489
62	1.80819	1.43636	1.91935	1.01256	0.620149	1.01901	0.267944
63	1.75322	1.27554	1.52985	0.764937	0.594446	1.16667	0.248729
64	2.07228	1.39405	1.23179	0.664003	0.692158	1.1861	0.283711
65	2.67748	1.75789	1.18443	0.750191	0.88581	1.04242	0.363552
66	3.21095	2.20193	1.42178	0.996513	1.06572	0.843203	0.44677
67	3.12981	2.35356	1.82904	1.25812	1.05471	0.744957	0.455978
68	2.50186	2.03264	2.11114	1.31383	0.856132	0.795666	0.377308
69	1.93454	1.57088	2.03458	1.11908	0.664696	0.949937	0.290168
70	1.73046	1.30488	1.68116	0.847779	0.589798	1.1196	0.249768
71	1.91012	1.31805	1.32253	0.681887	0.641587	1.19782	0.26445
72	2.42685	1.59611	1.16959	0.696022	0.804892	1.11221	0.329342
73	3.05185	2.04299	1.30137	0.889523	1.01	0.914494	0.419208
74	3.24801	2.35196	1.66938	1.17091	1.08731	0.765092	0.464573
75	2.76588	2.19603	2.03753	1.32488	0.941792	0.760802	0.413164
76	2.11589	1.7363	2.10663	1.21387	0.727	0.883793	0.319601
77	1.76375	1.37535	1.8317	0.946816	0.603679	1.05933	0.258872
78	1.79943	1.28148	1.44411	0.726497	0.60796	1.18431	0.252748
79	2.19801	1.46238	1.19728	0.668996	0.731954	1.16375	0.299556
80	2.82924	1.86642	1.21821	0.797762	0.935621	0.993293	0.385372
81	3.25569	2.27613	1.51194	1.06498	1.08369	0.807518	0.457515
82	3.00593	2.31138	1.91778	1.29421	1.01719	0.74514	0.442549
83	2.34416	1.91865	2.12493	1.28443	0.803847	0.82599	0.354362
84	1.85386	1.48576	1.96496	1.05328	0.636314	0.992109	0.276044
85	1.74261	1.28522	1.587	0.795497	0.592058	1.14889	0.248844
86	2.00789	1.36342	1.26478	0.66964	0.67209	1.19143	0.276022
87	2.58046	1.69453	1.17675	0.728177	0.854462	1.06934	0.350226
88	3.15492	2.14265	1.37387	0.954852	1.04587	0.869171	0.436723
89	3.18113	2.35774	1.76829	1.22621	1.06928	0.751072	0.46021
90	2.60168	2.09651	2.08593	1.32035	0.888705	0.781245	0.391062
91	2.00037	1.63193	2.06454	1.15592	0.687389	0.924095	0.300935
92	1.74082	1.32975	1.73854	0.884552	0.594319	1.09668	0.252878
93	1.86563	1.3025	1.3672	0.697535	0.628053	1.1935	0.259671
94	2.33757	1.54342	1.17805	0.684381	0.776435	1.1326	0.317665
95	2.96957	1.97581	1.26752	0.853398	0.98238	0.943731	0.406496
96	3.25837	2.32746	1.60868	1.1312	1.08835	0.779541	0.462878
97	2.85902	2.24343	1.9943	1.31569	0.971288	0.753491	0.42483
98	2.19925	1.80434	2.11682	1.24223	0.755176	0.861018	0.332418
99	1.79499	1.41488	1.88334	0.986725	0.615083	1.03365	0.264939
100	1.77547	1.28106	1.49703	0.751258	0.601156	1.17154	0.250919
