Time	[Fru]	[Glc]	[HexP]	[Suc6P]	[Suc]	[Sucvac]	[glycolysis]	[phos]	[UDP]	[ADP]	[ATP]	[Glcex]	[Fruex]
0	1	1	1	1	1	0	0	5.1	0.2	0.2	1	5	5
1	1.17206	1.16237	1.23394	0.561691	1.39412	0	0	5.1	0.2	0.2	1	5	5
2	1.35083	1.33098	1.45905	0.182402	1.72014	0	0	5.1	0.2	0.2	1	5	5
3	1.53204	1.5021	1.67422	0.00994961	1.83627	0	0	5.1	0.2	0.2	1	5	5
4	1.70943	1.67046	1.87972	0.00251347	1.79236	0	0	5.1	0.2	0.2	1	5	5
5	1.88156	1.83491	2.07605	0.00282903	1.74751	0	0	5.1	0.2	0.2	1	5	5
6	2.04873	1.99576	2.26344	0.00320497	1.70913	0	0	5.1	0.2	0.2	1	5	5
7	2.21124	2.15329	2.4422	0.00357026	1.67698	0	0	5.1	0.2	0.2	1	5	5
8	2.36937	2.30777	2.61263	0.0039231	1.6507	0	0	5.1	0.2	0.2	1	5	5
9	2.52337	2.45943	2.77505	0.0042628	1.62999	0	0	5.1	0.2	0.2	1	5	5
10	2.6735	2.60848	2.92981	0.00458902	1.6145	0	0	5.1	0.2	0.2	1	5	5
11	2.81996	2.75512	3.07722	0.00490168	1.60393	0	0	5.1	0.2	0.2	1	5	5
12	2.96299	2.89952	3.21761	0.00520086	1.59797	0	0	5.1	0.2	0.2	1	5	5
13	3.10277	3.04184	3.35129	0.0054868	1.59632	0	0	5.1	0.2	0.2	1	5	5
14	3.2395	3.18222	3.47856	0.00575978	1.59872	0	0	5.1	0.2	0.2	1	5	5
15	3.37336	3.3208	3.59971	0.00602018	1.60489	0	0	5.1	0.2	0.2	1	5	5
16	3.5045	3.45769	3.71501	0.0062684	1.61459	0	0	5.1	0.2	0.2	1	5	5
17	3.63308	3.59299	3.82474	0.00650486	1.62757	0	0	5.1	0.2	0.2	1	5	5
18	3.75926	3.72681	3.92914	0.00672998	1.64362	0	0	5.1	0.2	0.2	1	5	5
19	3.88316	3.85924	4.02845	0.00694422	1.66253	0	0	5.1	0.2	0.2	1	5	5
20	4.00491	3.99035	4.1229	0.00714802	1.68408	0	0	5.1	0.2	0.2	1	5	5
21	4.12464	4.12022	4.21273	0.00734179	1.7081	0	0	5.1	0.2	0.2	1	5	5
22	4.24245	4.24892	4.29812	0.00752597	1.73442	0	0	5.1	0.2	0.2	1	5	5
23	4.35845	4.3765	4.37928	0.00770096	1.76285	0	0	5.1	0.2	0.2	1	5	5
24	4.47274	4.50302	4.4564	0.00786716	1.79326	0	0	5.1	0.2	0.2	1	5	5
25	4.58541	4.62853	4.52965	0.00802494	1.82549	0	0	5.1	0.2	0.2	1	5	5
26	4.69654	4.75308	4.59922	0.00817468	1.85942	0	0	5.1	0.2	0.2	1	5	5
27	4.80621	4.8767	4.66525	0.00831673	1.8949	0	0	5.1	0.2	0.2	1	5	5
28	4.9145	4.99944	4.72791	0.00845143	1.93182	0	0	5.1	0.2	0.2	1	5	5
29	5.02147	5.12132	4.78734	0.0085791	1.97007	0	0	5.1	0.2	0.2	1	5	5
30	5.1272	5.24238	4.84367	0.00870004	2.00955	0	0	5.1	0.2	0.2	1	5	5
31	5.23173	5.36265	4.89705	0.00881456	2.05014	0	0	5.1	0.2	0.2	1	5	5
32	5.33514	5.48214	4.9476	0.00892293	2.09178	0	0	5.1	0.2	0.2	1	5	5
33	5.43746	5.60089	4.99544	0.00902542	2.13435	0	0	5.1	0.2	0.2	1	5	5
34	5.53875	5.71892	5.04068	0.00912229	2.17779	0	0	5.1	0.2	0.2	1	5	5
35	5.63906	5.83623	5.08344	0.00921379	2.22202	0	0	5.1	0.2	0.2	1	5	5
36	5.73842	5.95286	5.12382	0.00930015	2.26697	0	0	5.1	0.2	0.2	1	5	5
37	5.83688	6.06881	5.16191	0.00938159	2.31256	0	0	5.1	0.2	0.2	1	5	5
38	5.93448	6.18411	5.19783	0.00945832	2.35874	0	0	5.1	0.2	0.2	1	5	5
39	6.03126	6.29876	5.23165	0.00953055	2.40545	0	0	5.1	0.2	0.2	1	5	5
40	6.12723	6.41277	5.26346	0.00959846	2.45263	0	0	5.1	0.2	0.2	1	5	5
41	6.22245	6.52616	5.29336	0.00966225	2.50023	0	0	5.1	0.2	0.2	1	5	5
42	6.31693	6.63893	5.3214	0.00972209	2.5482	0	0	5.1	0.2	0.2	1	5	5
43	6.4107	6.7511	5.34769	0.00977815	2.59649	0	0	5.1	0.2	0.2	1	5	5
44	6.50379	6.86267	5.37228	0.00983059	2.64507	0	0	5.1	0.2	0.2	1	5	5
45	6.59622	6.97366	5.39524	0.00987956	2.69389	0	0	5.1	0.2	0.2	1	5	5
46	6.68802	7.08406	5.41665	0.00992521	2.74291	0	0	5.1	0.2	0.2	1	5	5
47	6.77921	7.19388	5.43657	0.00996768	2.79209	0	0	5.1	0.2	0.2	1	5	5
48	6.8698	7.30314	5.45505	0.0100071	2.84142	0	0	5.1	0.2	0.2	1	5	5
49	6.95982	7.41183	5.47217	0.0100436	2.89084	0	0	5.1	0.2	0.2	1	5	5
50	7.04928	7.51996	5.48797	0.0100773	2.94034	0	0	5.1	0.2	0.2	1	5	5
