Time	[ADP]	[ATP]	[H+{"mitochondrial matrix"}]	[H+{cytoplasm}]	[NAD(+)]	[NADH]	[acetyl-CoA]	[alpha-ketoglutarate]	[citrate]	[oxaloacetate]	[oxygen]	[phosphate]	[pyruvate]	[water]	Values[DeltaPsi]
0	0.624	3.536	1	1	0.856	0.214	0.063	0.225	0.44	0.005	1	2.44	0.154	1	150
1	0.67445	3.48555	1	1	0.865448	0.204552	0.0656769	0.232623	0.437235	0.00463308	1	2.44	0.150703	1	158.038
2	0.712509	3.44749	1	1	0.874756	0.195244	0.0677675	0.239101	0.434799	0.00463237	1	2.44	0.14823	1	157.063
3	0.74184	3.41816	1	1	0.883436	0.186564	0.0692659	0.244628	0.432766	0.0046498	1	2.44	0.146338	1	156.206
4	0.764992	3.39501	1	1	0.891215	0.178785	0.0702974	0.249354	0.431057	0.00467835	1	2.44	0.144869	1	155.455
5	0.78372	3.37628	1	1	0.897977	0.172023	0.0709584	0.253396	0.429611	0.00471384	1	2.44	0.143714	1	154.802
6	0.799209	3.36079	1	1	0.903705	0.166295	0.0713253	0.25685	0.428376	0.00475358	1	2.44	0.142799	1	154.239
7	0.812247	3.34775	1	1	0.908455	0.161545	0.0714597	0.259793	0.427311	0.00479569	1	2.44	0.142075	1	153.761
8	0.823354	3.33665	1	1	0.912317	0.157683	0.0714126	0.26229	0.426382	0.00483881	1	2.44	0.141501	1	153.359
9	0.832874	3.32713	1	1	0.915405	0.154595	0.0712263	0.264398	0.425559	0.0048819	1	2.44	0.14105	1	153.027
10	0.841045	3.31895	1	1	0.917838	0.152162	0.0709367	0.266168	0.42482	0.00492415	1	2.44	0.140699	1	152.754
11	0.848041	3.31196	1	1	0.91973	0.15027	0.070574	0.267645	0.424142	0.00496491	1	2.44	0.140428	1	152.533
12	0.854001	3.306	1	1	0.921185	0.148815	0.0701635	0.268867	0.423509	0.00500369	1	2.44	0.140223	1	152.356
13	0.859048	3.30095	1	1	0.922293	0.147707	0.069726	0.269871	0.422906	0.00504016	1	2.44	0.14007	1	152.214
14	0.863291	3.29671	1	1	0.923131	0.146869	0.0692782	0.270688	0.422324	0.00507406	1	2.44	0.139958	1	152.102
15	0.866835	3.29316	1	1	0.923764	0.146236	0.0688333	0.271345	0.421752	0.00510527	1	2.44	0.139878	1	152.013
16	0.869777	3.29022	1	1	0.924241	0.145759	0.0684015	0.271866	0.421185	0.00513371	1	2.44	0.139823	1	151.943
17	0.872208	3.28779	1	1	0.924606	0.145394	0.0679902	0.272271	0.420619	0.00515942	1	2.44	0.139787	1	151.887
18	0.874209	3.28579	1	1	0.924888	0.145112	0.0676045	0.272576	0.42005	0.00518245	1	2.44	0.139763	1	151.842
19	0.875855	3.28414	1	1	0.925114	0.144886	0.0672476	0.272797	0.419478	0.00520292	1	2.44	0.13975	1	151.806
20	0.877212	3.28279	1	1	0.925301	0.144699	0.0669214	0.272946	0.418901	0.00522095	1	2.44	0.139743	1	151.776
21	0.878335	3.28166	1	1	0.925465	0.144535	0.0666263	0.273033	0.418321	0.0052367	1	2.44	0.139741	1	151.751
22	0.879275	3.28073	1	1	0.925616	0.144384	0.0663622	0.273065	0.417739	0.00525033	1	2.44	0.139741	1	151.728
23	0.880072	3.27993	1	1	0.925761	0.144239	0.066128	0.27305	0.417154	0.00526202	1	2.44	0.139743	1	151.708
24	0.88076	3.27924	1	1	0.925906	0.144094	0.0659226	0.272995	0.416571	0.00527191	1	2.44	0.139745	1	151.689
25	0.881368	3.27863	1	1	0.926055	0.143945	0.0657442	0.272903	0.415988	0.00528019	1	2.44	0.139747	1	151.671
26	0.88192	3.27808	1	1	0.926211	0.143789	0.065591	0.27278	0.41541	0.00528699	1	2.44	0.139749	1	151.652
27	0.882434	3.27757	1	1	0.926375	0.143625	0.0654611	0.272627	0.414836	0.00529246	1	2.44	0.13975	1	151.634
28	0.882924	3.27708	1	1	0.926548	0.143452	0.0653526	0.27245	0.414269	0.00529675	1	2.44	0.13975	1	151.615
