Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
0	42.3	13.3	5.6	53	0	217	0	0	0	0	0	0	54.4	0	0	0	0	35.9	0.07	0	0	0	13.7	0.25	0	0
1	42.1683	12.8588	5.12895	52.4004	0.00390439	216.489	0.345477	0.130753	0.034687	0.000577797	0.00152511	0	53.7404	0.0862192	0.0326746	0.567536	0.311073	35.9027	0.0667995	0.000493429	0	7.75507e-05	13.6677	0.252215	0.0300546	0.00532112
2	41.714	11.6081	4.29781	51.1488	0.0052319	215.122	0.785856	0.696725	0.395772	0.00313265	0.0176579	0	50.3807	0.190482	0.169817	4.05745	1.12441	35.8888	0.0711796	0.0100114	0	0.00285643	13.3239	0.251642	0.373966	0.119251
3	41.082	9.93239	3.48995	49.8109	0.00525895	212.977	1.00747	1.58212	1.43302	0.00725945	0.0648644	0	43.8807	0.227266	0.359732	11.4731	2.21908	35.8351	0.0814677	0.0534665	0	0.0206732	12.2891	0.247546	1.41081	0.620675
4	40.4214	8.20096	2.78707	48.6403	0.00476904	210.1	1.03839	2.5789	3.28244	0.0120814	0.150867	0	35.8165	0.207699	0.517841	21.4092	3.38636	35.6988	0.0991245	0.17203	0	0.0797016	10.5511	0.239475	3.15125	1.73222
5	39.7939	6.6284	2.2014	47.7172	0.00410497	206.606	0.959455	3.53864	5.89583	0.0168694	0.274909	0	28.4537	0.163741	0.599941	31.3176	4.47648	35.4224	0.123204	0.42443	0	0.22224	8.52028	0.229193	5.18179	3.37574
6	39.2105	5.30637	1.7283	47.0416	0.00342181	202.686	0.831662	4.36683	9.11597	0.0211	0.430337	0	23.2781	0.119511	0.615834	39.2767	5.40553	34.9571	0.147759	0.865147	0	0.501765	6.69567	0.218781	7.00013	5.20771
7	38.6637	4.25095	1.35655	46.5806	0.00280016	198.565	0.692597	5.01122	12.7314	0.0244969	0.607316	0	20.488	0.0854987	0.602825	44.7196	6.1429	34.322	0.164155	1.48387	0	0.95188	5.3601	0.209538	8.32164	6.85528
8	38.1433	3.4383	1.07151	46.2917	0.00227852	194.455	0.563369	5.46081	16.5211	0.0270236	0.795524	0	19.4576	0.0625795	0.592244	48.0135	6.69343	33.6193	0.169208	2.1815	0	1.54413	4.53547	0.202048	9.12372	8.10164
9	37.6411	2.82798	0.857326	46.1346	0.00186458	190.518	0.453779	5.73688	20.2915	0.0287851	0.986054	0	19.4456	0.0478949	0.596227	49.7849	7.08118	32.9612	0.166363	2.84243	0	2.19437	4.10299	0.196349	9.52526	8.91225
10	37.152	2.37658	0.69871	46.0749	0.00154756	186.862	0.366178	5.87561	23.8963	0.0299267	1.1721	0	19.9376	0.0384492	0.613351	50.573	7.33755	32.4072	0.160056	3.40274	0	2.81605	3.92321	0.192131	9.66634	9.36186
11	36.7748	2.13059	0.773148	46.374	7.1819e-06	183.841	0.136233	5.81834	27.2048	0.0300511	1.34693	0	20.6535	0.0143104	0.627039	50.7776	7.50727	31.969	0.152932	3.84807	0	3.35658	3.88953	0.188929	9.65451	9.55566
12	36.491	2.00104	0.758388	46.6704	4.34079e-06	181.277	0.0507441	5.61273	30.0596	0.0293694	1.5018	0	21.3611	0.00533678	0.63145	50.7063	7.65043	31.6341	0.146733	4.18916	0	3.7976	3.92767	0.186476	9.56502	9.58767
13	36.2352	1.90038	0.72453	46.9586	2.5497e-06	179.198	0.0190348	5.36221	32.4205	0.0283822	1.63374	0	21.9563	0.00200751	0.629764	50.5628	7.78427	31.3803	0.141916	4.4478	0	4.14392	3.98863	0.184485	9.44805	9.53082
14	35.9931	1.81117	0.687878	47.2366	1.4856e-06	177.573	0.0072149	5.10576	34.3138	0.0272838	1.7431	0	22.4152	0.000764984	0.622392	50.4431	7.90973	31.1863	0.138374	4.64529	0	4.41135	4.04589	0.182765	9.33117	9.43506
15	35.7609	1.73045	0.652651	47.5035	8.6359e-07	176.354	0.00277681	4.85731	35.7861	0.0261516	1.83139	0	22.7485	0.000297089	0.609924	50.3791	8.02545	31.0369	0.135859	4.79727	0	4.61718	4.08841	0.18121	9.22637	9.33007
16	35.5375	1.65773	0.620091	47.7593	5.01949e-07	175.49	0.00109238	4.62121	36.8877	0.0250192	1.90049	0	22.9759	0.000118509	0.593304	50.3737	8.1306	30.9217	0.134146	4.91413	0	4.77562	4.11356	0.179765	9.13704	9.23085
17	35.3224	1.59265	0.590539	48.0038	2.92032e-07	174.935	0.000442893	4.39827	37.6661	0.0239025	1.95231	0	23.1164	4.8998e-05	0.573564	50.419	8.22516	30.8342	0.13306	5.00274	0	4.89709	4.12251	0.178407	9.06264	9.14345
18	35.1154	1.53466	0.56398	48.2373	1.7017e-07	174.647	0.000186766	4.18807	38.1646	0.0228106	1.98868	0	23.1861	2.11839e-05	0.551643	50.5054	8.30967	30.7696	0.132473	5.06792	0	4.98896	4.11769	0.177126	9.00131	9.06918
19	34.9163	1.48308	0.540235	48.46	9.93469e-08	174.589	8.2597e-05	3.98982	38.4214	0.0217493	2.01134	0	23.1973	9.63846e-06	0.528327	50.6239	8.38497	30.7244	0.132291	5.1133	0	5.05651	4.10163	0.175914	8.95095	9.00724
20	34.7252	1.43719	0.519051	48.6723	5.81175e-08	174.727	3.85057e-05	3.80267	38.4706	0.0207224	2.02191	0	23.1599	4.62356e-06	0.504239	50.7676	8.45203	30.6958	0.132447	5.14174	0	5.10368	4.07656	0.174768	8.90973	8.95606
21	34.5418	1.39628	0.500148	48.8746	3.40679e-08	175.032	1.89272e-05	3.62583	38.342	0.0197327	2.02188	0	23.0816	2.33046e-06	0.47986	50.9313	8.51183	30.6815	0.132891	5.15566	0	5.13356	4.04429	0.173684	8.87615	8.91406
