Time	[D]	[E]	[R]	[RS]	[theta]	[X]
0	0	0	2.5	0	0	0
1	0.0937788	0.162007	2.47815	0.0213449	0.0238481	0.00830267
2	0.175872	0.325275	2.43656	0.0584571	0.0317909	0.022053
3	0.237422	0.487848	2.38632	0.0972045	0.0378906	0.0365367
4	0.274381	0.6487	2.32891	0.135475	0.0442119	0.0513099
5	0.287748	0.806902	2.26506	0.173337	0.0506377	0.066345
6	0.282287	0.961497	2.19599	0.211075	0.0568451	0.0815943
7	0.264489	1.11152	2.12329	0.248874	0.0626242	0.0970046
8	0.240647	1.25605	2.04857	0.286784	0.0679104	0.112546
9	0.215633	1.39421	1.97329	0.324738	0.0727632	0.128223
10	0.192491	1.5252	1.89859	0.362591	0.0773254	0.144074
11	0.172653	1.6483	1.82526	0.40016	0.0817715	0.160165
12	0.156429	1.7629	1.75381	0.437275	0.0862612	0.176579
13	0.143512	1.8684	1.68453	0.473797	0.0909133	0.193401
14	0.133358	1.96433	1.61759	0.509633	0.0957997	0.210714
15	0.125403	2.05024	1.5531	0.544721	0.100953	0.228593
16	0.119166	2.12578	1.49115	0.579027	0.106378	0.247101
17	0.114275	2.19063	1.43182	0.612531	0.112064	0.266293
18	0.110456	2.2446	1.37517	0.645221	0.117991	0.28621
19	0.107511	2.28757	1.32129	0.677092	0.124133	0.306878
20	0.1053	2.31952	1.27024	0.708143	0.130463	0.328299
21	0.103722	2.34055	1.22208	0.738377	0.136949	0.350444
22	0.102702	2.35092	1.17682	0.767804	0.143557	0.373234
23	0.102186	2.35103	1.13446	0.796437	0.150256	0.396522
24	0.10213	2.34148	1.09494	0.824293	0.157011	0.420064
25	0.1025	2.32308	1.05816	0.851393	0.163792	0.443484
26	0.103261	2.2969	1.02396	0.877759	0.170577	0.46624
27	0.104378	2.2643	0.992096	0.903409	0.177352	0.487595
28	0.105807	2.22691	0.962251	0.928356	0.184118	0.506614
29	0.107494	2.18669	0.934035	0.952605	0.190897	0.52221
30	0.10937	2.14583	0.906985	0.976143	0.197733	0.533278
31	0.111346	2.10663	0.880593	0.998942	0.204693	0.538922
32	0.113317	2.07131	0.854349	1.02096	0.211868	0.538761
33	0.115171	2.04177	0.827805	1.04212	0.219358	0.53319
34	0.116796	2.01928	0.800641	1.06237	0.227268	0.52348
35	0.118104	2.00437	0.772732	1.08163	0.235681	0.511591
36	0.11904	1.99669	0.744183	1.09983	0.244649	0.499764
37	0.119595	1.99516	0.715322	1.11693	0.254173	0.490051
38	0.119806	1.99814	0.686651	1.13292	0.2642	0.483983
39	0.119749	2.0037	0.658771	1.14781	0.27462	0.482465
40	0.119524	2.00983	0.632301	1.16168	0.285281	0.485849
41	0.119242	2.01461	0.607806	1.1746	0.295993	0.494093
42	0.119012	2.01634	0.585746	1.18671	0.306542	0.506912
43	0.118933	2.01358	0.566451	1.19817	0.316706	0.523885
44	0.119088	2.00524	0.550104	1.20917	0.326271	0.544497
45	0.119548	1.99058	0.536743	1.21988	0.335046	0.568129
46	0.120363	1.96929	0.526261	1.23048	0.342878	0.593996
47	0.121568	1.94151	0.518413	1.24113	0.349674	0.621049
48	0.123178	1.90796	0.51282	1.25193	0.355413	0.647855
49	0.12518	1.86993	0.508969	1.26292	0.360161	0.67249
50	0.127529	1.8294	0.50622	1.27407	0.364082	0.692511
51	0.130136	1.78895	0.503823	1.28527	0.367433	0.705149
52	0.132863	1.75165	0.500959	1.29632	0.370564	0.707834
53	0.135517	1.72071	0.496815	1.30694	0.373886	0.699072
54	0.13787	1.69894	0.490702	1.31684	0.37783	0.67938
55	0.139692	1.68819	0.482194	1.3257	0.382783	0.651702
56	0.140794	1.68895	0.471249	1.33328	0.389021	0.620832
57	0.141079	1.70018	0.458267	1.33942	0.396638	0.592015
58	0.140569	1.71958	0.444028	1.34409	0.405525	0.569531
59	0.1394	1.74405	0.429547	1.34742	0.415364	0.555968
60	0.13779	1.77014	0.415888	1.34966	0.425684	0.552301
61	0.135997	1.79444	0.403998	1.35116	0.435916	0.55842
62	0.134276	1.81384	0.394605	1.35234	0.445462	0.573686
63	0.132857	1.82563	0.388186	1.35366	0.453757	0.597325
64	0.131929	1.82762	0.384969	1.35556	0.460316	0.628609
65	0.131644	1.81816	0.384969	1.35845	0.464771	0.666858
66	0.13212	1.79622	0.388016	1.36265	0.466905	0.711303
67	0.133452	1.76158	0.393775	1.36837	0.466669	0.760768
68	0.135704	1.71495	0.40174	1.37568	0.4642	0.813125
69	0.138908	1.65834	0.411207	1.38448	0.459834	0.864482
70	0.143028	1.5954	0.421229	1.3945	0.454111	0.908199
71	0.14792	1.53168	0.430569	1.40526	0.447789	0.934429
72	0.15327	1.4745	0.437714	1.41609	0.441831	0.931686
