Time	[L]	[L:RF]	[L:RF:C8]	[L:RF:FL]	[L:RF:FS]	[p43/p41]	[C3]	[C8]	[C8*]	[C3*]	[p43-FLIP]	[NF-kB:IkB]	[NF-kB:IkB:P]	[p43-FLIP:IKK*]	[NF-kB*]	[RF]	[FL]	[FS]	[IKK]	[L:RF:C8:FS]	[L:RF:FL:FL]	[L:RF:FL:FS]	[L:RF:FS:FS]
0	113.22	0	0	0	0	0	1.4434	64.4765	0	0	0	4.73955	0	0	0	91.2659	7.39856	5.08392	5.77283	0	0	0	0
1	21.9541	83.6577	0.478905	1.81805	0.00066234	0.0180783	1.4434	63.6865	5.25108e-08	2.79958e-11	0.106665	4.73938	7.59294e-05	0.000259669	8.52459e-05	5.16878e-09	3.05313e-14	0.353542	5.77256	0.186067	0.465484	4.54262	0.000515683
2	21.9541	82.9838	1.03666	1.53325	0.000672589	0.0745966	1.4434	62.923	1.73131e-06	1.77329e-09	0.167675	4.7385	0.000302339	0.000822305	0.00074255	1.07196e-17	-5.77702e-15	0.0424409	5.77199	0.273771	0.465484	4.76583	0.000604851
3	21.9541	82.3236	1.62986	1.45632	0.00065174	0.173707	1.4434	62.1577	1.39071e-05	2.07442e-08	0.222294	4.73646	0.000637427	0.00160763	0.00243361	5.20896e-27	1.44365e-13	0.00345748	5.77118	0.291255	0.465484	4.78733	0.000614377
4	21.9541	81.6766	2.20452	1.40238	0.00062851	0.314598	1.4434	61.3877	6.09285e-05	1.18958e-07	0.27375	4.73292	0.00106686	0.00259324	0.0055208	2.83986e-36	-1.24314e-12	0.000176823	5.77014	0.293098	0.465484	4.78879	0.00061503
5	21.9541	81.0427	2.74841	1.35235	0.000606133	0.49415	1.4434	60.614	0.000189291	4.56082e-07	0.322467	4.72755	0.00158185	0.00376272	0.0103251	-1.17313e-44	-3.29031e-13	5.7625e-06	5.7689	0.293228	0.465484	4.78885	0.000615059
6	21.9541	80.4217	3.26173	1.30478	0.00058481	0.708957	1.4434	59.8376	0.000471708	1.34947e-06	0.368607	4.72006	0.00217436	0.00510096	0.0171348	-7.29483e-47	-5.38978e-16	1.22689e-07	5.76747	0.293253	0.465484	4.78885	0.00061506
7	21.9541	79.8134	3.74613	1.25946	0.000564497	0.955725	1.4434	59.06	0.00100907	3.3347e-06	0.412304	4.71019	0.00283647	0.00659379	0.0262071	-2.93875e-49	-3.52932e-17	1.74941e-09	5.76585	0.293274	0.465484	4.78885	0.00061506
8	21.9541	79.2175	4.20327	1.21627	0.000545141	1.2313	1.4434	58.2822	0.00193069	7.22086e-06	0.453688	4.6977	0.00356038	0.00822789	0.0377689	3.2686e-50	-7.27954e-17	1.74249e-11	5.76405	0.293293	0.465484	4.78885	0.00061506
9	21.9541	78.6339	4.63469	1.17511	0.000526693	1.53267	1.44339	57.5051	0.0033932	1.41366e-05	0.492882	4.68239	0.0043384	0.00999074	0.0520171	9.06124e-50	-1.09856e-17	1.71169e-13	5.76208	0.293312	0.465484	4.78885	0.00061506
10	21.9541	78.0623	5.04187	1.13587	0.000509105	1.85695	1.44337	56.7298	0.00557829	2.55648e-05	0.530002	4.66408	0.00516292	0.0118706	0.069119	7.59603e-50	-4.78253e-18	-7.0396e-15	5.75996	0.293329	0.465484	4.78885	0.00061506
11	21.9541	77.5026	5.42621	1.09844	0.00049233	2.20137	1.44335	55.9569	0.00868961	4.33637e-05	0.565156	4.64261	0.00602645	0.0138564	0.0892134	8.15849e-50	-6.27613e-19	4.70723e-14	5.75768	0.293346	0.465484	4.78885	0.00061506
12	21.9541	76.9544	5.78902	1.06274	0.000476326	2.56331	1.44332	55.1873	0.012949	6.97752e-05	0.598449	4.61787	0.00692161	0.0159378	0.112411	1.42044e-51	1.96736e-20	-1.72246e-14	5.75527	0.293362	0.465484	4.78885	0.00061506
13	21.9541	76.4176	6.13152	1.02866	0.000461053	2.94027	1.44326	54.4216	0.0185926	0.00010742	0.629978	4.58977	0.00784116	0.0181051	0.138794	-4.10354e-50	2.28168e-19	-8.16697e-15	5.75272	0.293377	0.465484	4.78885	0.00061506
14	21.9541	75.892	6.45489	0.99613	0.000446472	3.32985	1.44319	53.6603	0.0258659	0.000159278	0.659836	4.55822	0.00877803	0.0203492	0.16842	1.15671e-50	-2.76736e-20	-5.83738e-15	5.75005	0.293392	0.465484	4.78885	0.00061506
15	21.9541	75.3773	6.76022	0.965063	0.000432548	3.72981	1.44309	52.9039	0.0350199	0.000228664	0.688112	4.52319	0.00972537	0.0226615	0.201318	-2.81185e-51	-5.91125e-21	7.08351e-15	5.74726	0.293406	0.465484	4.78885	0.00061506
16	21.9541	74.8732	7.04855	0.935385	0.000419246	4.13801	1.44296	52.1527	0.0463061	0.000319184	0.714886	4.48466	0.0106765	0.0250342	0.237493	9.4175e-51	-2.20618e-21	-1.15326e-14	5.74436	0.293419	0.465484	4.78885	0.00061506
17	21.9541	74.3797	7.32083	0.907022	0.000406533	4.55246	1.44279	51.4072	0.0599728	0.000434692	0.740238	4.44262	0.011625	0.0274596	0.276927	-2.28793e-50	8.95919e-20	1.51071e-14	5.74134	0.293432	0.465484	4.78885	0.00061506
18	21.9541	73.8964	7.578	0.879908	0.000394381	4.97129	1.44257	50.6676	0.0762603	0.000579234	0.764241	4.39712	0.0125648	0.0299308	0.319578	5.46591e-50	-1.07176e-19	-1.91956e-14	5.73823	0.293444	0.465484	4.78885	0.00061506
19	21.9541	73.4232	7.82091	0.853978	0.000382759	5.39275	1.44229	49.9341	0.0953983	0.000756991	0.786965	4.3482	0.0134901	0.0324413	0.365382	2.00592e-50	-3.1858e-19	5.59047e-14	5.73503	0.293456	0.465484	4.78885	0.00061506
20	21.9541	72.9598	8.05036	0.829173	0.000371641	5.81523	1.44195	49.2068	0.117601	0.000972218	0.808475	4.29592	0.0143954	0.034985	0.414256	-8.68948e-50	5.43596e-19	2.10202e-14	5.73173	0.293467	0.465484	4.78885	0.00061506
21	21.9541	72.506	8.26712	0.805435	0.000361001	6.23724	1.44153	48.4858	0.143067	0.00122918	0.828833	4.24037	0.0152754	0.0375561	0.466097	-5.45288e-50	4.47538e-19	7.61965e-14	5.72835	0.293477	0.465484	4.78885	0.00061506
22	21.9541	72.0617	8.4719	0.78271	0.000350816	6.65743	1.44102	47.7712	0.171974	0.0015321	0.848098	4.18167	0.0161256	0.0401493	0.520784	3.34969e-50	-2.54757e-19	-1.65005e-14	5.72489	0.293488	0.465484	4.78885	0.00061506
23	21.9541	71.6266	8.66538	0.760949	0.000341062	7.07454	1.44041	47.0629	0.204478	0.00188506	0.866325	4.11993	0.0169415	0.0427596	0.578182	1.0221e-50	-3.15338e-19	-1.20397e-13	5.72136	0.293497	0.465484	4.78885	0.00061506
24	21.9541	71.2005	8.84819	0.740103	0.000331719	7.48746	1.43969	46.361	0.240713	0.00229201	0.883565	4.05529	0.0177191	0.0453824	0.63814	-1.11615e-51	-2.01422e-20	-5.18031e-14	5.71775	0.293507	0.465484	4.78885	0.00061506
25	21.9541	70.7833	9.02093	0.720127	0.000322766	7.89518	1.43884	45.6654	0.280787	0.00275663	0.899869	3.98791	0.0184549	0.0480134	0.700494	-1.01108e-51	9.96399e-20	-3.77856e-14	5.71408	0.293516	0.465484	4.78885	0.00061506
26	21.9541	70.3747	9.18415	0.700978	0.000314183	8.29681	1.43787	44.9759	0.324787	0.00328235	0.915282	3.91794	0.0191459	0.0506486	0.76507	-1.63064e-52	-1.71464e-20	4.63185e-14	5.71035	0.293524	0.465484	4.78885	0.00061506
27	21.9541	69.9747	9.33837	0.682618	0.000305954	8.69155	1.43674	44.2924	0.372771	0.00387226	0.929848	3.84556	0.0197892	0.0532841	0.831684	5.9098e-53	2.63219e-20	-2.68841e-14	5.70655	0.293532	0.465484	4.78885	0.00061506
28	21.9541	69.583	9.48411	0.665008	0.000298061	9.0787	1.43545	43.6149	0.424777	0.00452909	0.943609	3.77095	0.0203826	0.0559166	0.900143	-2.92166e-51	1.53636e-19	-1.02757e-14	5.7027	0.29354	0.465484	4.78885	0.00061506
29	21.9541	69.1994	9.62182	0.648111	0.000290488	9.45768	1.43399	42.943	0.480815	0.00525516	0.956603	3.6943	0.0209244	0.0585427	0.970248	-1.6788e-51	-1.6205e-19	8.22263e-14	5.6988	0.293548	0.465484	4.78885	0.00061506
30	21.9541	68.8238	9.75194	0.631896	0.00028322	9.82795	1.43234	42.2768	0.540874	0.00605238	0.968867	3.61581	0.0214129	0.0611595	1.0418	2.85335e-52	1.44865e-19	-3.67428e-15	5.69485	0.293555	0.465484	4.78885	0.00061506
31	21.9541	68.4561	9.87489	0.616329	0.000276243	10.1891	1.4305	41.6159	0.604921	0.00692219	0.980436	3.53567	0.0218473	0.0637642	1.11458	-4.6397e-51	2.14353e-18	-2.60581e-13	5.69085	0.293562	0.465484	4.78885	0.00061506
32	21.9541	68.096	9.99106	0.601381	0.000269543	10.5407	1.42845	40.9603	0.6729	0.00786555	0.991343	3.45408	0.0222269	0.0663541	1.1884	1.95119e-52	1.35577e-18	2.64423e-13	5.68681	0.293569	0.465484	4.78885	0.00061506
33	21.9541	67.7435	10.1008	0.587024	0.000263108	10.8826	1.42617	40.3097	0.744737	0.00888297	1.00162	3.37126	0.0225514	0.068927	1.26303	-7.84356e-52	-8.4514e-20	4.36735e-14	5.68273	0.293575	0.465484	4.78885	0.00061506
34	21.9541	67.3984	10.2045	0.57323	0.000256926	11.2144	1.42366	39.6639	0.820338	0.00997445	1.01129	3.28739	0.0228208	0.0714806	1.33828	1.00991e-52	7.44332e-20	7.22917e-14	5.67861	0.293581	0.465484	4.78885	0.00061506
35	21.9541	67.0606	10.3024	0.559975	0.000250984	11.536	1.42091	39.0229	0.899594	0.0111395	1.02039	3.20269	0.0230358	0.0740129	1.41394	-1.92338e-54	-6.75727e-22	-4.56261e-15	5.67445	0.293587	0.465484	4.78885	0.00061506
36	21.9541	66.7299	10.3949	0.547234	0.000245274	11.8472	1.41791	38.3865	0.982378	0.0123772	1.02895	3.11735	0.0231969	0.076522	1.4898	1.81276e-53	9.52022e-21	6.21675e-15	5.67027	0.293593	0.465484	4.78885	0.00061506
37	21.9541	66.4062	10.4823	0.534984	0.000239783	12.148	1.41464	37.7545	1.06855	0.0136861	1.03698	3.03156	0.0233051	0.0790061	1.56567	8.16288e-54	3.78969e-21	3.90448e-15	5.66605	0.293599	0.465484	4.78885	0.00061506
38	21.9541	66.0894	10.5648	0.523205	0.000234504	12.4382	1.41111	37.1267	1.15796	0.0150642	1.04451	2.94552	0.0233619	0.0814638	1.64136	-3.25311e-54	-2.63214e-21	-3.32364e-15	5.6618	0.293604	0.465484	4.78885	0.00061506
39	21.9541	65.7794	10.6427	0.511875	0.000229426	12.7179	1.40729	36.5032	1.25044	0.0165094	1.05157	2.85942	0.0233688	0.0838935	1.71668	9.32283e-55	2.25017e-21	5.25712e-15	5.65753	0.293609	0.465484	4.78885	0.00061506
40	21.9541	65.476	10.7162	0.500976	0.000224541	12.9871	1.40319	35.8838	1.34582	0.0180187	1.05817	2.77343	0.0233274	0.0862939	1.79146	4.70304e-55	-5.61453e-22	8.76958e-16	5.65323	0.293614	0.465484	4.78885	0.00061506
41	21.9541	65.1791	10.7856	0.490489	0.00021984	13.2458	1.39879	35.2684	1.44391	0.0195892	1.06434	2.68772	0.0232397	0.0886638	1.86551	-3.88724e-55	-5.58597e-23	-1.38102e-15	5.64891	0.293619	0.465484	4.78885	0.00061506
42	21.9541	64.8887	10.8511	0.480397	0.000215317	13.4939	1.3941	34.657	1.54453	0.0212171	1.07009	2.60246	0.0231079	0.0910022	1.93869	1.34192e-56	1.28553e-22	-9.73998e-17	5.64457	0.293623	0.465484	4.78885	0.00061506
43	21.9541	64.6046	10.9129	0.470683	0.000210963	13.7316	1.3891	34.0496	1.64748	0.0228988	1.07544	2.51781	0.0229341	0.093308	2.01084	6.39809e-55	6.63802e-22	2.66808e-15	5.64021	0.293627	0.465484	4.78885	0.00061506
44	21.9541	64.3268	10.9712	0.461331	0.000206772	13.959	1.3838	33.4462	1.75256	0.0246299	1.08041	2.43391	0.0227207	0.0955803	2.08182	1.90149e-54	1.27989e-21	6.31188e-15	5.63583	0.293632	0.465484	4.78885	0.00061506
45	21.9541	64.055	11.0261	0.452327	0.000202736	14.1761	1.37819	32.8467	1.85956	0.0264061	1.08502	2.35091	0.0224702	0.0978184	2.15149	2.61064e-54	-3.17486e-21	1.90341e-15	5.63143	0.293636	0.465484	4.78885	0.00061506
46	21.9541	63.7893	11.0779	0.443656	0.00019885	14.3829	1.37227	32.2512	1.96827	0.0282225	1.08928	2.26893	0.022185	0.100021	2.21973	5.70178e-54	1.21054e-20	2.45089e-14	5.62703	0.29364	0.465484	4.78885	0.00061506
47	21.9541	63.5294	11.1268	0.435305	0.000195107	14.5797	1.36603	31.6598	2.07849	0.0300744	1.09321	2.18808	0.0218678	0.102189	2.28643	3.34596e-54	1.49398e-20	2.85716e-14	5.6226	0.293643	0.465484	4.78885	0.00061506
48	21.9541	63.2754	11.1728	0.427261	0.000191501	14.7664	1.35949	31.0726	2.19	0.0319564	1.09682	2.1085	0.021521	0.10432	2.35148	2.91628e-54	1.87512e-20	3.29814e-14	5.61817	0.293647	0.465484	4.78885	0.00061506
49	21.9541	63.0272	11.2162	0.419512	0.000188028	14.9432	1.35264	30.4896	2.30258	0.0338634	1.10013	2.03026	0.0211473	0.106415	2.41479	9.18173e-54	3.40956e-20	5.20777e-14	5.61372	0.29365	0.465484	4.78885	0.00061506
50	21.9541	62.7845	11.257	0.412045	0.000184681	15.1103	1.34548	29.9109	2.41603	0.0357899	1.10314	1.95348	0.0207492	0.108473	2.47628	-4.52789e-53	-1.26703e-19	-1.84793e-13	5.60927	0.293654	0.465484	4.78885	0.00061506
51	21.9541	62.5474	11.2955	0.40485	0.000181457	15.2676	1.33801	29.3367	2.53013	0.0377304	1.10587	1.87822	0.0203293	0.110493	2.53587	-2.76536e-53	-7.26501e-20	-1.3564e-13	5.60481	0.293657	0.465484	4.78885	0.00061506
52	21.9541	62.3158	11.3317	0.397916	0.000178349	15.4153	1.33025	28.7672	2.64467	0.0396793	1.10834	1.80457	0.0198901	0.112476	2.5935	2.75414e-53	8.98441e-20	8.70713e-14	5.60034	0.29366	0.465484	4.78885	0.00061506
53	21.9541	62.0895	11.3658	0.391233	0.000175353	15.5535	1.32218	28.2024	2.75944	0.0416312	1.11055	1.73258	0.0194339	0.11442	2.64912	-6.24508e-56	-1.33319e-20	2.68935e-14	5.59587	0.293663	0.465484	4.78885	0.00061506
54	21.9541	61.8684	11.3978	0.384791	0.000172466	15.6824	1.31383	27.6426	2.87424	0.0435803	1.11251	1.66232	0.0189632	0.116327	2.70267	-8.17144e-54	-4.18232e-20	7.74813e-16	5.59139	0.293666	0.465484	4.78885	0.00061506
55	21.9541	61.6526	11.428	0.37858	0.000169682	15.802	1.3052	27.0878	2.98884	0.0455212	1.11424	1.59382	0.0184802	0.118195	2.75414	-3.2574e-54	-1.08126e-20	-1.95333e-14	5.5869	0.293669	0.465484	4.78885	0.00061506
56	21.9541	61.4418	11.4563	0.372591	0.000166998	15.9125	1.29628	26.5384	3.10307	0.0474483	1.11574	1.52714	0.0179872	0.120025	2.80348	1.54436e-54	2.26475e-20	-1.09029e-14	5.58242	0.293671	0.465484	4.78885	0.00061506
57	21.9541	61.236	11.483	0.366817	0.00016441	16.014	1.2871	25.9945	3.21671	0.0493564	1.11703	1.46229	0.0174862	0.121816	2.85068	3.2378e-54	2.02687e-20	5.17122e-16	5.57793	0.293674	0.465484	4.78885	0.00061506
58	21.9541	61.0351	11.508	0.361248	0.000161914	16.1066	1.27766	25.4562	3.32958	0.05124	1.11811	1.39931	0.0169792	0.12357	2.89573	-9.84383e-55	-2.14422e-20	7.96206e-15	5.57344	0.293676	0.465484	4.78885	0.00061506
59	21.9541	60.8391	11.5315	0.355878	0.000159507	16.1905	1.26796	24.9239	3.44148	0.053094	1.11899	1.33821	0.0164682	0.125284	2.93862	-4.34739e-55	-9.72302e-21	4.66386e-15	5.56895	0.293679	0.465484	4.78885	0.00061506
60	21.9541	60.6477	11.5535	0.350697	0.000157185	16.2658	1.25802	24.3976	3.55224	0.0549136	1.11968	1.27899	0.0159549	0.126961	2.97935	-3.46811e-55	5.39656e-21	-1.10388e-16	5.56446	0.293681	0.465484	4.78885	0.00061506
61	21.9541	60.4611	11.5742	0.345699	0.000154945	16.3327	1.24786	23.8776	3.66167	0.0566938	1.12019	1.22167	0.015441	0.128599	3.01794	5.06333e-55	1.89866e-20	-2.66392e-15	5.55997	0.293683	0.465484	4.78885	0.00061506
62	21.9541	60.2789	11.5937	0.340877	0.000152784	16.3912	1.23747	23.3641	3.76961	0.0584303	1.12053	1.16625	0.014928	0.1302	3.05439	3.4095e-56	-5.43716e-21	-2.14683e-15	5.55549	0.293686	0.465484	4.78885	0.00061506
63	21.9541	60.1013	11.6119	0.336225	0.000150698	16.4416	1.22687	22.8572	3.87588	0.0601185	1.1207	1.1127	0.0144175	0.131762	3.08873	-1.2285e-55	-1.5406e-20	-2.25956e-16	5.551	0.293688	0.465484	4.78885	0.00061506
64	21.9541	59.928	11.6289	0.331735	0.000148686	16.484	1.21608	22.3571	3.98034	0.0617545	1.1207	1.06103	0.0139107	0.133287	3.12099	-8.34167e-56	-2.14307e-21	1.1875e-15	5.54652	0.29369	0.465484	4.78885	0.00061506
65	21.9541	59.759	11.6449	0.327402	0.000146744	16.5185	1.2051	21.8641	4.08282	0.0633344	1.12056	1.0112	0.013409	0.134774	3.15118	1.60148e-56	1.19106e-20	8.2326e-16	5.54205	0.293692	0.465484	4.78885	0.00061506
66	21.9541	59.5942	11.6599	0.32322	0.000144869	16.5454	1.19394	21.3783	4.18319	0.0648546	1.12027	0.963214	0.0129133	0.136224	3.17935	5.9168e-56	9.53679e-21	7.16897e-17	5.53758	0.293694	0.465484	4.78885	0.00061506
67	21.9541	59.4335	11.6739	0.319182	0.00014306	16.5649	1.18263	20.8998	4.2813	0.0663119	1.11984	0.91703	0.0124247	0.137637	3.20553	-8.73013e-57	-1.26747e-20	-3.44692e-16	5.53311	0.293695	0.465484	4.78885	0.00061506
68	21.9541	59.2768	11.6871	0.315284	0.000141313	16.577	1.17116	20.4289	4.37703	0.0677033	1.11928	0.872624	0.0119441	0.139014	3.22977	-1.94149e-56	-1.20699e-20	-4.91932e-16	5.52865	0.293697	0.465484	4.78885	0.00061506
69	21.9541	59.1241	11.6993	0.31152	0.000139625	16.582	1.15957	19.9655	4.47025	0.0690261	1.11859	0.829964	0.0114723	0.140354	3.2521	-1.19454e-55	-3.3351e-20	-6.35768e-16	5.52419	0.293699	0.465484	4.78885	0.00061506
70	21.9541	58.9753	11.7108	0.307885	0.000137996	16.5801	1.14785	19.51	4.56086	0.070278	1.11778	0.789015	0.0110101	0.141658	3.27257	-2.13696e-55	-5.66003e-20	-8.39371e-16	5.51975	0.2937	0.465484	4.78885	0.00061506
71	21.9541	58.8302	11.7216	0.304375	0.000136423	16.5715	1.13602	19.0623	4.64875	0.0714569	1.11685	0.74974	0.010558	0.142926	3.29123	-1.24995e-55	-1.84784e-20	7.35246e-16	5.5153	0.293702	0.465484	4.78885	0.00061506
72	21.9541	58.6888	11.7316	0.300983	0.000134903	16.5564	1.12409	18.6225	4.73382	0.0725609	1.1158	0.712101	0.0101166	0.144159	3.30813	6.75565e-56	4.72806e-20	2.48138e-15	5.51087	0.293703	0.465484	4.78885	0.00061506
73	21.9541	58.551	11.7409	0.297707	0.000133434	16.5349	1.11208	18.1909	4.81598	0.0735888	1.11465	0.676056	0.00968629	0.145357	3.32333	-2.44304e-55	-4.85699e-20	-1.08172e-15	5.50645	0.293705	0.465484	4.78885	0.00061506
74	21.9541	58.4167	11.7496	0.294541	0.000132015	16.5074	1.09999	17.7673	4.89516	0.0745393	1.1134	0.641564	0.0092675	0.14652	3.33686	-3.55219e-55	-1.0724e-19	-3.01747e-15	5.50203	0.293706	0.465484	4.78885	0.00061506
75	21.9541	58.2858	11.7578	0.291482	0.000130644	16.474	1.08785	17.352	4.97129	0.0754116	1.11205	0.608581	0.0088605	0.147649	3.3488	1.05056e-54	2.4994e-19	1.02238e-14	5.49762	0.293708	0.465484	4.78885	0.00061506
76	21.9541	58.1583	11.7654	0.288525	0.000129319	16.4349	1.07566	16.9449	5.04429	0.0762052	1.11061	0.577064	0.00846553	0.148744	3.35918	1.5584e-54	4.4403e-19	1.47316e-14	5.49322	0.293709	0.465484	4.78885	0.00061506
77	21.9541	58.034	11.7724	0.285666	0.000128037	16.3904	1.06344	16.5461	5.11413	0.0769198	1.10908	0.546967	0.00808275	0.149806	3.36807	-3.20602e-55	3.16668e-20	-3.34169e-15	5.48883	0.29371	0.465484	4.78885	0.00061506
