Time	[p]	[mm]	[m]	[pm]
0	1	1	1	1
1	0.381646	422.686	350.999	92.8845
2	0.195166	231.977	671.829	90.9128
3	0.174182	127.312	752.725	90.9079
4	0.182076	69.8711	720.076	90.9061
5	0.205148	38.3469	639.081	90.9047
6	0.24145	21.0463	542.986	90.9031
7	0.292658	11.5521	447.967	90.9012
8	0.362945	6.34235	361.205	90.8986
9	0.45957	3.48463	285.25	90.895
10	0.594844	1.91878	220.368	90.8897
11	0.790667	1.06405	165.775	90.8813
12	1.08953	0.604216	120.283	90.8669
13	1.58547	0.372515	82.6324	90.8389
14	2.53397	0.300796	51.6637	90.7716
15	4.92115	0.472536	26.5329	90.5346
16	15.5692	2.39567	8.24194	88.9732
17	39.9872	26.0258	3.2786	90.8995
18	6.0783	23.3956	21.6963	91.4389
19	5.36448	13.4898	24.4123	90.803
20	7.61723	8.31905	17.1363	90.506
21	16.1016	7.63424	8.02237	89.5642
22	28.8248	18.2417	4.53204	90.5774
23	10.9444	18.7211	12.0972	91.8001
24	9.61461	12.3088	13.6008	90.669
25	14.6687	9.98694	8.85688	90.0812
26	23.3569	14.4798	5.57049	90.2134
27	15.8613	17.5797	8.34508	91.7765
28	12.1222	13.4104	10.7992	90.7687
29	15.706	11.6141	8.28967	90.2745
30	20.658	14.409	6.31959	90.5186
31	16.4603	16.0671	8.00102	91.3158
32	13.9638	13.5864	9.37465	90.7655
33	16.5807	12.6413	7.86527	90.423
34	19.0714	14.5126	6.85927	90.7034
35	16.3773	15.1525	8.01924	91.0624
36	15.1409	13.642	8.64292	90.7352
37	17.0005	13.2919	7.68137	90.5448
38	18.0658	14.4874	7.24707	90.7783
39	16.3569	14.6309	8.01699	90.9234
40	15.8704	13.7227	8.24418	90.7192
41	17.1121	13.6814	7.63877	90.6335
42	17.46	14.3981	7.50007	90.797
43	16.4168	14.3432	7.9809	90.8452
44	16.3058	13.8165	8.02397	90.7182
45	17.0813	13.8978	7.65736	90.6907
46	17.116	14.3027	7.65057	90.794
47	16.5054	14.1916	7.93421	90.8014
48	16.5526	13.901	7.90491	90.7249
49	17.0073	14.0091	7.69352	90.7242
50	16.9313	14.2246	7.73324	90.785
51	16.5897	14.1171	7.8918	90.7775
52	16.6838	13.9661	7.84349	90.7334
53	16.9349	14.0613	7.72796	90.7423
54	16.8381	14.1685	7.77525	90.776
55	16.6568	14.084	7.85896	90.7651
56	16.7485	14.0115	7.81387	90.7411
57	16.8783	14.0827	7.75465	90.7513
58	16.7948	14.1313	7.79469	90.769
59	16.7048	14.0718	7.83587	90.7591
60	16.7771	14.0409	7.80103	90.7468
61	16.8389	14.0892	7.77314	90.7555
62	16.7773	14.108	7.80243	90.7641
63	16.7367	14.0693	7.82071	90.7566
64	16.7875	14.0589	7.79654	90.7508
65	16.8135	14.0894	7.78501	90.7571
66	16.7721	14.0943	7.80459	90.7609
67	16.7565	14.0705	7.81138	90.7557
68	16.7896	14.0692	7.79579	90.7533
69	16.7982	14.0875	7.79217	90.7575
70	16.7721	14.0866	7.80442	90.7589
71	16.7682	14.0728	7.80593	90.7555
72	16.7885	14.0748	7.79643	90.7549
73	16.7894	14.0852	7.79625	90.7575
74	16.7737	14.0825	7.80354	90.7577
75	16.7748	14.0749	7.80287	90.7557
76	16.7866	14.0778	7.79738	90.7557
77	16.7845	14.0833	7.79849	90.7573
78	16.7757	14.0805	7.80257	90.7571
79	16.7783	14.0766	7.80127	90.7559
80	16.7847	14.0791	7.79829	90.7562
81	16.7821	14.0818	7.7996	90.757
82	16.7774	14.0796	7.80172	90.7567
83	16.78	14.0778	7.8005	90.7561
84	16.7832	14.0797	7.79903	90.7564
85	16.7809	14.0809	7.80011	90.7569
86	16.7787	14.0793	7.80112	90.7566
87	16.7807	14.0786	7.80018	90.7563
88	16.7821	14.0798	7.79953	90.7565
89	16.7805	14.0802	7.80031	90.7567
90	16.7796	14.0792	7.80071	90.7565
91	16.7809	14.0791	7.80008	90.7564
92	16.7814	14.0798	7.79985	90.7566
93	16.7804	14.0799	7.80036	90.7566
94	16.7801	14.0793	7.80046	90.7565
95	16.781	14.0793	7.80007	90.7565
96	16.781	14.0798	7.80005	90.7566
97	16.7804	14.0797	7.80034	90.7566
98	16.7804	14.0794	7.80031	90.7565
99	16.7809	14.0795	7.8001	90.7565
100	16.7808	14.0797	7.80015	90.7566
