Time	[hexose monophosphate]	[ATP]	[glucose]	[trehalose 6-phosphate]	[ADP]
0	0.1	4	10	0.01	1
1	8.98206	1.47372	10	80.6774	3.52628
2	10.4212	2.37629	10	108.601	2.62371
3	10.802	2.67104	10	116.682	2.32896
4	10.9347	2.78897	10	119.567	2.21103
5	10.9925	2.84464	10	120.834	2.15536
6	11.0211	2.87333	10	121.464	2.12667
7	11.0362	2.8888	10	121.798	2.1112
8	11.0445	2.89735	10	121.98	2.10265
9	11.0491	2.90213	10	122.082	2.09787
10	11.0516	2.90482	10	122.139	2.09518
11	11.0531	2.90634	10	122.171	2.09366
12	11.0539	2.9072	10	122.189	2.0928
13	11.0544	2.90769	10	122.2	2.09231
14	11.0547	2.90797	10	122.205	2.09203
15	11.0548	2.90813	10	122.209	2.09187
16	11.0549	2.90822	10	122.211	2.09178
17	11.0549	2.90827	10	122.212	2.09173
18	11.055	2.9083	10	122.212	2.0917
19	11.055	2.90832	10	122.213	2.09168
20	11.055	2.90833	10	122.213	2.09167
21	11.055	2.90833	10	122.213	2.09167
22	11.055	2.90834	10	122.213	2.09166
23	11.055	2.90834	10	122.213	2.09166
24	11.055	2.90834	10	122.213	2.09166
25	11.055	2.90834	10	122.213	2.09166
26	11.055	2.90834	10	122.213	2.09166
27	11.055	2.90834	10	122.213	2.09166
28	11.055	2.90834	10	122.213	2.09166
29	11.055	2.90834	10	122.213	2.09166
30	11.055	2.90834	10	122.213	2.09166
31	11.055	2.90834	10	122.213	2.09166
32	11.055	2.90834	10	122.213	2.09166
33	11.055	2.90834	10	122.213	2.09166
34	11.055	2.90834	10	122.213	2.09166
35	11.055	2.90834	10	122.213	2.09166
36	11.055	2.90834	10	122.213	2.09166
37	11.055	2.90834	10	122.213	2.09166
38	11.055	2.90834	10	122.213	2.09166
39	11.055	2.90834	10	122.213	2.09166
40	11.055	2.90834	10	122.213	2.09166
41	11.055	2.90834	10	122.213	2.09166
42	11.055	2.90834	10	122.213	2.09166
43	11.055	2.90834	10	122.213	2.09166
44	11.055	2.90834	10	122.213	2.09166
45	11.055	2.90834	10	122.213	2.09166
46	11.055	2.90834	10	122.213	2.09166
47	11.055	2.90834	10	122.213	2.09166
48	11.055	2.90834	10	122.213	2.09166
49	11.055	2.90834	10	122.213	2.09166
50	11.055	2.90834	10	122.213	2.09166
51	11.055	2.90834	10	122.213	2.09166
52	11.055	2.90834	10	122.213	2.09166
53	11.055	2.90834	10	122.213	2.09166
54	11.055	2.90834	10	122.213	2.09166
55	11.055	2.90834	10	122.213	2.09166
56	11.055	2.90834	10	122.213	2.09166
57	11.055	2.90834	10	122.213	2.09166
58	11.055	2.90834	10	122.213	2.09166
59	11.055	2.90834	10	122.213	2.09166
60	11.055	2.90834	10	122.213	2.09166
61	11.055	2.90834	10	122.213	2.09166
62	11.055	2.90834	10	122.213	2.09166
63	11.055	2.90834	10	122.213	2.09166
64	11.055	2.90834	10	122.213	2.09166
65	11.055	2.90834	10	122.213	2.09166
66	11.055	2.90834	10	122.213	2.09166
67	11.055	2.90834	10	122.213	2.09166
68	11.055	2.90834	10	122.213	2.09166
69	11.055	2.90834	10	122.213	2.09166
70	11.055	2.90834	10	122.213	2.09166
71	11.055	2.90834	10	122.213	2.09166
72	11.055	2.90834	10	122.213	2.09166
73	11.055	2.90834	10	122.213	2.09166
74	11.055	2.90834	10	122.213	2.09166
75	11.055	2.90834	10	122.213	2.09166
76	11.055	2.90834	10	122.213	2.09166
77	11.055	2.90834	10	122.213	2.09166
78	11.055	2.90834	10	122.213	2.09166
79	11.055	2.90834	10	122.213	2.09166
80	11.055	2.90834	10	122.213	2.09166
81	11.055	2.90834	10	122.213	2.09166
82	11.055	2.90834	10	122.213	2.09166
83	11.055	2.90834	10	122.213	2.09166
84	11.055	2.90834	10	122.213	2.09166
85	11.055	2.90834	10	122.213	2.09166
86	11.055	2.90834	10	122.213	2.09166
87	11.055	2.90834	10	122.213	2.09166
88	11.055	2.90834	10	122.213	2.09166
89	11.055	2.90834	10	122.213	2.09166
90	11.055	2.90834	10	122.213	2.09166
91	11.055	2.90834	10	122.213	2.09166
92	11.055	2.90834	10	122.213	2.09166
93	11.055	2.90834	10	122.213	2.09166
94	11.055	2.90834	10	122.213	2.09166
95	11.055	2.90834	10	122.213	2.09166
96	11.055	2.90834	10	122.213	2.09166
97	11.055	2.90834	10	122.213	2.09166
98	11.055	2.90834	10	122.213	2.09166
99	11.055	2.90834	10	122.213	2.09166
100	11.055	2.90834	10	122.213	2.09166
