Time	[Glucose_1]	[ATP_1]	[Glucose_2]	[ATP_2]
0	6.6	7.6	10.3	0.41
1	6.02377	7.22124	10.5684	0.467194
2	5.57729	6.67745	10.8224	0.523615
3	5.24978	6.02421	11.0617	0.578957
4	5.02746	5.31594	11.2862	0.633325
5	4.8961	4.60001	11.4957	0.687204
6	4.84236	3.91363	11.6901	0.741395
7	4.85435	3.28282	11.8689	0.796952
8	4.92172	2.72292	12.0315	0.855107
9	5.03553	2.24017	12.177	0.917217
10	5.18813	1.83383	12.3043	0.984703
11	5.37295	1.49844	12.4118	1.05901
12	5.58437	1.22595	12.4979	1.1416
13	5.81765	1.00727	12.5604	1.23385
14	6.06875	0.833477	12.5972	1.33709
15	6.33429	0.696454	12.6059	1.45249
16	6.61142	0.589196	12.584	1.58102
17	6.89774	0.505887	12.5293	1.72328
18	7.19121	0.441827	12.4397	1.8794
19	7.49011	0.393292	12.3137	2.04885
20	7.79291	0.357376	12.1504	2.23021
21	8.09829	0.331838	11.95	2.42101
22	8.40503	0.31496	11.7139	2.61754
23	8.71204	0.305436	11.4448	2.81476
24	9.01825	0.302268	11.147	3.00642
25	9.32267	0.304696	10.8264	3.18522
26	9.6243	0.312139	10.4902	3.34335
27	9.92218	0.324148	10.1464	3.47305
28	10.2153	0.340386	9.80352	3.56739
29	10.5028	0.360609	9.47022	3.62097
30	10.7835	0.384664	9.15437	3.63054
31	11.0565	0.412498	8.8629	3.5954
32	11.3207	0.444166	8.60136	3.51736
33	11.575	0.479853	8.37384	3.4006
34	11.8181	0.519886	8.18294	3.25113
35	12.0487	0.564754	8.02989	3.07615
36	12.2654	0.615127	7.91474	2.88341
37	12.4663	0.671867	7.8366	2.68055
38	12.6497	0.736044	7.79385	2.47458
39	12.8131	0.808942	7.78436	2.27158
40	12.9542	0.892069	7.80567	2.07644
41	13.0699	0.987147	7.85514	1.89283
42	13.1569	1.0961	7.93002	1.7233
43	13.2117	1.221	8.0276	1.56936
44	13.2303	1.364	8.14522	1.4317
45	13.2085	1.5272	8.28031	1.3104
46	13.142	1.71244	8.43041	1.20506
47	13.027	1.92102	8.59318	1.11502
48	12.8601	2.1533	8.76642	1.03947
49	12.6388	2.40821	8.94799	0.977529
50	12.3627	2.68273	9.13588	0.928326
51	12.0331	2.97134	9.32811	0.891034
52	11.6544	3.26572	9.52279	0.864883
53	11.2336	3.55467	9.71805	0.849154
54	10.7809	3.82465	9.91211	0.843168
55	10.3088	4.06078	10.1032	0.846271
56	9.83128	4.24841	10.2895	0.857819
57	9.36284	4.37499	10.4696	0.877182
58	8.91706	4.4317	10.6417	0.903749
59	8.50563	4.41468	10.8044	0.936948
60	8.13763	4.32547	10.9563	0.976268
61	7.81925	4.17064	11.0961	1.02129
62	7.55387	3.9607	11.2226	1.0717
63	7.34246	3.7087	11.3347	1.12728
64	7.18404	3.42871	11.4312	1.18796
65	7.0762	3.1344	11.5111	1.25373
66	7.01563	2.83801	11.5736	1.32466
67	6.99843	2.54966	11.6176	1.40082
68	7.02049	2.27704	11.6424	1.4823
69	7.07762	2.0254	11.6471	1.56906
70	7.16576	1.79782	11.6312	1.66097
71	7.28106	1.59553	11.5942	1.75766
72	7.41992	1.4184	11.536	1.85855
73	7.57903	1.2653	11.4567	1.96273
74	7.75538	1.13451	11.3568	2.06895
75	7.94623	1.02398	11.2372	2.17559
76	8.14913	0.931571	11.0995	2.28067
77	8.36187	0.85519	10.9454	2.3819
78	8.58246	0.792881	10.7775	2.47671
79	8.80911	0.742885	10.5987	2.5624
80	9.04018	0.703651	10.4124	2.63625
81	9.27419	0.673845	10.222	2.69572
82	9.50976	0.652336	10.0314	2.73862
83	9.74563	0.638189	9.84434	2.76323
84	9.98059	0.630646	9.66448	2.7685
85	10.2135	0.629111	9.49516	2.75411
86	10.4432	0.633144	9.33937	2.72051
87	10.6686	0.642448	9.1996	2.66884
88	10.8887	0.656862	9.07785	2.60092
89	11.1022	0.676359	8.97557	2.51907
90	11.3079	0.70104	8.89368	2.42595
91	11.5046	0.731135	8.83261	2.32441
92	11.691	0.767002	8.79238	2.21732
93	11.8654	0.809127	8.77261	2.10741
94	12.0264	0.85812	8.77261	1.9972
95	12.172	0.914717	8.79144	1.8889
96	12.3003	0.979772	8.82796	1.78438
97	12.4092	1.05425	8.88089	1.68513
98	12.4962	1.13918	8.94887	1.59232
99	12.5589	1.23568	9.03042	1.50681
100	12.5946	1.34485	9.12408	1.4292
