Time	[ProCasp3]	[XIAP]	[Casp9(p35-p12)]	[ProCasp9]	[C3]	[Casp9(p35-p10)]	[XIAP-Casp3]	[XIAP-Casp9]	[XIAP-Casp9-Casp3]	[XIAP-p2 fragment]	[XIAP-p2frag-Casp3]	[BIR12]	[BIR12-Casp3]	[BIR3R]	[BIR3R-Casp9]	[BIR3R-p2frag]	[XIAP-2*SMAC]	[BIR12-SMAC]	[BIR3R-SMAC]	[SMAC]	[APAF1]	[XIAP-p2frag-2*SMAC]	[Casp3 Substrate]	[Clevage Products]	[SMAC in mitochondrium]	[Cytochrome C in mitochondrium]	[cytosolic Cytochrome C]
0	0.12	0.063	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.372	0	1	0	0.126	10	0
1	0.119402	0.0546999	0.000901755	0.0221942	7.80471e-05	3.30178e-06	0.000457066	0.00672222	5.62651e-05	2.68556e-06	2.24355e-08	4.24859e-05	3.52703e-07	3.77195e-05	4.68528e-06	1.84913e-09	0.000933627	8.09742e-08	5.89307e-08	0.0099615	3.36419	7.00711e-10	0.999317	0.000683208	0.114121	6.29961	3.70039
2	0.118665	0.045366	0.000970052	0.0164194	0.000108693	1.50819e-05	0.000948796	0.0118737	0.000242558	1.31597e-05	2.69309e-07	0.000109195	2.17507e-06	8.6535e-05	2.25803e-05	2.41714e-08	0.00406782	3.74353e-07	3.72052e-07	0.0142133	3.35842	7.08593e-09	0.998213	0.0017865	0.103362	3.9685	6.0315
3	0.117771	0.0371015	0.00105436	0.0121471	0.00015569	3.87883e-05	0.00143651	0.0152047	0.000547287	3.41815e-05	1.24215e-06	0.00020055	6.93472e-06	0.000144666	5.70458e-05	1.21135e-07	0.0076107	8.9801e-07	1.00618e-06	0.0163753	3.35415	2.45094e-08	0.99665	0.00335021	0.0936176	2.5	7.5
4	0.116631	0.0302449	0.00114909	0.0089865	0.000226603	7.98572e-05	0.00198405	0.0171421	0.000979789	6.95433e-05	4.05462e-06	0.000326623	1.77333e-05	0.000218967	0.000113891	4.27513e-07	0.0107434	1.75365e-06	2.07169e-06	0.0181935	3.35099	6.16311e-08	0.994396	0.00560371	0.0847917	1.5749	8.4251
5	0.115118	0.0245727	0.00125766	0.00664826	0.000336738	0.000146842	0.00265718	0.0179626	0.00156879	0.00012425	1.1213e-05	0.000501242	4.12532e-05	0.000319209	0.000202866	1.27379e-06	0.0133271	3.14581e-06	3.818e-06	0.0200672	3.34865	1.34052e-07	0.99109	0.00890985	0.0767979	0.992126	9.00787
6	0.11305	0.0197915	0.00138257	0.00491842	0.000512808	0.000253639	0.00353384	0.0178295	0.0023612	0.00020434	2.84183e-05	0.000742921	9.22455e-05	0.000460481	0.000340258	3.47948e-06	0.0153516	5.43384e-06	6.6892e-06	0.0221323	3.34692	2.68282e-07	0.986135	0.013865	0.0695576	0.625	9.375
7	0.110158	0.0156408	0.00152787	0.00363867	0.000805073	0.000423565	0.00471134	0.01681	0.00341622	0.000315382	6.87268e-05	0.00107397	0.000204118	0.000667323	0.00055342	9.13385e-06	0.016803	9.26778e-06	1.1474e-05	0.0245233	3.34564	5.08518e-07	0.978519	0.0214815	0.063	0.393725	9.60627
8	0.106039	0.0119094	0.00170131	0.00269191	0.00131625	0.000697788	0.00630974	0.014894	0.0047845	0.000457538	0.000162184	0.00151454	0.000454966	0.000982312	0.000889571	2.38282e-05	0.0176226	1.58918e-05	1.96336e-05	0.0274584	3.34469	9.25116e-07	0.966432	0.0335678	0.0570606	0.248031	9.75197
9	0.100078	0.00846251	0.00191462	0.00199149	0.00227685	0.00115407	0.00845711	0.0120416	0.00643779	0.000612161	0.000377229	0.00206113	0.00103354	0.00148533	0.001433	6.36628e-05	0.0176666	2.78353e-05	3.3984e-05	0.0313215	3.34399	1.61109e-06	0.946425	0.053575	0.0516811	0.15625	9.84375
10	0.0913307	0.00531828	0.00217317	0.00147331	0.00425251	0.00195038	0.0112064	0.00833898	0.00806255	0.000713389	0.000858503	0.00262566	0.00240305	0.00234054	0.00233463	0.000179674	0.0166561	5.04131e-05	5.98649e-05	0.0367677	3.34347	2.58919e-06	0.911428	0.0885721	0.0468088	0.0984313	9.90157
