Time	[S]	[U]	[T]	[STU]	[STUS]	[STUST]	[STUSU]	[SU]	[ST]	[SUST]	[SUSTU]
0	4	1	2	5	0	0	0	0	0	0	0
1	4	1	2	0.468621	1.51567	2.67553	0.154337	0.00188493	3.60375	0.00155447	0.000357037
2	4	1	2	0.423189	1.41688	2.56196	0.278952	0.00347127	5.40597	0.00732849	0.00305324
3	4	1	2	0.393482	1.33798	2.44427	0.383389	0.00512401	6.24125	0.0155757	0.0084172
4	4	1	2	0.371414	1.27114	2.33191	0.471029	0.00701541	6.60056	0.0256731	0.015923
5	4	1	2	0.353676	1.21281	2.22765	0.544429	0.0091511	6.71707	0.037218	0.0251186
6	4	1	2	0.338699	1.16105	2.13203	0.605653	0.0115106	6.70835	0.0498712	0.0356327
7	4	1	2	0.325663	1.11466	2.04478	0.656425	0.0140652	6.63571	0.0633441	0.0471537
8	4	1	2	0.314097	1.07281	1.96531	0.698208	0.0167837	6.53182	0.0773917	0.0594182
9	4	1	2	0.303711	1.0349	1.89293	0.732261	0.0196352	6.41432	0.0918062	0.072203
10	4	1	2	0.294309	1.00043	1.82696	0.759668	0.0225904	6.29274	0.106412	0.0853189
11	4	1	2	0.28575	0.968992	1.76676	0.781368	0.0256219	6.17221	0.121061	0.0986063
12	4	1	2	0.277927	0.940259	1.71173	0.798177	0.0287051	6.05546	0.13563	0.111931
13	4	1	2	0.270753	0.913932	1.66135	0.810802	0.0318175	5.94381	0.150016	0.12518
14	4	1	2	0.264156	0.889756	1.61513	0.819855	0.0349388	5.83785	0.164134	0.138261
15	4	1	2	0.258074	0.867507	1.57264	0.82587	0.0380513	5.73774	0.177916	0.151097
16	4	1	2	0.252453	0.846987	1.5335	0.829308	0.041139	5.64337	0.191305	0.163625
17	4	1	2	0.247248	0.828021	1.49737	0.830568	0.0441882	5.55454	0.204258	0.175795
18	4	1	2	0.242417	0.810453	1.46396	0.829998	0.0471867	5.47097	0.216742	0.187567
19	4	1	2	0.237923	0.794146	1.43298	0.827896	0.0501242	5.39234	0.228731	0.198911
20	4	1	2	0.233733	0.778975	1.40419	0.824521	0.0529919	5.31833	0.240208	0.209804
21	4	1	2	0.22982	0.764831	1.3774	0.820095	0.0557825	5.24863	0.251161	0.220231
22	4	1	2	0.226157	0.751617	1.35239	0.81481	0.05849	5.18292	0.261585	0.230181
23	4	1	2	0.22272	0.739245	1.329	0.80883	0.0611095	5.12091	0.271478	0.239649
24	4	1	2	0.21949	0.727636	1.30709	0.802297	0.0636374	5.06233	0.280842	0.248633
25	4	1	2	0.216446	0.71672	1.28651	0.795331	0.0660709	5.00691	0.289683	0.257136
26	4	1	2	0.213573	0.706435	1.26714	0.788036	0.0684082	4.95442	0.298008	0.265162
27	4	1	2	0.210856	0.696722	1.24886	0.780499	0.0706481	4.90463	0.305826	0.272719
28	4	1	2	0.20828	0.687533	1.2316	0.772793	0.0727903	4.85734	0.313151	0.279816
29	4	1	2	0.205834	0.678821	1.21524	0.764982	0.074835	4.81234	0.319994	0.286462
30	4	1	2	0.203507	0.670544	1.19972	0.757117	0.0767828	4.76947	0.326369	0.292671
31	4	1	2	0.201288	0.662667	1.18496	0.749243	0.0786349	4.72856	0.332291	0.298454
32	4	1	2	0.199168	0.655154	1.1709	0.741396	0.0803926	4.68945	0.337776	0.303825
33	4	1	2	0.19714	0.647976	1.15748	0.733605	0.0820578	4.65202	0.342838	0.308798
34	4	1	2	0.195195	0.641105	1.14464	0.725895	0.0836325	4.61612	0.347493	0.313386
35	4	1	2	0.193328	0.634516	1.13234	0.718285	0.085119	4.58165	0.351758	0.317605
36	4	1	2	0.191532	0.628187	1.12054	0.710791	0.0865195	4.54849	0.355647	0.321468
37	4	1	2	0.189801	0.622097	1.10919	0.703425	0.0878367	4.51655	0.359177	0.324989
38	4	1	2	0.18813	0.616227	1.09826	0.696195	0.089073	4.48573	0.362362	0.328184
39	4	1	2	0.186515	0.610561	1.08772	0.689109	0.0902312	4.45595	0.365217	0.331065
40	4	1	2	0.184952	0.605081	1.07754	0.68217	0.0913138	4.42712	0.367758	0.333646
41	4	1	2	0.183436	0.599776	1.06768	0.675381	0.0923237	4.39919	0.369998	0.335941
42	4	1	2	0.181964	0.59463	1.05813	0.668743	0.0932634	4.37208	0.371951	0.337963
43	4	1	2	0.180532	0.589633	1.04886	0.662256	0.0941357	4.34572	0.373632	0.339724
44	4	1	2	0.179139	0.584773	1.03985	0.655918	0.0949432	4.32007	0.375052	0.341237
45	4	1	2	0.17778	0.58004	1.03109	0.649727	0.0956884	4.29507	0.376224	0.342513
46	4	1	2	0.176453	0.575426	1.02254	0.643681	0.096374	4.27067	0.377161	0.343563
47	4	1	2	0.175157	0.570921	1.01421	0.637775	0.0970023	4.24684	0.377874	0.3444
48	4	1	2	0.173888	0.566518	1.00607	0.632007	0.0975759	4.22351	0.378374	0.345033
49	4	1	2	0.172646	0.562209	0.998107	0.626373	0.0980971	4.20067	0.378673	0.345473
50	4	1	2	0.171427	0.557988	0.990312	0.620867	0.0985681	4.17827	0.378779	0.345729
51	4	1	2	0.170231	0.553848	0.982672	0.615485	0.0989911	4.15628	0.378704	0.345811
52	4	1	2	0.169056	0.549785	0.975176	0.610223	0.0993684	4.13466	0.378456	0.345727
53	4	1	2	0.167899	0.545792	0.967814	0.605076	0.0997019	4.1134	0.378045	0.345486
54	4	1	2	0.166761	0.541865	0.960578	0.600039	0.0999936	4.09246	0.377479	0.345097
55	4	1	2	0.16564	0.537999	0.953458	0.595107	0.100246	4.07182	0.376766	0.344568
56	4	1	2	0.164534	0.53419	0.946446	0.590276	0.100459	4.05145	0.375915	0.343905
57	4	1	2	0.163442	0.530434	0.939535	0.585541	0.100637	4.03134	0.374932	0.343115
58	4	1	2	0.162364	0.526727	0.932719	0.580898	0.10078	4.01146	0.373824	0.342206
59	4	1	2	0.161299	0.523067	0.925991	0.576342	0.10089	3.9918	0.372599	0.341185
60	4	1	2	0.160245	0.519449	0.919344	0.571869	0.100969	3.97233	0.371263	0.340056
61	4	1	2	0.159201	0.515872	0.912775	0.567474	0.101018	3.95305	0.369822	0.338826
62	4	1	2	0.158168	0.512331	0.906276	0.563155	0.101038	3.93393	0.368282	0.337501
63	4	1	2	0.157145	0.508826	0.899844	0.558906	0.101031	3.91496	0.366648	0.336086
64	4	1	2	0.156129	0.505353	0.893475	0.554725	0.100998	3.89613	0.364926	0.334585
65	4	1	2	0.155122	0.50191	0.887163	0.550608	0.100941	3.87742	0.36312	0.333005
66	4	1	2	0.154123	0.498495	0.880906	0.54655	0.10086	3.85883	0.361236	0.331348
67	4	1	2	0.15313	0.495107	0.8747	0.54255	0.100756	3.84034	0.359277	0.32962
68	4	1	2	0.152144	0.491743	0.868541	0.538604	0.100632	3.82195	0.357248	0.327825
69	4	1	2	0.151164	0.488402	0.862426	0.534708	0.100487	3.80363	0.355154	0.325966
70	4	1	2	0.15019	0.485082	0.856353	0.530861	0.100323	3.78539	0.352997	0.324047
71	4	1	2	0.149221	0.481783	0.850318	0.527058	0.10014	3.76722	0.350783	0.322072
72	4	1	2	0.148256	0.478501	0.84432	0.523299	0.0999403	3.7491	0.348513	0.320044
73	4	1	2	0.147296	0.475238	0.838356	0.51958	0.0997235	3.73103	0.346192	0.317966
74	4	1	2	0.146341	0.47199	0.832423	0.515899	0.0994909	3.71301	0.343822	0.315841
75	4	1	2	0.145389	0.468757	0.82652	0.512253	0.0992431	3.69502	0.341407	0.313673
76	4	1	2	0.14444	0.465539	0.820646	0.508642	0.0989809	3.67705	0.338949	0.311463
77	4	1	2	0.143495	0.462333	0.814797	0.505062	0.0987049	3.65912	0.336452	0.309214
78	4	1	2	0.142553	0.45914	0.808973	0.501512	0.0984159	3.6412	0.333917	0.306929
79	4	1	2	0.141614	0.455958	0.803172	0.49799	0.0981142	3.62329	0.331347	0.30461
80	4	1	2	0.140677	0.452787	0.797393	0.494494	0.0978007	3.60539	0.328744	0.30226
81	4	1	2	0.139743	0.449626	0.791634	0.491024	0.0974758	3.5875	0.326111	0.299879
82	4	1	2	0.138811	0.446475	0.785894	0.487576	0.09714	3.56961	0.323449	0.297471
83	4	1	2	0.137881	0.443332	0.780172	0.484151	0.0967939	3.55171	0.320761	0.295038
84	4	1	2	0.136953	0.440198	0.774468	0.480747	0.0964378	3.5338	0.318048	0.29258
85	4	1	2	0.136026	0.437071	0.768779	0.477362	0.0960723	3.51588	0.315313	0.2901
86	4	1	2	0.135102	0.433952	0.763106	0.473995	0.0956978	3.49795	0.312556	0.2876
87	4	1	2	0.134178	0.430839	0.757448	0.470646	0.0953146	3.48	0.30978	0.28508
88	4	1	2	0.133257	0.427733	0.751803	0.467312	0.0949232	3.46203	0.306986	0.282542
89	4	1	2	0.132336	0.424633	0.746171	0.463994	0.0945239	3.44403	0.304175	0.279989
90	4	1	2	0.131417	0.421539	0.740552	0.460691	0.094117	3.42602	0.30135	0.27742
91	4	1	2	0.130499	0.41845	0.734945	0.4574	0.0937029	3.40797	0.29851	0.274838
92	4	1	2	0.129581	0.415367	0.729349	0.454123	0.0932819	3.38989	0.295658	0.272243
93	4	1	2	0.128665	0.412288	0.723765	0.450858	0.0928542	3.37178	0.292795	0.269637
94	4	1	2	0.12775	0.409215	0.718191	0.447604	0.0924202	3.35364	0.289922	0.267021
95	4	1	2	0.126836	0.406145	0.712627	0.44436	0.09198	3.33546	0.287039	0.264396
96	4	1	2	0.125922	0.403081	0.707073	0.441127	0.091534	3.31725	0.284149	0.261762
97	4	1	2	0.125009	0.40002	0.701529	0.437903	0.0910824	3.29899	0.281251	0.259122
98	4	1	2	0.124097	0.396964	0.695994	0.434689	0.0906254	3.2807	0.278348	0.256475
99	4	1	2	0.123186	0.393912	0.690469	0.431483	0.0901632	3.26237	0.275439	0.253822
100	4	1	2	0.122275	0.390863	0.684953	0.428285	0.0896961	3.24399	0.272527	0.251166
