Time	[alpha]	[beta]	[gamma]
0	0.462	0.2	0.338
1	0.350542	0.331645	0.317813
2	0.305547	0.332322	0.362131
3	0.264239	0.327502	0.408258
4	0.225735	0.31902	0.455245
5	0.19002	0.307057	0.502923
6	0.157141	0.29176	0.5511
7	0.127197	0.273294	0.599509
8	0.100334	0.25189	0.647776
9	0.0767413	0.227909	0.69535
10	0.0566373	0.201958	0.741405
11	0.040235	0.175051	0.784714
12	0.0276645	0.1488	0.823535
13	0.0188383	0.12543	0.855732
14	0.0133033	0.107211	0.879485
15	0.0102396	0.095193	0.894567
16	0.00872094	0.0884829	0.902796
17	0.00802348	0.0851852	0.906791
18	0.00771658	0.0836846	0.908599
19	0.00758434	0.0830279	0.909388
20	0.0075279	0.0827457	0.909726
21	0.0075039	0.0826254	0.909871
22	0.00749372	0.0825742	0.909932
23	0.0074894	0.0825525	0.909958
24	0.00748757	0.0825434	0.909969
25	0.0074868	0.0825395	0.909974
26	0.00748646	0.0825378	0.909976
27	0.00748632	0.0825371	0.909977
28	0.00748626	0.0825368	0.909977
29	0.00748624	0.0825367	0.909977
30	0.00748622	0.0825366	0.909977
31	0.00748622	0.0825366	0.909977
32	0.00748622	0.0825366	0.909977
33	0.00748622	0.0825366	0.909977
34	0.00748622	0.0825366	0.909977
35	0.00748622	0.0825366	0.909977
36	0.00748622	0.0825366	0.909977
37	0.00748622	0.0825366	0.909977
38	0.00748622	0.0825366	0.909977
39	0.00748622	0.0825366	0.909977
40	0.00748622	0.0825366	0.909977
41	0.00748622	0.0825366	0.909977
42	0.00748622	0.0825366	0.909977
43	0.00748622	0.0825366	0.909977
44	0.00748622	0.0825366	0.909977
45	0.00748622	0.0825366	0.909977
46	0.00748622	0.0825366	0.909977
47	0.00748622	0.0825366	0.909977
48	0.00748622	0.0825366	0.909977
49	0.00748622	0.0825366	0.909977
50	0.00748622	0.0825366	0.909977
51	0.00748622	0.0825366	0.909977
52	0.00748622	0.0825366	0.909977
53	0.00748622	0.0825366	0.909977
54	0.00748622	0.0825366	0.909977
55	0.00748622	0.0825366	0.909977
56	0.00748622	0.0825366	0.909977
57	0.00748622	0.0825366	0.909977
58	0.00748622	0.0825366	0.909977
59	0.00748622	0.0825366	0.909977
60	0.00748622	0.0825366	0.909977
61	0.00748622	0.0825366	0.909977
62	0.00748622	0.0825366	0.909977
63	0.00748622	0.0825366	0.909977
64	0.00748622	0.0825366	0.909977
65	0.00748622	0.0825366	0.909977
66	0.00748622	0.0825366	0.909977
67	0.00748622	0.0825366	0.909977
68	0.00748622	0.0825366	0.909977
69	0.00748622	0.0825366	0.909977
70	0.00748622	0.0825366	0.909977
71	0.00748622	0.0825366	0.909977
72	0.00748622	0.0825366	0.909977
73	0.00748622	0.0825366	0.909977
74	0.00748622	0.0825366	0.909977
75	0.00748622	0.0825366	0.909977
76	0.00748622	0.0825366	0.909977
77	0.00748622	0.0825366	0.909977
78	0.00748622	0.0825366	0.909977
79	0.00748622	0.0825366	0.909977
80	0.00748622	0.0825366	0.909977
81	0.00748622	0.0825366	0.909977
82	0.00748622	0.0825366	0.909977
83	0.00748622	0.0825366	0.909977
84	0.00748622	0.0825366	0.909977
85	0.00748622	0.0825366	0.909977
86	0.00748622	0.0825366	0.909977
87	0.00748622	0.0825366	0.909977
88	0.00748622	0.0825366	0.909977
89	0.00748622	0.0825366	0.909977
90	0.00748622	0.0825366	0.909977
91	0.00748622	0.0825366	0.909977
92	0.00748622	0.0825366	0.909977
93	0.00748622	0.0825366	0.909977
94	0.00748622	0.0825366	0.909977
95	0.00748622	0.0825366	0.909977
96	0.00748622	0.0825366	0.909977
97	0.00748622	0.0825366	0.909977
98	0.00748622	0.0825366	0.909977
99	0.00748622	0.0825366	0.909977
100	0.00748622	0.0825366	0.909977
