Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.385247	22.4526	13.0463	0.652716	25.5648	11.8299	0.162808	6.64471	4.05793	1.69513	1.64424	3.10737	7.00442	0.215816	1.10524	0.32168	0.109236
2	0.373953	15.0348	21.6874	0.722889	25.0351	11.1801	0.140934	6.67196	3.57447	3.30432	1.51327	3.08127	6.11633	0.217674	0.916242	0.315296	0.11411
3	0.356626	10.6526	27.2261	0.717021	24.4767	10.5779	0.12319	6.67704	3.17322	4.76972	1.39753	3.04777	5.38774	0.218755	0.771097	0.30852	0.118522
4	0.34096	8.02578	30.9067	0.711934	23.8885	10.0153	0.108672	6.66042	2.83735	6.11668	1.29439	3.00699	4.78481	0.219074	0.658601	0.301337	0.122468
5	0.327397	6.4269	33.4555	0.713287	23.2834	9.49199	0.0967596	6.62625	2.55566	7.36519	1.20255	2.96077	4.28471	0.218766	0.571016	0.293916	0.126003
6	0.315552	5.43358	35.2999	0.718748	22.6726	9.00728	0.0869622	6.57821	2.31905	8.53135	1.12088	2.91073	3.86907	0.217951	0.50252	0.286399	0.129178
7	0.305067	4.7991	36.6939	0.72619	22.0644	8.55974	0.0788799	6.51922	2.11988	9.62819	1.04829	2.85808	3.52275	0.216727	0.448663	0.278891	0.132035
8	0.295676	4.37895	37.7892	0.734303	21.4646	8.14737	0.0721877	6.45161	1.95179	10.6662	0.983779	2.8038	3.23326	0.215169	0.406046	0.271469	0.134607
9	0.287185	4.08818	38.6779	0.742349	20.8773	7.7679	0.0666225	6.37725	1.80945	11.6541	0.926399	2.7486	2.99036	0.213341	0.372069	0.264185	0.136924
10	0.27945	3.87673	39.4167	0.749937	20.3054	7.41898	0.0619715	6.29766	1.68846	12.5986	0.875311	2.69306	2.78566	0.211295	0.344751	0.257079	0.139009
11	0.27236	3.71491	40.0413	0.756874	19.751	7.09824	0.0580633	6.2141	1.5852	13.5055	0.829762	2.63763	2.61232	0.209073	0.322579	0.250178	0.140883
12	0.265827	3.58503	40.5752	0.763081	19.2153	6.80342	0.0547594	6.12762	1.49666	14.3794	0.789083	2.58266	2.46477	0.206713	0.304396	0.2435	0.142564
13	0.259781	3.4764	41.0339	0.768539	18.6993	6.53236	0.0519484	6.03909	1.42037	15.2241	0.752685	2.52843	2.33845	0.204244	0.28932	0.237057	0.144069
14	0.254162	3.38249	41.4285	0.773266	18.2032	6.283	0.0495407	5.94923	1.35428	16.0428	0.72005	2.47516	2.22966	0.201693	0.276676	0.230855	0.145412
15	0.248922	3.29925	41.7673	0.777292	17.7273	6.05348	0.0474636	5.85866	1.29672	16.838	0.690723	2.423	2.13538	0.199082	0.265945	0.224897	0.146605
