Time	[EGF]	[EGFR]	[pEGFR]	[pEGFR_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_EGFR]	[EGF_EGFR]	[EGFR_i]	[EGF_EGFR_i]	[Inhibitor]
0	30	68190.2	0	0	0.043309	0	3.54317	0	0	68190.2	0	0	0	0
1	30	55951.3	117.665	2.68001e-05	0.0432818	3.58982e-07	3.54317	5.42703e-13	1.11065e-16	68190.2	12117.9	0	0	0
2	30	46344.3	418.591	0.00019308	0.0431107	5.24933e-06	3.54317	1.61127e-11	6.66561e-15	68190.2	21400.2	0	0	0
3	30	38795.1	839.489	0.000585991	0.0426987	2.42727e-05	3.54317	1.13505e-10	7.12019e-14	68190.2	28469.4	0	0	0
4	30	32854.7	1333.16	0.00124625	0.0419928	6.99904e-05	3.54317	4.43492e-10	3.75093e-13	68190.2	33811.7	0	0	0
5	30	28172.4	1864.75	0.00217789	0.0409754	0.000155676	3.54317	1.25402e-09	1.34108e-12	68190.2	37807.1	0	0	0
6	30	24474.2	2408.87	0.00335727	0.0396581	0.000293624	3.54317	2.88878e-09	3.75141e-12	68190.2	40752.7	0	0	0
7	30	21545.5	2947.37	0.00474154	0.0380735	0.000493965	3.54317	5.77507e-09	8.85719e-12	68190.2	42880.5	0	0	0
8	30	19219	3467.56	0.00627648	0.0362686	0.000763949	3.54317	1.04047e-08	1.84683e-11	68190.2	44371.9	0	0	0
9	30	17363.7	3960.88	0.00790333	0.034298	0.00110763	3.54317	1.73109e-08	3.50175e-11	68190.2	45368.5	0	0	0
10	30	15877.3	4421.91	0.00956425	0.0322188	0.00152588	3.54317	2.70446e-08	6.15953e-11	68190.2	45981.1	0	0	0
11	30	14679.7	4847.52	0.0112064	0.0300859	0.00201665	3.54317	4.01515e-08	1.01957e-10	68190.2	46296.2	0	0	0
12	30	13708.5	5236.28	0.0127846	0.027949	0.00257541	3.54317	5.71518e-08	1.60502e-10	68190.2	46381.4	0	0	0
13	30	12914.7	5587.97	0.0142626	0.0258507	0.00319565	3.54317	7.85235e-08	2.42233e-10	68190.2	46289.3	0	0	0
14	30	12260.2	5903.28	0.0156135	0.0238259	0.00386945	3.54317	1.0469e-07	3.52695e-10	68190.2	46061.1	0	0	0
15	30	11715.1	6183.48	0.0168195	0.0219014	0.00458797	3.54317	1.36012e-07	4.97904e-10	68190.2	45729.1	0	0	0
16	30	11255.9	6430.24	0.0178706	0.0200963	0.00534194	3.54317	1.72782e-07	6.84265e-10	68190.2	45318.4	0	0	0
17	30	10864.5	6645.48	0.0187639	0.0184228	0.00612207	3.54317	2.15222e-07	9.18489e-10	68190.2	44848.4	0	0	0
18	30	10526.6	6831.25	0.0195019	0.0168875	0.00691936	3.54317	2.63486e-07	1.20751e-09	68190.2	44334.5	0	0	0
19	30	10230.9	6989.68	0.0200911	0.0154922	0.00772535	3.54317	3.17663e-07	1.55839e-09	68190.2	43788.6	0	0	0
20	30	9968.78	7122.84	0.0205415	0.0142348	0.00853226	3.54317	3.7778e-07	1.97827e-09	68190.2	43219.9	0	0	0
21	30	9733.35	7232.8	0.0208648	0.0131106	0.00933316	3.54317	4.43813e-07	2.47427e-09	68190.2	42635.6	0	0	0
22	30	9519.27	7321.52	0.0210739	0.0121126	0.010122	3.54317	5.15684e-07	3.05345e-09	68190.2	42041.4	0	0	0
23	30	9322.35	7390.89	0.021182	0.0112329	0.0108935	3.54317	5.93278e-07	3.72274e-09	68190.2	41441.5	0	0	0
24	30	9139.3	7442.66	0.0212024	0.0104626	0.0116434	3.54317	6.76442e-07	4.48889e-09	68190.2	40839.3	0	0	0
25	30	8967.55	7478.48	0.0211477	0.00979237	0.0123681	3.54317	7.64994e-07	5.35846e-09	68190.2	40237.4	0	0	0
26	30	8805.09	7499.91	0.02103	0.00921317	0.0130649	3.54317	8.58731e-07	6.33774e-09	68190.2	39637.8	0	0	0
27	30	8650.32	7508.36	0.0208602	0.00871609	0.0137318	3.54317	9.5743e-07	7.43277e-09	68190.2	39042	0	0	0
28	30	8502	7505.14	0.0206482	0.00829265	0.0143671	3.54317	1.06085e-06	8.64931e-09	68190.2	38451.3	0	0	0
29	30	8359.16	7491.46	0.020403	0.0079349	0.01497	3.54317	1.16876e-06	9.99281e-09	68190.2	37866.3	0	0	0
30	30	8221.01	7468.43	0.0201322	0.0076355	0.01554	3.54317	1.2809e-06	1.14684e-08	68190.2	37287.9	0	0	0
31	30	8086.96	7437.06	0.0198429	0.00738774	0.016077	3.54317	1.39703e-06	1.3081e-08	68190.2	36716.5	0	0	0
32	30	7956.51	7398.27	0.0195407	0.0071855	0.0165813	3.54317	1.51689e-06	1.4835e-08	68190.2	36152.4	0	0	0
33	30	7829.27	7352.91	0.0192306	0.00702331	0.0170534	3.54317	1.64024e-06	1.67348e-08	68190.2	35595.8	0	0	0
34	30	7704.95	7301.73	0.0189169	0.00689622	0.0174941	3.54317	1.76683e-06	1.87841e-08	68190.2	35047.1	0	0	0
35	30	7583.3	7245.43	0.0186031	0.00679987	0.0179042	3.54317	1.89643e-06	2.09868e-08	68190.2	34506.1	0	0	0
36	30	7464.12	7184.64	0.0182918	0.00673037	0.0182848	3.54317	2.02882e-06	2.3346e-08	68190.2	33973	0	0	0
37	30	7347.24	7119.93	0.0179855	0.00668428	0.0186371	3.54317	2.16378e-06	2.58649e-08	68190.2	33447.8	0	0	0
38	30	7232.54	7051.82	0.0176858	0.00665858	0.0189623	3.54317	2.30109e-06	2.85463e-08	68190.2	32930.5	0	0	0
39	30	7119.9	6980.78	0.0173943	0.00665063	0.0192616	3.54317	2.44056e-06	3.13927e-08	68190.2	32421	0	0	0
40	30	7009.25	6907.22	0.017112	0.00665808	0.0195363	3.54317	2.582e-06	3.44065e-08	68190.2	31919.2	0	0	0
41	30	6900.48	6831.53	0.0168395	0.00667892	0.0197878	3.54317	2.72522e-06	3.75897e-08	68190.2	31425.1	0	0	0
42	30	6793.56	6754.04	0.0165775	0.00671137	0.0200173	3.54317	2.87005e-06	4.09442e-08	68190.2	30938.7	0	0	0
43	30	6688.41	6675.07	0.0163261	0.0067539	0.020226	3.54317	3.01634e-06	4.44717e-08	68190.2	30459.8	0	0	0
44	30	6584.98	6594.9	0.0160855	0.00680515	0.0204152	3.54317	3.16393e-06	4.81736e-08	68190.2	29988.3	0	0	0
45	30	6483.25	6513.77	0.0158556	0.00686398	0.0205861	3.54317	3.31268e-06	5.20513e-08	68190.2	29524.1	0	0	0
46	30	6383.15	6431.9	0.0156364	0.00692937	0.0207398	3.54317	3.46246e-06	5.61059e-08	68190.2	29067.2	0	0	0
47	30	6284.66	6349.51	0.0154275	0.00700044	0.0208774	3.54317	3.61314e-06	6.03384e-08	68190.2	28617.3	0	0	0
48	30	6187.74	6266.77	0.0152288	0.00707645	0.021	3.54317	3.76461e-06	6.47495e-08	68190.2	28174.5	0	0	0
