Time	[Cdc20]	[Cdh1]	[cyclin A:Cdk2]	[cyclin B:Cdk2]	[cyclin D:Cdk2]	[cyclin E:Cdk2]	[delayed-response genes]	[E2F]	[E2F:Rb]	[early-response genes]	[general machinery for protein synthesis]	[hypophosphorylated Rb]	[inactive Cdc20]	[mass]	[P27]	[P27:cyclin A:Cdk2]	[P27:cyclin D:Cdk2]	[P27:cyclin E:Cdk2]	[phosphorylated E2F]	[phosphorylated E2F:Rb]	[phosphorylated intermediary enzyme]	[PPX]	[retinoblastoma protein (Rb)]
0	0.00220177	0.000653278	1.4094	2.72898	0.43929	0.0229112	0.900533	0.989986	0.00478911	0.0121809	1.35565	9.97574	2.36733	1.68776	0.00922806	0.0356927	0.010976	0.000542587	3.98594	0.0192822	0.154655	1	0.000190871
1	0.0335194	0.00092008	1.23952	3.20956	0.439765	0.022607	0.900533	0.912625	0.00434876	0.0121809	1.42373	9.97609	2.88793	1.77251	0.00977634	0.0299597	0.0105011	0.000516243	4.06366	0.0193638	0.475482	1	0.000197333
2	0.610598	0.200047	0.0142526	2.22899	0.411217	0.170229	0.900533	1.22119	0.0350817	0.0121809	0.74761	9.8594	2.96755	0.930762	0.0248045	0.00134252	0.0390493	0.0162299	3.63918	0.104544	0.791901	1	0.000974659
3	1.94013e-07	0.999723	0.000111092	0.00507859	0.0108263	0.00699359	0.900533	0.162333	3.35915	0.0121809	0.785153	4.78465	0.723254	0.977502	1.04972	0.00521721	0.43944	0.347327	0.0681568	1.41036	1.95928e-05	1	0.445848
4	1.89632e-07	0.999719	0.000351991	0.0050786	0.0119712	0.00935156	0.900533	0.254623	4.17456	0.0121809	0.824581	4.93401	0.165325	1.02659	0.951529	0.0153479	0.438295	0.416816	0.0328144	0.537995	1.95929e-05	1	0.353431
5	1.7409e-07	0.999709	0.000940867	0.00507865	0.015032	0.015544	0.900533	0.464659	4.29386	0.0121809	0.865989	5.2888	0.0408343	1.07814	0.762028	0.0324864	0.435234	0.542857	0.02358	0.2179	1.95931e-05	1	0.19944
6	1.4156e-07	0.997704	0.101428	0.00508715	0.37071	0.938466	0.900533	4.70567	0.11232	0.0121809	0.909476	9.88281	0.013058	1.13228	0.0162191	0.0226118	0.0795565	0.208406	0.177767	0.00424314	1.96251e-05	1	0.000626443
7	1.14592e-07	0.987109	0.339908	0.00514068	0.40096	1.09202	0.900533	4.16333	0.0566153	0.0121809	0.955147	9.93254	0.00688796	1.18914	0.0119448	0.0437579	0.049306	0.138522	0.769588	0.0104653	1.98309e-05	1	0.000380759
8	1.09645e-07	0.937433	0.537307	0.00539095	0.394694	0.780687	0.900533	3.52474	0.0590261	0.0121809	1.00311	9.9172	0.00561906	1.24886	0.012896	0.0796889	0.0555727	0.11318	1.3929	0.0233259	2.07866e-05	1	0.000453039
9	2.45687e-07	0.367983	0.705792	0.0111308	0.387495	0.498579	0.900533	3.06333	0.0641391	0.0121809	1.05348	9.89691	0.00697927	1.31157	0.013995	0.120994	0.0627718	0.0825322	1.83413	0.0384025	4.25125e-05	1	0.00054789
