Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
0	7.5	37.5	10	50	50	20	20.1	0.01	0	500	4.67092	21.0758	4.49653	0.506278	0.278603	3.40907	0.0385952	1.66611	1.54929	15.9088	221.101	60.4331	185.504	0.484329	12.6996	0.94275	3219.4	194.967	9.80842	924.43	61.302	6590.57	36.8826	1.12248	562.834	19.1433	81.1685	49.1868	13.0888	2114.87	2040.43	55.8201	9.16246	0.707383
1	7.5	37.5	10	50	50	20	20.1	0.01	0	500	3.35814	21.0237	6.44673	0.390726	0.224922	2.94997	0.0295229	1.65452	1.54298	15.9788	123.533	54.8817	177.137	0.48367	12.6857	0.948681	3058.34	178.624	10.1705	704.859	61.2151	6558.68	25.2211	1.13372	328.231	12.9135	41.8664	27.8813	14.9679	1561.09	1775.65	61.0063	7.94036	0.787347
2	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.7469	20.9418	8.77996	0.278386	0.167926	2.40598	0.0208522	1.60889	1.5174	16.1319	109.937	53.1827	176.628	0.481323	12.6509	0.95675	2948.37	169.56	10.5924	586.325	60.9124	6482.06	12.2554	0.932091	281.266	8.16072	23.1425	27.8048	22.2603	1054.66	1457.36	81.7248	6.04452	0.690719
3	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.26993	21.1034	9.52069	0.242022	0.148336	2.20095	0.0180768	1.55307	1.48454	16.0589	103.039	51.947	175.903	0.477845	12.6025	0.960135	2869.88	165.208	10.9514	521.961	60.4661	6380.82	7.16263	0.876425	247.81	7.08767	18.6039	27.3847	29.0754	765.78	1261.32	101.391	5.44339	0.655548
4	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.18995	21.4679	9.65513	0.235657	0.144825	2.15685	0.0175926	1.5044	1.45452	15.7732	98.7434	50.9315	175.044	0.473785	12.5463	0.960892	2806.47	164.432	11.2933	481.783	59.9464	6269.87	5.72827	0.870753	226.471	6.88896	17.7989	27.338	30.737	610.822	1139.99	106.048	5.27773	0.644896
5	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.22813	21.861	9.62268	0.236608	0.145306	2.14962	0.0176648	1.46717	1.43074	15.4411	95.7774	50.02	174.108	0.469482	12.4853	0.961017	2750.19	164.737	11.5668	455.111	59.3959	6156.5	5.33658	0.877994	213.594	6.90148	17.8793	27.4442	29.2449	525.211	1062.42	101.429	5.23016	0.641507
6	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.29675	22.1951	9.55203	0.238801	0.146464	2.14812	0.0178315	1.43997	1.41297	15.1519	93.6423	49.1717	173.114	0.465061	12.4204	0.961043	2698.3	165.151	11.7485	437.399	58.8308	6043.13	5.23555	0.887035	205.629	6.95723	18.1291	27.5633	27.1759	475.073	1012.24	95.1447	5.21757	0.640433
7	52.5	262.5	10	50	50	20	20.1	0.01	0	500	1.36029	22.4439	9.48583	0.240782	0.147511	2.14761	0.0179822	1.42078	1.40027	14.935	92.039	48.3707	172.066	0.460567	12.3517	0.961051	2649.73	165.404	11.8464	425.679	58.2563	5930.55	5.21823	0.894686	200.577	7.01123	18.3642	27.6578	25.5565	444.446	979.552	90.2364	5.21637	0.640221
8	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.1557	21.4008	5.11184	0.488578	0.270651	3.33604	0.0371907	1.62133	1.52307	15.6548	281.635	58.4118	187.853	0.457683	12.323	0.94369	2923.88	194.973	9.73172	845.686	57.8941	5886.72	24.2421	1.03991	546.175	15.4555	75.9223	76.4476	13.7367	1129.55	1534.52	57.5102	8.25536	0.661436
9	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.72102	21.3773	3.16733	0.563754	0.303616	3.60111	0.0431699	1.64326	1.53556	15.6439	357.907	61.3077	188.102	0.458305	12.3439	0.940448	3109.19	203.902	9.51583	1066.5	57.978	5919.91	41.5797	1.24365	613.446	26.7927	123.702	68.5972	11.8722	1801.53	2080.13	52.2015	10.6113	0.690028
