Time	[Auxin]	[X]	[PLSp]	[Ra]	[Ra*]	[Ra_total]	[CK]	[ET]	[PLSm]	[Re]	[Re_total]	[Re*]	[CTR1]	[CTR1_total]	[CTR1*]	[IAA]	[ACC]	[Cytokinin_ext]
0	0.1	0.1	0.1	0	1	1	0.1	0.1	0.1	0	0.3	0.3	0	0.3	0.3	0	0	0
1	0.582549	0.100103	0.111608	0.516258	0.483742	1	0.159827	0.104546	0.116248	0.116945	0.3	0.183055	0.0181067	0.3	0.281893	0	0	0
2	0.645026	0.114156	0.106594	0.59387	0.40613	1	0.145553	0.107681	0.0955425	0.185712	0.3	0.114288	0.0309565	0.3	0.269044	0	0	0
3	0.644746	0.138644	0.0949616	0.604699	0.395301	1	0.138193	0.108576	0.0841766	0.225357	0.3	0.074643	0.0431292	0.3	0.256871	0	0	0
4	0.630603	0.172396	0.0861041	0.609855	0.390145	1	0.136598	0.10867	0.0791753	0.248319	0.3	0.0516812	0.0553383	0.3	0.244662	0	0	0
5	0.611377	0.21454	0.0807237	0.616192	0.383808	1	0.138089	0.108567	0.0766359	0.261721	0.3	0.0382788	0.0674786	0.3	0.232521	0	0	0
6	0.589613	0.264082	0.077463	0.623894	0.376106	1	0.141258	0.108445	0.0748398	0.269586	0.3	0.0304141	0.0792727	0.3	0.220727	0	0	0
7	0.56659	0.319859	0.0751929	0.632564	0.367436	1	0.145445	0.108338	0.0731759	0.27424	0.3	0.0257598	0.0904618	0.3	0.209538	0	0	0
8	0.543216	0.380607	0.0732921	0.641849	0.358151	1	0.150321	0.108248	0.071464	0.277049	0.3	0.0229508	0.100869	0.3	0.199131	0	0	0
9	0.520198	0.445062	0.071483	0.651449	0.348551	1	0.155685	0.108171	0.0696782	0.278811	0.3	0.0211893	0.110409	0.3	0.189591	0	0	0
10	0.49805	0.512035	0.0696686	0.661111	0.338889	1	0.161385	0.108103	0.067843	0.279986	0.3	0.0200142	0.119069	0.3	0.180931	0	0	0
11	0.477111	0.580464	0.0678345	0.670634	0.329366	1	0.167297	0.108041	0.0659953	0.280836	0.3	0.019164	0.126888	0.3	0.173112	0	0	0
12	0.45757	0.649442	0.0659986	0.679866	0.320134	1	0.173313	0.107984	0.0641704	0.281507	0.3	0.0184933	0.133933	0.3	0.166067	0	0	0
13	0.439498	0.718218	0.0641871	0.688702	0.311298	1	0.179344	0.107932	0.0623965	0.282076	0.3	0.0179235	0.140285	0.3	0.159715	0	0	0
14	0.422893	0.786192	0.0624249	0.697078	0.302922	1	0.185318	0.107884	0.0606944	0.282587	0.3	0.0174135	0.146025	0.3	0.153975	0	0	0
15	0.407695	0.852894	0.0607314	0.704961	0.295039	1	0.191179	0.107838	0.0590772	0.283057	0.3	0.0169426	0.151228	0.3	0.148772	0	0	0
16	0.393821	0.917968	0.0591199	0.712339	0.287661	1	0.196885	0.107795	0.0575524	0.283499	0.3	0.0165011	0.155964	0.3	0.144036	0	0	0
17	0.38117	0.981155	0.0575982	0.719219	0.280781	1	0.202406	0.107755	0.0561229	0.283915	0.3	0.0160848	0.160291	0.3	0.139709	0	0	0
18	0.369639	1.04227	0.0561698	0.725618	0.274382	1	0.207721	0.107716	0.0547883	0.284308	0.3	0.015692	0.164261	0.3	0.135739	0	0	0
19	0.359126	1.10119	0.0548348	0.731558	0.268442	1	0.212819	0.107679	0.0535459	0.284678	0.3	0.015322	0.167915	0.3	0.132085	0	0	0
20	0.349533	1.15784	0.053591	0.737068	0.262932	1	0.217693	0.107644	0.0523917	0.285026	0.3	0.0149744	0.171289	0.3	0.128711	0	0	0
21	0.340772	1.21219	0.0524347	0.742174	0.257826	1	0.22234	0.10761	0.0513207	0.285351	0.3	0.0146487	0.174415	0.3	0.125585	0	0	0
