Time	[PTH_in_PTG]	[PTH_in_Plasma]	[Ca_in_Plasma]
0	0	0	1.255
1	9.74561	0.0309132	1.255
2	19.2977	0.104372	1.255
3	28.6601	0.201038	1.255
4	37.8366	0.309881	1.255
5	46.8309	0.424618	1.255
6	55.6466	0.54168	1.255
7	64.2872	0.65905	1.255
8	72.7562	0.775592	1.255
9	81.0571	0.890679	1.255
10	89.1931	1.00397	1.255
11	97.1676	1.1153	1.255
12	104.984	1.22457	1.255
13	112.645	1.33177	1.255
14	120.153	1.43689	1.255
15	127.513	1.53995	1.255
16	134.727	1.64098	1.255
17	141.797	1.74002	1.255
18	148.727	1.83709	1.255
19	155.519	1.93224	1.255
20	162.176	2.0255	1.255
21	168.702	2.11692	1.255
22	175.097	2.20652	1.255
23	181.366	2.29433	1.255
24	187.51	2.3804	1.255
25	193.532	2.46477	1.255
26	199.435	2.54746	1.255
27	205.22	2.62851	1.255
28	210.89	2.70795	1.255
29	216.448	2.78581	1.255
30	221.896	2.86212	1.255
31	227.235	2.93693	1.255
32	232.468	3.01024	1.255
33	237.598	3.0821	1.255
34	242.625	3.15253	1.255
35	247.553	3.22157	1.255
36	252.383	3.28923	1.255
37	257.117	3.35555	1.255
38	261.757	3.42055	1.255
39	266.305	3.48426	1.255
40	270.762	3.54671	1.255
41	275.131	3.60791	1.255
42	279.413	3.66791	1.255
43	283.611	3.72671	1.255
44	287.724	3.78434	1.255
45	291.757	3.84083	1.255
46	295.709	3.89619	1.255
47	299.582	3.95046	1.255
48	303.379	4.00365	1.255
49	307.1	4.05578	1.255
50	310.747	4.10687	1.255
51	314.322	4.15696	1.255
52	317.826	4.20604	1.255
53	321.261	4.25416	1.255
54	324.627	4.30131	1.255
55	327.926	4.34754	1.255
56	331.16	4.39284	1.255
57	334.33	4.43724	1.255
58	337.436	4.48077	1.255
59	340.481	4.52342	1.255
60	343.466	4.56524	1.255
61	346.391	4.60622	1.255
62	349.258	4.64638	1.255
63	352.069	4.68575	1.255
64	354.823	4.72434	1.255
65	357.523	4.76216	1.255
66	360.169	4.79924	1.255
67	362.763	4.83557	1.255
68	365.305	4.87118	1.255
69	367.797	4.90609	1.255
70	370.239	4.9403	1.255
71	372.632	4.97384	1.255
72	374.978	5.0067	1.255
73	377.278	5.03892	1.255
74	379.532	5.07049	1.255
75	381.741	5.10144	1.255
76	383.906	5.13177	1.255
77	386.028	5.1615	1.255
78	388.108	5.19064	1.255
79	390.147	5.21921	1.255
80	392.146	5.2472	1.255
81	394.104	5.27464	1.255
82	396.024	5.30154	1.255
83	397.906	5.3279	1.255
84	399.75	5.35373	1.255
85	401.557	5.37906	1.255
86	403.329	5.40388	1.255
87	405.066	5.4282	1.255
88	406.768	5.45205	1.255
89	408.436	5.47542	1.255
90	410.071	5.49833	1.255
91	411.674	5.52078	1.255
92	413.245	5.54279	1.255
93	414.784	5.56436	1.255
94	416.293	5.58549	1.255
95	417.772	5.60621	1.255
96	419.222	5.62652	1.255
97	420.643	5.64643	1.255
98	422.036	5.66594	1.255
99	423.401	5.68506	1.255
100	424.739	5.70381	1.255
