Time	Values[V]	Values[N]
0	-50	0.00115948
1	-35.7112	0.0014875
2	-22.6829	0.00348392
3	-10.4581	0.0115291
4	2.25328	0.036724
5	18.0857	0.0903952
6	33.4178	0.174034
7	41.8315	0.280007
8	43.6112	0.386277
9	41.1886	0.475392
10	36.8938	0.544063
11	32.1682	0.59613
12	27.6253	0.636115
13	23.3744	0.667243
14	19.275	0.691389
15	15.0596	0.709331
16	10.3835	0.720739
17	4.96958	0.723868
18	-0.942129	0.715866
19	-6.40711	0.695758
20	-10.5978	0.666632
21	-13.3261	0.632884
22	-14.7827	0.597901
23	-15.2468	0.563889
24	-14.97	0.532213
25	-14.1495	0.503689
26	-12.9322	0.478802
27	-11.4244	0.457859
28	-9.70181	0.441092
29	-7.81727	0.428704
30	-5.80605	0.420892
31	-3.68962	0.417833
32	-1.47847	0.419641
33	0.824641	0.426332
34	3.21779	0.437771
35	5.68439	0.453638
36	8.16417	0.473389
37	10.5187	0.496232
38	12.5271	0.521132
39	13.9475	0.546886
40	14.6099	0.572255
41	14.4555	0.596099
42	13.5026	0.617443
43	11.7828	0.635412
44	9.29919	0.649053
45	6.04685	0.657091
46	2.14525	0.657856
47	-1.99337	0.649978
48	-5.76075	0.633763
49	-8.70435	0.61141
50	-10.6822	0.585686
51	-11.7631	0.558918
52	-12.0954	0.532778
53	-11.8352	0.508407
54	-11.1182	0.486568
55	-10.0532	0.467782
56	-8.72436	0.452424
57	-7.19499	0.440781
58	-5.51189	0.433086
59	-3.70892	0.429517
60	-1.8101	0.430182
61	0.166807	0.435093
62	2.20519	0.44414
63	4.28053	0.457063
64	6.34592	0.473434
65	8.31449	0.492644
66	10.0506	0.513908
67	11.3867	0.536291
68	12.1667	0.558777
69	12.2849	0.580347
70	11.6929	0.600034
71	10.3746	0.616906
72	8.32128	0.62996
73	5.545	0.637979
74	2.16739	0.639525
75	-1.47059	0.633454
76	-4.86967	0.619899
77	-7.61933	0.600534
78	-9.54527	0.577697
79	-10.664	0.553512
80	-11.0828	0.529596
81	-10.9315	0.507098
82	-10.331	0.486817
83	-9.38274	0.46931
84	-8.16749	0.454982
85	-6.74793	0.444141
86	-5.17173	0.437026
87	-3.47469	0.43381
88	-1.68388	0.434591
89	0.179014	0.439372
90	2.09267	0.448033
91	4.02825	0.460317
92	5.9377	0.475809
93	7.74065	0.493937
94	9.31836	0.513967
95	10.5264	0.535038
96	11.2261	0.556208
97	11.3148	0.576516
98	10.7344	0.595023
99	9.45691	0.610791
100	7.47005	0.622795
