Time	[enzyme E (catalase)]	[substrate S (hydrogen peroxide)]	[enzyme-substrate complex ES (catalase - hydrogen peroxide)]	[product 1]	[donor AH2]	[product 2]
0	1.36	2	0	0	0	0
1	0.839424	3.69204e-08	0.520576	0.739712	0	0
2	0.839424	-2.90693e-14	0.520576	0.739712	0	0
3	0.839424	-2.43259e-15	0.520576	0.739712	0	0
4	0.839424	-1.34065e-16	0.520576	0.739712	0	0
5	0.839424	-4.97258e-17	0.520576	0.739712	0	0
6	0.839424	-4.58414e-18	0.520576	0.739712	0	0
7	0.839424	-4.29669e-18	0.520576	0.739712	0	0
8	0.839424	-4.00924e-18	0.520576	0.739712	0	0
9	0.839424	-3.72179e-18	0.520576	0.739712	0	0
10	0.839424	-3.43434e-18	0.520576	0.739712	0	0
11	0.839424	-3.14689e-18	0.520576	0.739712	0	0
12	0.839424	-2.85944e-18	0.520576	0.739712	0	0
13	0.839424	-2.57199e-18	0.520576	0.739712	0	0
14	0.839424	-2.28454e-18	0.520576	0.739712	0	0
15	0.839424	-1.99709e-18	0.520576	0.739712	0	0
16	0.839424	-1.70964e-18	0.520576	0.739712	0	0
17	0.839424	-1.42219e-18	0.520576	0.739712	0	0
18	0.839424	-1.13474e-18	0.520576	0.739712	0	0
19	0.839424	-8.47289e-19	0.520576	0.739712	0	0
20	0.839424	-5.59839e-19	0.520576	0.739712	0	0
21	0.839424	-2.72389e-19	0.520576	0.739712	0	0
22	0.839424	-1.59584e-20	0.520576	0.739712	0	0
23	0.839424	-1.49797e-20	0.520576	0.739712	0	0
24	0.839424	-1.4001e-20	0.520576	0.739712	0	0
25	0.839424	-1.30223e-20	0.520576	0.739712	0	0
26	0.839424	-1.20436e-20	0.520576	0.739712	0	0
27	0.839424	-1.10649e-20	0.520576	0.739712	0	0
28	0.839424	-1.00862e-20	0.520576	0.739712	0	0
29	0.839424	-9.1075e-21	0.520576	0.739712	0	0
30	0.839424	-8.1288e-21	0.520576	0.739712	0	0
31	0.839424	-7.15009e-21	0.520576	0.739712	0	0
32	0.839424	-6.17139e-21	0.520576	0.739712	0	0
33	0.839424	-5.19268e-21	0.520576	0.739712	0	0
34	0.839424	-4.21398e-21	0.520576	0.739712	0	0
35	0.839424	-3.23527e-21	0.520576	0.739712	0	0
36	0.839424	-2.25657e-21	0.520576	0.739712	0	0
37	0.839424	-1.27787e-21	0.520576	0.739712	0	0
38	0.839424	-2.9916e-22	0.520576	0.739712	0	0
39	0.839424	-5.4445e-23	0.520576	0.739712	0	0
