Time	[PolyQ]	[Proteasome]	[NatP]	[MisP]	[MisP_Proteasome]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[AggPolyQ1]	[AggPolyQ2]	[AggPolyQ3]	[AggPolyQ4]	[AggPolyQ5]	[SeqAggP]	[AggP_Proteasome]	[mRFPu]	[mRFPu_Proteasome]	[PolyQ_Proteasome]	[ROS]	[p38_P]	[p38]	[Source]	[Sink]	[p38death]	[PIdeath]
0	1000	1000	19500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	10	0	100	1	1	0	0
1	999.932	999.8	19502	0.389989	9.7161e-06	-7.21491e-13	-7.50967e-24	-5.1567e-35	-2.84108e-46	-1.18293e-57	0.0124863	1.56072e-07	1.30054e-12	8.12774e-18	4.10292e-23	2.48302e-27	3.12128e-08	299.988	0.149608	0.0499309	9.9997	0.0049948	99.995	1	1	2.24844e-10	2.60119e-16
2	999.864	999.602	19504	0.779956	3.87295e-05	-1.87194e-12	-8.88006e-23	-2.54373e-33	-5.28003e-44	-8.74845e-55	0.0249701	6.24199e-07	1.04028e-11	1.30037e-16	1.301e-21	1.52127e-25	1.24828e-07	299.976	0.298433	0.0997237	9.99941	0.00997923	99.99	1	1	8.98753e-10	2.08074e-15
3	999.796	999.404	19506	1.1699	8.68394e-05	-1.93078e-12	-2.88578e-22	-2.05501e-32	-1.0466e-42	-4.7389e-53	0.0374515	1.40425e-06	3.51019e-11	6.58089e-16	9.88926e-21	1.75057e-24	2.80809e-07	299.964	0.446481	0.149379	9.99912	0.0149533	99.985	1	1	2.0208e-09	7.0213e-15
4	999.728	999.207	19508	1.55982	0.000153847	6.22527e-13	-4.08601e-22	-6.99296e-32	-6.89493e-42	-5.77954e-52	0.0499304	2.4961e-06	8.31885e-11	2.07935e-15	4.15853e-20	9.76839e-24	4.99122e-07	299.952	0.593755	0.198897	9.99883	0.019917	99.9801	1	1	3.59004e-09	1.66406e-14
5	999.66	999.011	19510.1	1.94973	0.000239556	7.30817e-12	2.37115e-22	-9.83482e-32	-2.21655e-41	-3.28533e-51	0.0624069	3.89961e-06	1.62447e-10	5.07532e-15	1.26853e-19	3.71243e-23	7.79731e-07	299.94	0.74026	0.248278	9.99855	0.0248705	99.9751	1	1	5.60555e-09	3.24965e-14
6	999.592	998.816	19512.1	2.33961	0.000343771	1.96461e-11	3.05288e-21	2.12344e-31	-1.71644e-41	-9.08259e-51	0.074881	5.61465e-06	2.80656e-10	1.05217e-14	3.15557e-19	1.10664e-22	1.1226e-06	299.929	0.885998	0.297523	9.99826	0.0298136	99.9702	1	1	8.06642e-09	5.6146e-14
7	999.525	998.622	19514.1	2.72946	0.0004663	3.9156e-11	1.04004e-20	1.81933e-30	2.08064e-40	6.95309e-51	0.0873527	7.6411e-06	4.4559e-10	1.94882e-14	6.81846e-19	2.78812e-22	1.5277e-06	299.917	1.03097	0.346632	9.99799	0.0347465	99.9653	1	1	1.09717e-08	8.91451e-14
8	999.457	998.429	19516.1	3.1193	0.000606952	6.73572e-11	2.58358e-20	6.92472e-30	1.38926e-39	2.07615e-49	0.0998219	9.97882e-06	6.65014e-10	3.32384e-14	1.32899e-18	6.20927e-22	1.99499e-06	299.905	1.17519	0.395605	9.99772	0.0396692	99.9603	1	1	1.43205e-08	1.33049e-13
9	999.389	998.236	19518.1	3.50912	0.000765539	1.05769e-10	5.43461e-20	2.05881e-29	8.52148e-39	5.50633e-48	0.112289	1.26277e-05	9.46692e-10	5.32292e-14	2.3942e-18	1.26105e-21	2.52444e-06	299.893	1.31866	0.444442	9.99745	0.0445816	99.9554	1	1	1.81118e-08	1.89413e-13
