Time	[ERK]	[ERK-PY]	[ERK-PT]	[ERK-PP]	[MEK]	[MKP3]
0	800	0	0	0	180	100
1	789.932	8.73756	1.32268	0.00738243	180	100
2	780.071	17.2903	2.60937	0.0292492	180	100
3	770.411	25.6624	3.86121	0.065188	180	100
4	760.948	33.8576	5.07927	0.114797	180	100
5	751.678	41.88	6.26461	0.177685	180	100
6	742.595	49.7331	7.41823	0.253469	180	100
7	733.696	57.4207	8.54111	0.341778	180	100
8	724.977	64.9462	9.63419	0.442249	180	100
9	716.434	72.3131	10.6984	0.554527	180	100
10	708.062	79.5247	11.7346	0.678267	180	100
11	699.859	86.5842	12.7436	0.81313	180	100
12	691.82	93.4948	13.7264	0.958787	180	100
13	683.942	100.26	14.6835	1.11492	180	100
14	676.221	106.882	15.616	1.2812	180	100
15	668.654	113.364	16.5244	1.45734	180	100
16	661.238	119.709	17.4096	1.64302	180	100
17	653.97	125.92	18.2722	1.83796	180	100
18	646.846	131.999	19.1128	2.04187	180	100
19	639.863	137.95	19.9323	2.25447	180	100
20	633.019	143.775	20.7311	2.47548	180	100
21	626.31	149.475	21.51	2.70464	180	100
22	619.734	155.055	22.2695	2.94168	180	100
23	613.288	160.516	23.0102	3.18635	180	100
24	606.969	165.86	23.7327	3.43839	180	100
25	600.774	171.09	24.4376	3.69757	180	100
26	594.702	176.209	25.1252	3.96363	180	100
27	588.749	181.218	25.7963	4.23636	180	100
28	582.913	186.12	26.4513	4.51551	180	100
29	577.192	190.916	27.0906	4.80086	180	100
30	571.583	195.61	27.7147	5.0922	180	100
31	566.085	200.202	28.3242	5.38931	180	100
32	560.693	204.695	28.9194	5.69198	180	100
33	555.408	209.091	29.5008	6.00001	180	100
34	550.226	213.392	30.0688	6.31319	180	100
35	545.145	217.6	30.6239	6.63134	180	100
36	540.163	221.716	31.1663	6.95425	180	100
37	535.278	225.743	31.6965	7.28175	180	100
38	530.489	229.682	32.2149	7.61364	180	100
39	525.793	233.535	32.7219	7.94976	180	100
40	521.189	237.304	33.2177	8.28993	180	100
41	516.674	240.99	33.7028	8.63397	180	100
42	512.246	244.595	34.1774	8.98173	180	100
43	507.905	248.12	34.642	9.33303	180	100
44	503.647	251.568	35.0967	9.68773	180	100
45	499.473	254.94	35.5419	10.0457	180	100
46	495.379	258.237	35.978	10.4067	180	100
47	491.364	261.46	36.4051	10.7707	180	100
48	487.426	264.613	36.8236	11.1374	180	100
49	483.565	267.694	37.2338	11.5068	180	100
50	479.778	270.707	37.6359	11.8788	180	100
51	476.064	273.653	38.0301	12.2531	180	100
52	472.421	276.532	38.4168	12.6297	180	100
53	468.849	279.347	38.7961	13.0084	180	100
54	465.344	282.098	39.1682	13.3891	180	100
55	461.907	284.787	39.5335	13.7717	180	100
56	458.536	287.416	39.8922	14.1561	180	100
57	455.229	289.984	40.2443	14.5421	180	100
58	451.985	292.495	40.5903	14.9297	180	100
59	448.803	294.948	40.9302	15.3187	180	100
60	445.682	297.345	41.2642	15.7091	180	100
61	442.619	299.687	41.5926	16.1007	180	100
62	439.615	301.976	41.9155	16.4934	180	100
63	436.668	304.212	42.233	16.8872	180	100
64	433.777	306.396	42.5455	17.2819	180	100
65	430.939	308.53	42.853	17.6775	180	100
66	428.156	310.615	43.1557	18.0738	180	100
67	425.425	312.651	43.4537	18.4708	180	100
68	422.745	314.64	43.7473	18.8685	180	100
69	420.115	316.582	44.0365	19.2666	180	100
70	417.534	318.479	44.3215	19.6652	180	100
71	415.002	320.332	44.6024	20.0641	180	100
72	412.516	322.141	44.8794	20.4633	180	100
73	410.077	323.907	45.1526	20.8628	180	100
74	407.683	325.632	45.4221	21.2624	180	100
75	405.334	327.316	45.6881	21.6621	180	100
76	403.027	328.96	45.9506	22.0618	180	100
77	400.764	330.565	46.2098	22.4614	180	100
78	398.541	332.132	46.4657	22.861	180	100
79	396.36	333.661	46.7186	23.2603	180	100
80	394.218	335.154	46.9684	23.6595	180	100
81	392.115	336.611	47.2154	24.0584	180	100
82	390.051	338.033	47.4595	24.4569	180	100
83	388.024	339.42	47.7008	24.8551	180	100
84	386.033	340.774	47.9396	25.2529	180	100
85	384.079	342.095	48.1758	25.6502	180	100
86	382.159	343.384	48.4095	26.0469	180	100
87	380.274	344.642	48.6409	26.4431	180	100
88	378.423	345.868	48.8699	26.8387	180	100
89	376.605	347.065	49.0967	27.2336	180	100
90	374.819	348.232	49.3214	27.6278	180	100
91	373.064	349.37	49.5439	28.0214	180	100
92	371.341	350.481	49.7644	28.4141	180	100
93	369.648	351.563	49.983	28.8061	180	100
94	367.984	352.619	50.1996	29.1972	180	100
95	366.349	353.649	50.4145	29.5874	180	100
96	364.743	354.652	50.6275	29.9768	180	100
97	363.165	355.631	50.8388	30.3653	180	100
98	361.614	356.585	51.0485	30.7527	180	100
99	360.09	357.514	51.2565	31.1392	180	100
100	358.592	358.421	51.463	31.5247	180	100
