Time	[AlB]	[BC]	[AlCn]	[AlB2]	[Al]	[B]	[C]	[A0]	[B0]	[C0]
0	0	0	0	0	0.461538	0.175439	1.174	0.461538	0.175439	1.174
1	0.0331925	0.000416776	0.00324717	0.0002014	0.424897	0.141427	1.17034	0.461538	0.175439	1.174
2	0.0571703	0.00153055	0.00691511	0.00060307	0.39685	0.115532	1.16555	0.461538	0.175439	1.174
3	0.0748424	0.00317023	0.0108619	0.00103068	0.374803	0.0953646	1.15997	0.461538	0.175439	1.174
4	0.0880419	0.00520174	0.0149887	0.00140864	0.357099	0.0793777	1.15381	0.461538	0.175439	1.174
5	0.0979756	0.00752009	0.019225	0.00170937	0.342629	0.0665241	1.14725	0.461538	0.175439	1.174
6	0.105468	0.0100432	0.0235195	0.0019284	0.330622	0.0560703	1.14044	0.461538	0.175439	1.174
7	0.111101	0.0127068	0.0278346	0.00207195	0.320531	0.0474872	1.13346	0.461538	0.175439	1.174
8	0.115293	0.0154611	0.0321425	0.00215053	0.311953	0.0403839	1.1264	0.461538	0.175439	1.174
9	0.118354	0.018267	0.0364223	0.00217573	0.304586	0.0344658	1.11931	0.461538	0.175439	1.174
10	0.12052	0.0210948	0.0406586	0.00215864	0.298201	0.0295068	1.11225	0.461538	0.175439	1.174
11	0.121968	0.0239211	0.0448399	0.00210914	0.292621	0.0253308	1.10524	0.461538	0.175439	1.174
12	0.12284	0.0267284	0.0489577	0.00203571	0.287705	0.0217992	1.09831	0.461538	0.175439	1.174
13	0.123243	0.0295035	0.0530061	0.00194538	0.283344	0.0188011	1.09149	0.461538	0.175439	1.174
14	0.123267	0.0322364	0.0569806	0.00184387	0.279447	0.0162476	1.08478	0.461538	0.175439	1.174
15	0.122981	0.0349199	0.0608785	0.00173574	0.275943	0.0140663	1.0782	0.461538	0.175439	1.174
16	0.122443	0.0375489	0.0646979	0.00162456	0.272773	0.012198	1.07175	0.461538	0.175439	1.174
17	0.121698	0.0401201	0.0684379	0.00151306	0.269889	0.0105939	1.06544	0.461538	0.175439	1.174
18	0.120787	0.0426312	0.0720983	0.00140332	0.26725	0.00921378	1.05927	0.461538	0.175439	1.174
19	0.11974	0.0450811	0.0756792	0.00129684	0.264823	0.00802396	1.05324	0.461538	0.175439	1.174
20	0.118583	0.0474695	0.0791813	0.00119469	0.262579	0.00699637	1.04735	0.461538	0.175439	1.174
21	0.11734	0.0497965	0.0826056	0.00109759	0.260496	0.00610742	1.0416	0.461538	0.175439	1.174
22	0.116027	0.0520629	0.0859533	0.00100599	0.258553	0.00533722	1.03598	0.461538	0.175439	1.174
23	0.11466	0.0542696	0.0892257	0.000920094	0.256733	0.00466896	1.0305	0.461538	0.175439	1.174
24	0.113252	0.056418	0.0924244	0.000839985	0.255022	0.00408838	1.02516	0.461538	0.175439	1.174
25	0.111815	0.0585093	0.095551	0.000765604	0.253407	0.00358334	1.01994	0.461538	0.175439	1.174
26	0.110356	0.0605453	0.0986071	0.000696804	0.251878	0.00314351	1.01485	0.461538	0.175439	1.174
27	0.108884	0.0625275	0.101594	0.000633377	0.250426	0.00276003	1.00988	0.461538	0.175439	1.174
28	0.107405	0.0644576	0.104515	0.000575069	0.249043	0.00242534	1.00503	0.461538	0.175439	1.174
29	0.105925	0.0663373	0.10737	0.000521602	0.247722	0.00213294	1.00029	0.461538	0.175439	1.174
30	0.104448	0.0681682	0.110161	0.000472681	0.246457	0.00187724	0.995671	0.461538	0.175439	1.174
31	0.102977	0.069952	0.11289	0.000428005	0.245243	0.00165343	0.991158	0.461538	0.175439	1.174
32	0.101516	0.0716904	0.11556	0.000387274	0.244075	0.00145737	0.98675	0.461538	0.175439	1.174
33	0.100068	0.0733849	0.11817	0.000350197	0.24295	0.00128547	0.982445	0.461538	0.175439	1.174
34	0.098634	0.075037	0.120724	0.00031649	0.241864	0.00113464	0.978239	0.461538	0.175439	1.174
35	0.0972164	0.0766482	0.123222	0.000285882	0.240814	0.00100218	0.974129	0.461538	0.175439	1.174
36	0.0958165	0.0782201	0.125667	0.000258119	0.239797	0.000885782	0.970113	0.461538	0.175439	1.174
37	0.0944353	0.0797539	0.128059	0.000232959	0.238811	0.000783416	0.966187	0.461538	0.175439	1.174
38	0.0930739	0.0812511	0.1304	0.000210177	0.237854	0.000693328	0.962349	0.461538	0.175439	1.174
39	0.0917327	0.0827128	0.132692	0.000189564	0.236924	0.000613992	0.958595	0.461538	0.175439	1.174
40	0.0904124	0.0841403	0.134936	0.000170926	0.236019	0.000544079	0.954924	0.461538	0.175439	1.174
41	0.0891132	0.0855348	0.137133	0.000154083	0.235138	0.00048243	0.951332	0.461538	0.175439	1.174
42	0.0878354	0.0868974	0.139284	0.000138871	0.23428	0.000428034	0.947818	0.461538	0.175439	1.174
43	0.0865791	0.0882292	0.141392	0.000125139	0.233443	0.000380008	0.944379	0.461538	0.175439	1.174
44	0.0853443	0.0895312	0.143456	0.000112746	0.232625	0.000337582	0.941013	0.461538	0.175439	1.174
45	0.084131	0.0908044	0.145478	0.000101568	0.231828	0.00030008	0.937717	0.461538	0.175439	1.174
46	0.0829389	0.0920498	0.14746	9.14882e-05	0.231048	0.000266912	0.93449	0.461538	0.175439	1.174
47	0.081768	0.0932682	0.149402	8.24015e-05	0.230286	0.000237561	0.93133	0.461538	0.175439	1.174
48	0.0806181	0.0944605	0.151306	7.42122e-05	0.229541	0.000211575	0.928234	0.461538	0.175439	1.174
49	0.0794888	0.0956276	0.153172	6.68333e-05	0.228811	0.000188555	0.925201	0.461538	0.175439	1.174
50	0.0783799	0.0967702	0.155001	6.01861e-05	0.228098	0.000168149	0.922229	0.461538	0.175439	1.174
