Time	[CDC28_Clb2_Sic1_Complex]	[Clb2]	[Sic1]	[Phosphorylated Cdc28_Clb2_Sic1 Complex]	[Phosphorylated Clb2]	[SBF]	[Intermediary Enzyme]	[Cdc20 activated]	[Cdc20]	[Cdh1]	[Swe1]	[Swe1 modified]	[Phosphorylated Swe1]	[Phosphorylated Swe1M]	[Mih1a]	[Mcm]	[BE]	[Cln]	[mass]
0	0.0844107	0.184537	0.00354918	1.40231e-05	3.0203e-05	0.124055	0.522208	1.43847	1.17224	0.992637	0.000315886	0.0183601	0.000205008	0.0133368	0.808091	0.932893	0.000242962	0.053601	0.802249
1	0.0911907	0.00185827	0.0689485	0.000142736	1.78728e-06	0.0355664	0.489354	1.54585	0.825622	0.999897	0.000902333	0.0300848	2.91295e-05	0.000813546	0.590986	0.828237	0.0053027	0.052388	0.80627
2	0.0366565	0.000305503	0.210531	0.000126924	3.38299e-07	0.0400224	0.450253	1.60709	0.543465	0.999933	0.00132495	0.0303453	1.62872e-06	2.49457e-05	0.345364	0.696122	0.00971648	0.0510868	0.810311
3	0.0185975	0.000160009	0.310953	8.78107e-05	1.56706e-07	0.0411823	0.411182	1.62499	0.325671	0.999939	0.00171766	0.0298467	9.52618e-07	1.08605e-05	0.137637	0.566861	0.0136036	0.0500919	0.814373
4	0.0122475	0.000105913	0.395175	6.24622e-05	8.76119e-08	0.0422783	0.372192	1.60342	0.166368	0.99994	0.00210484	0.029347	7.47925e-07	6.90221e-06	0.021878	0.441894	0.0170359	0.0492968	0.818455
5	0.00955213	7.66031e-05	0.471543	5.00958e-05	5.87716e-08	0.0434098	0.333304	1.54515	0.0609762	0.999939	0.00248704	0.028854	6.29044e-07	4.88187e-06	0.00136321	0.323255	0.0200749	0.0486833	0.822558
6	0.0080352	5.77468e-05	0.542787	4.47837e-05	4.54333e-08	0.0445901	0.294547	1.44698	0.0110646	0.999937	0.00286453	0.0283686	5.40151e-07	3.61898e-06	8.68171e-05	0.214397	0.0227745	0.0482382	0.826681
7	0.00696855	4.4876e-05	0.60984	4.25587e-05	3.82218e-08	0.0458252	0.255957	1.3098	0.0142509	0.999931	0.00323757	0.0278911	4.69265e-07	2.76695e-06	1.8192e-05	0.121369	0.0251826	0.0479503	0.830824
8	0.00617184	3.63407e-05	0.673041	4.1574e-05	3.36926e-08	0.0471202	0.217585	1.16299	0.0398135	0.999923	0.00360641	0.0274214	4.17429e-07	2.19815e-06	1.19809e-05	0.0534531	0.0273413	0.0478102	0.834989
9	0.0056518	3.12487e-05	0.73251	4.14539e-05	3.08079e-08	0.0484799	0.179512	1.00015	0.0929516	0.999912	0.00397132	0.0269594	3.88742e-07	1.8495e-06	9.94725e-06	0.017167	0.0292881	0.0478098	0.839174
