Time	[Cyclin]	[CDC-2 Kinase]	[Cyclin Protease]
0	0.01	0.01	0.01
1	0.0347582	0.000740344	7.32098e-06
2	0.059286	0.0013334	1.32404e-05
3	0.0835683	0.00198829	1.9793e-05
4	0.107607	0.00271512	2.70851e-05
5	0.131405	0.00352633	3.52481e-05
6	0.154965	0.00443736	4.44466e-05
7	0.178287	0.00546762	5.48888e-05
8	0.201375	0.00664187	6.68419e-05
9	0.22423	0.00799208	8.06547e-05
10	0.246854	0.00956028	9.67903e-05
11	0.269249	0.0114027	0.000115876
12	0.291415	0.0135961	0.00013878
13	0.313356	0.0162475	0.000166737
14	0.33507	0.0195099	0.000201547
15	0.356559	0.0236074	0.000245924
16	0.377822	0.0288761	0.000304087
17	0.398857	0.0358306	0.000382827
18	0.419661	0.0452661	0.000493404
19	0.440225	0.0583975	0.00065496
20	0.460537	0.0770014	0.000900594
21	0.480573	0.103451	0.00128848
22	0.500289	0.140513	0.00192511
23	0.519606	0.190863	0.00302449
24	0.538366	0.256516	0.00509427
25	0.556193	0.338336	0.00966912
26	0.571932	0.435402	0.022862
27	0.581249	0.542888	0.0677245
28	0.571941	0.645308	0.181892
29	0.526152	0.706774	0.368249
30	0.433419	0.667213	0.565556
31	0.307852	0.441436	0.636029
32	0.20573	0.00849345	0.364674
33	0.197381	0.00642625	6.46429e-05
34	0.220276	0.0077432	7.81031e-05
35	0.24294	0.00926996	9.37956e-05
36	0.265374	0.0110599	0.000112314
37	0.287581	0.0131857	0.000134479
38	0.30956	0.0157481	0.000161448
39	0.331314	0.0188907	0.000194905
40	0.352842	0.0228228	0.000237369
41	0.374145	0.0278572	0.00029274
42	0.39522	0.0344712	0.000367256
43	0.416064	0.0434023	0.000471209
44	0.436671	0.0557814	0.000622031
45	0.457028	0.0732797	0.000849783
46	0.477114	0.0981743	0.00120712
47	0.496889	0.133191	0.00178945
48	0.516284	0.181062	0.00278449
49	0.535159	0.243956	0.00462256
50	0.553195	0.322971	0.00854419
51	0.569462	0.417574	0.0192908
52	0.580503	0.52393	0.055875
53	0.575681	0.629135	0.156197
54	0.537395	0.701352	0.332469
55	0.452732	0.684738	0.53542
56	0.330204	0.498204	0.641599
57	0.217852	0.0696464	0.444813
58	0.193381	0.00621597	0.000131133
59	0.216316	0.00750068	7.56191e-05
60	0.23902	0.00898761	9.08863e-05
61	0.261494	0.0107273	0.000108863
62	0.28374	0.0127884	0.000130323
63	0.305759	0.0152661	0.000156354
64	0.327552	0.0182951	0.000188532
65	0.349119	0.0220712	0.0002292
66	0.370461	0.0268855	0.000281964
67	0.391576	0.0331811	0.00035256
68	0.41246	0.0416416	0.000450402
69	0.433109	0.0533187	0.000591377
70	0.453511	0.0697811	0.0008028
71	0.473646	0.0932039	0.00113237
72	0.493479	0.126259	0.00166577
73	0.512948	0.171719	0.00256845
74	0.531928	0.231889	0.00420769
75	0.550149	0.308087	0.00759542
76	0.566853	0.400124	0.0164222
77	0.5793	0.504991	0.0460302
78	0.5784	0.612032	0.132955
79	0.547185	0.69331	0.29768
80	0.4708	0.69719	0.50259
81	0.352729	0.547034	0.638132
82	0.233014	0.157747	0.511221
83	0.190121	0.00605935	0.0523252
84	0.21235	0.00726425	7.31997e-05
85	0.235094	0.00871286	8.80585e-05
86	0.257608	0.0104043	0.000105516
87	0.279893	0.0124036	0.000126303
88	0.301951	0.0148006	0.000151444
89	0.323783	0.017722	0.000182413
90	0.34539	0.0213507	0.000221392
91	0.366771	0.0259581	0.000271719
92	0.387925	0.0319555	0.000338672
93	0.40885	0.0399768	0.000430873
94	0.42954	0.050999	0.000562803
95	0.449986	0.0664914	0.000759298
96	0.470169	0.0885242	0.0010636
97	0.490059	0.119703	0.00155283
98	0.509597	0.162823	0.0023734
99	0.528675	0.220311	0.00384086
100	0.54706	0.293687	0.00678795
