Time	[CRP]	[PC]	[PC/CRP]	[C4]	[C4a]	[C4b]	[C2]	[C1]	[PC/CRP/C1]	[C2a]	[C2b]	[C4b/C2a]	[C3]	[C3a]	[C3b]	[dC3b]	[MASP]	[dC4b/C2a]	[GlcNac]	[GlcNac/LF]	[LF]	[GlcNac/LF/MASP]	[PC/CRP/LF]	[PC/CRP/LF/MASP]	[GlcNac/LF/CRP]	[GlcNac/LF/CRP/C1]	[C4BP]	[C4BP/PC/CRP]	[C4BP/GlcNac/LF/CRP]	[iC4b/C2a]	[C4BP/C4b]	[C4b/C2a/C4BP]	[dC4b/C2a/C4BP]	[PC/CRP/LF/C1]	[C4BP/PC/CRP/LF]	[GlcNac/LF/CRP/MASP]	[PC/CRP/LF/C1/MASP]	[GlcNac/LF/C1/MASP]	[GlcNac/HF]	[HF]	[GlcNac/HF/MASP]	[X]
0	2	0.0327796	0	770	0	0	310	2470	0	0	0	0	4650	0	0	0	6.8	0	0	0	20	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005
1	1.99824	0.03102	7.20912e-06	770	7.86938e-06	1.45754e-07	310	2470	1.3038e-05	7.51022e-06	7.51022e-06	1.74596e-15	4650	1.0971e-15	9.43639e-16	6.43028e-17	6.8	1.27294e-17	0	0	20	0	4.28024e-09	3.75146e-10	0	0	259.909	0.0017393	0	6.36482e-15	7.72362e-06	5.35033e-14	3.7698e-16	4.69015e-09	0	0	7.46078e-10	0	-8.07054e-30	-5.78729e-32	-2.06627e-29	0.0005
2	1.99658	0.0293563	7.29365e-06	770	3.17377e-05	3.91956e-07	310	2470	2.62711e-05	3.0277e-05	3.0277e-05	2.00041e-14	4650	2.41571e-14	1.85451e-14	2.1738e-15	6.8	1.72291e-16	0	0	20	0	4.88759e-09	5.82889e-10	0	0	259.819	0.00338969	0	1.40106e-13	3.13457e-05	1.01971e-12	8.40673e-15	1.13938e-08	0	0	3.48091e-09	0	1.46525e-29	-1.60614e-31	2.95825e-28	0.0005
3	1.995	0.0277831	7.3741e-06	770	7.17894e-05	7.38733e-07	310	2470	3.96404e-05	6.84663e-05	6.84663e-05	8.87917e-14	4650	1.56759e-13	1.09691e-13	1.69413e-14	6.8	8.74605e-16	0	0	20	0	5.01903e-09	6.4059e-10	0	0	259.728	0.00494947	0	9.08906e-13	7.10507e-05	5.83786e-12	5.47838e-14	1.73817e-08	0	0	7.67417e-09	0	3.33498e-29	1.06779e-30	2.75106e-28	0.0005
4	1.99352	0.0262953	7.45064e-06	770	0.000128196	1.18717e-06	310	2470	5.31383e-05	0.000122233	0.000122233	2.63019e-13	4650	6.08338e-13	3.93267e-13	7.22536e-14	6.8	2.90767e-15	0	0	20	0	5.08543e-09	6.60311e-10	0	0	259.638	0.00642369	0	3.5262e-12	0.000127009	2.02676e-11	2.13043e-13	2.25997e-08	0	0	1.28511e-08	0	4.66843e-29	3.14749e-30	2.459e-28	0.0005
5	1.99211	0.0248881	7.52342e-06	770	0.000201117	1.73829e-06	310	2470	6.67577e-05	0.000191722	0.000191722	6.19964e-13	4650	1.76972e-12	1.06691e-12	2.21243e-13	6.8	7.5905e-15	0	0	20	0	5.1405e-09	6.72328e-10	0	0	259.547	0.00781713	0	1.02551e-11	0.000199379	5.33247e-11	6.20504e-13	2.72456e-08	0	0	1.87249e-08	0	6.42332e-29	5.9551e-30	3.45329e-28	0.0005
6	1.99078	0.0235572	7.59262e-06	770	0.000290703	2.39305e-06	310	2470	8.04918e-05	0.000277072	0.000277072	1.26038e-12	4650	4.27666e-12	2.42095e-12	5.49208e-13	6.8	1.69187e-14	0	0	20	0	5.19179e-09	6.82939e-10	0	0	259.457	0.00913426	0	2.4775e-11	0.00028831	1.17568e-10	1.50061e-12	3.14885e-08	0	0	2.51072e-08	0	4.34738e-29	9.0578e-30	-1.0743e-27	0.0005
7	1.98952	0.0222982	7.65839e-06	770	0.000397093	3.15236e-06	310	2470	9.4334e-05	0.000378411	0.000378411	2.30936e-12	4650	9.07448e-12	4.84959e-12	1.1793e-12	6.8	3.37112e-14	0	0	20	0	5.24033e-09	6.93181e-10	0	0	259.367	0.0103793	0	5.25539e-11	0.000393941	2.29294e-10	3.18563e-12	3.54516e-08	0	0	3.18678e-08	0	-1.61704e-28	7.05392e-30	-2.99772e-27	0.0005
8	1.98833	0.0211073	7.72088e-06	769.999	0.000520419	4.01709e-06	310	2470	0.000108278	0.000495861	0.000495862	3.9171e-12	4650	1.7487e-11	8.86061e-12	2.27746e-12	6.8	6.17654e-14	0	0	20	0	5.28642e-09	7.03245e-10	0	0	259.277	0.0115563	0	1.01245e-10	0.000516402	4.08695e-10	6.14083e-12	3.92218e-08	0	0	3.89146e-08	0	-3.51075e-28	-5.85915e-30	-1.63158e-27	0.0005
9	1.9872	0.0199805	7.78023e-06	769.999	0.000660803	4.98804e-06	309.999	2470	0.000122318	0.000629539	0.000629539	6.25952e-12	4650	3.12866e-11	1.50832e-11	4.05638e-12	6.8	1.06014e-13	0	0	20	0	5.33028e-09	7.13171e-10	0	0	259.187	0.0126689	0	1.81087e-10	0.000655814	6.79977e-10	1.0989e-11	4.28604e-08	0	0	4.61814e-08	0	-3.11321e-28	-2.42745e-29	1.11082e-27	0.0005
10	1.98613	0.0189146	7.8366e-06	769.999	0.00081836	6.06598e-06	309.999	2470	0.000136449	0.00077955	0.000779552	9.53884e-12	4650	5.27645e-11	2.42747e-11	6.77888e-12	6.8	1.72686e-13	0	0	20	0	5.37199e-09	7.22924e-10	0	0	259.097	0.0137207	0	3.05314e-10	0.000812293	1.07146e-09	1.85352e-11	4.64102e-08	0	0	5.36212e-08	0	-6.66842e-29	-3.48834e-29	2.12254e-27	0.0005
11	1.98513	0.017906	7.89011e-06	769.999	0.000993198	7.25166e-06	309.999	2470	0.000150664	0.000945998	0.000946	1.39841e-11	4650	8.48033e-11	3.73258e-11	1.07607e-11	6.8	2.69461e-13	0	0	20	0	5.41166e-09	7.32491e-10	0	0	259.007	0.014715	0	4.90559e-10	0.000985945	1.61566e-09	2.9792e-11	4.99011e-08	0	0	6.11998e-08	0	1.5303e-28	-3.24054e-29	2.229e-27	0.0005
12	1.98417	0.0169516	7.9409e-06	769.999	0.00118542	8.54574e-06	309.999	2470	0.000164959	0.00112898	0.00112898	1.98517e-11	4650	1.30957e-10	5.52663e-11	1.63729e-11	6.8	4.0566e-13	0	0	20	0	5.4494e-09	7.41873e-10	0	0	258.918	0.015655	0	7.57324e-10	0.00117687	2.3494e-09	4.60074e-11	5.33542e-08	0	0	6.88921e-08	0	3.55166e-28	-1.84819e-29	1.91755e-27	0.0005
13	1.98327	0.0160485	7.9891e-06	769.999	0.00139512	9.9489e-06	309.999	2470	0.000179328	0.00132858	0.00132858	2.74258e-11	4650	1.95521e-10	7.92688e-11	2.40443e-11	6.8	5.92386e-13	0	0	20	0	5.48531e-09	7.51074e-10	0	0	258.828	0.0165436	0	1.13037e-09	0.00138516	3.31383e-09	6.8689e-11	5.67841e-08	0	0	7.66795e-08	0	4.25321e-28	3.55905e-30	1.98839e-27	0.0005
14	1.98241	0.0151939	8.03483e-06	769.998	0.00162238	1.14618e-05	309.998	2470	0.000193768	0.00154488	0.00154489	3.70187e-11	4650	2.83605e-10	1.10652e-10	3.42623e-11	6.8	8.42705e-13	0	0	20	0	5.51948e-09	7.60094e-10	0	0	258.738	0.0173837	0	1.63913e-09	0.00161091	4.55453e-09	9.96305e-11	6.02006e-08	0	0	8.45486e-08	0	5.1985e-28	2.61607e-29	2.72916e-27	0.0005
15	1.98161	0.0143852	8.07819e-06	769.998	0.00186729	1.30849e-05	309.998	2470	0.000208272	0.00177797	0.00177797	4.89709e-11	4650	4.0122e-10	1.50884e-10	4.75755e-11	6.8	1.17182e-12	0	0	20	0	5.552e-09	7.68937e-10	0	0	258.649	0.0181779	0	2.31823e-09	0.0018542	6.12155e-09	1.40941e-10	6.36107e-08	0	0	9.24889e-08	0	6.05849e-28	5.64467e-29	2.40088e-27	0.0005
16	1.98084	0.0136198	8.11932e-06	769.998	0.00212993	1.48189e-05	309.998	2470	0.000222839	0.00202791	0.00202792	6.3653e-11	4650	5.55359e-10	2.01588e-10	6.45947e-11	6.8	1.59728e-12	0	0	20	0	5.58294e-09	7.77607e-10	0	0	258.559	0.0189287	0	3.2079e-09	0.0021151	8.06947e-09	1.95072e-10	6.70191e-08	0	0	1.00492e-07	0	6.27406e-28	9.00815e-29	1.97416e-27	0.0005
17	1.98012	0.0128954	8.15831e-06	769.998	0.00241037	1.66642e-05	309.998	2470	0.000237462	0.00229478	0.00229479	8.14622e-11	4650	7.54068e-10	2.6454e-10	8.5994e-11	6.8	2.13908e-12	0	0	20	0	5.61239e-09	7.86112e-10	0	0	258.47	0.0196384	0	4.35443e-09	0.00239369	1.04575e-08	2.64846e-10	7.04292e-08	0	0	1.08552e-07	0	5.51941e-28	1.24216e-28	2.14464e-28	0.0005
18	1.97943	0.0122098	8.19527e-06	769.997	0.00270867	1.86214e-05	309.997	2470	0.000252138	0.00257863	0.00257865	1.02829e-10	4650	1.00652e-09	3.41675e-10	1.12512e-10	6.8	2.81993e-12	0	0	20	0	5.64041e-09	7.94459e-10	0	0	258.38	0.0203093	0	5.81058e-09	0.00269003	1.33493e-08	3.53479e-10	7.38428e-08	0	0	1.16664e-07	0	-4.47632e-29	1.58453e-28	-1.07425e-26	0.0005
19	1.97878	0.0115608	8.23029e-06	769.997	0.0030249	2.0691e-05	309.997	2470	0.000266865	0.00287954	0.00287956	1.28209e-10	4650	1.32313e-09	4.35087e-10	1.44953e-10	6.8	3.66534e-12	0	0	20	0	5.66708e-09	8.02654e-10	0	0	258.291	0.0209435	0	7.63608e-09	0.00300418	1.68134e-08	4.64613e-10	7.72614e-08	0	0	1.24824e-07	0	-8.72336e-28	1.47115e-28	-1.06505e-26	0.0005
20	1.97817	0.0109465	8.26348e-06	769.997	0.00335912	2.28733e-05	309.997	2470	0.000281637	0.00319754	0.00319758	1.58093e-10	4650	1.71557e-09	5.47033e-10	1.84186e-10	6.8	4.70392e-12	0	0	20	0	5.69246e-09	8.10704e-10	0	0	258.202	0.021543	0	9.89811e-09	0.00333622	2.0923e-08	6.02346e-10	8.06856e-08	0	0	1.33027e-07	0	-9.93551e-28	9.33904e-29	4.09191e-27	0.0005
21	1.97759	0.0103651	8.29491e-06	769.996	0.00371138	2.51689e-05	309.996	2470	0.000296452	0.00353271	0.00353275	1.92998e-10	4650	2.19694e-09	6.79934e-10	2.31151e-10	6.8	5.96743e-12	0	0	20	0	5.71662e-09	8.18614e-10	0	0	258.112	0.0221096	0	1.26717e-08	0.00368617	2.57558e-08	7.71259e-10	8.41161e-08	0	0	1.41271e-07	0	-1.60025e-28	5.61312e-29	1.58161e-26	0.0005
22	1.97704	0.00981465	8.32468e-06	769.996	0.00408174	2.75781e-05	309.996	2470	0.000311306	0.00388507	0.00388512	2.33472e-10	4650	2.78178e-09	8.36374e-10	2.86852e-10	6.8	7.49109e-12	0	0	20	0	5.73962e-09	8.26392e-10	0	0	258.023	0.0226451	0	1.60404e-08	0.00405411	3.13946e-08	9.7644e-10	8.75529e-08	0	0	1.49553e-07	0	1.3075e-27	1.06863e-28	1.48154e-26	0.0005
23	1.97651	0.0092936	8.35288e-06	769.996	0.00447023	3.01013e-05	309.996	2470	0.000326198	0.00425468	0.00425474	2.80096e-10	4650	3.48617e-09	1.0191e-09	3.52363e-10	6.8	9.31365e-12	0	0	20	0	5.76151e-09	8.34044e-10	0	0	257.934	0.0231512	0	2.00962e-08	0.00444007	3.79266e-08	1.22352e-09	9.09961e-08	0	0	1.57871e-07	0	3.16977e-27	2.53235e-28	3.27764e-26	0.0005
24	1.97602	0.00880035	8.37956e-06	769.995	0.00487691	3.27388e-05	309.995	2470	0.000341123	0.00464158	0.00464165	3.3348e-10	4650	4.32786e-09	1.23105e-09	4.28829e-10	6.8	1.14777e-11	0	0	20	0	5.78235e-09	8.41576e-10	0	0	257.845	0.0236295	0	2.4941e-08	0.00484409	4.54441e-08	1.5187e-09	9.44455e-08	0	0	1.66223e-07	0	5.82604e-27	5.02436e-28	4.37567e-26	0.0005
25	1.97555	0.0083334	8.40483e-06	769.995	0.0053018	3.5491e-05	309.995	2470	0.000356079	0.0050458	0.00504589	3.94264e-10	4650	5.3263e-09	1.47529e-09	5.17462e-10	6.8	1.40298e-11	0	0	20	0	5.8022e-09	8.48993e-10	0	0	257.756	0.0240814	0	3.0686e-08	0.00526622	5.40442e-08	1.86878e-09	9.79012e-08	0	0	1.74606e-07	0	7.99579e-27	8.56673e-28	3.76648e-26	0.0005
26	1.97511	0.00789132	8.42873e-06	769.994	0.00574496	3.83583e-05	309.995	2470	0.000371063	0.00546738	0.00546749	4.63121e-10	4650	6.50277e-09	1.75509e-09	6.19545e-10	6.8	1.70207e-11	0	0	20	0	5.82109e-09	8.56302e-10	0	0	257.666	0.0245085	0	3.74531e-08	0.0057065	6.38286e-08	2.28121e-09	1.01363e-07	0	0	1.8302e-07	0	8.48297e-27	1.27839e-27	1.3386e-26	0.0005
27	1.97469	0.00747279	8.45135e-06	769.994	0.00620641	4.13408e-05	309.994	2470	0.000386074	0.00590635	0.00590648	5.40754e-10	4650	7.88043e-09	2.07389e-09	7.36434e-10	6.8	2.05055e-11	0	0	20	0	5.83909e-09	8.63507e-10	0	0	257.577	0.024912	0	4.53747e-08	0.00616494	7.49041e-08	2.76406e-09	1.0483e-07	0	0	1.91461e-07	0	6.94505e-27	1.67989e-27	9.33274e-28	0.0005
28	1.9743	0.00707654	8.47275e-06	769.993	0.00668617	4.4439e-05	309.994	2470	0.000401108	0.00636274	0.00636289	6.27899e-10	4650	9.4844e-09	2.43528e-09	8.69553e-10	6.8	2.45438e-11	0	0	20	0	5.85622e-09	8.70613e-10	0	0	257.488	0.0252932	0	5.45943e-08	0.00664159	8.73822e-08	3.32612e-09	1.08303e-07	0	0	1.99929e-07	0	4.74456e-27	1.9842e-27	-5.54175e-27	0.0005
29	1.97392	0.00670138	8.49298e-06	769.993	0.00718429	4.76531e-05	309.993	2470	0.000416163	0.00683657	0.00683674	7.2532e-10	4650	1.13419e-08	2.84303e-09	1.0204e-09	6.8	2.91999e-11	0	0	20	0	5.87255e-09	8.77626e-10	0	0	257.399	0.0256532	0	6.52674e-08	0.00713647	1.01379e-07	3.97687e-09	1.11781e-07	0	0	2.08422e-07	0	2.87016e-27	2.17891e-27	-1.84388e-28	0.0005
30	1.97357	0.00634618	8.51211e-06	769.992	0.00770079	5.09833e-05	309.993	2470	0.000431238	0.00732787	0.00732807	8.33817e-10	4650	1.34822e-08	3.30111e-09	1.19054e-09	6.8	3.4543e-11	0	0	20	0	5.88811e-09	8.8455e-10	0	0	257.311	0.0259933	0	7.75614e-08	0.0076496	1.17017e-07	4.72655e-09	1.15263e-07	0	0	2.16939e-07	0	2.17368e-27	2.27145e-27	1.43592e-26	0.0005
31	1.97323	0.00600987	8.5302e-06	769.992	0.00823568	5.44298e-05	309.992	2470	0.000446331	0.00783666	0.00783689	9.54217e-10	4650	1.59369e-08	3.81363e-09	1.38162e-09	6.8	4.06475e-11	0	0	20	0	5.90293e-09	8.9139e-10	0	0	257.222	0.0263145	0	9.16565e-08	0.00818102	1.34421e-07	5.58617e-09	1.18751e-07	0	0	2.25479e-07	0	3.02783e-27	2.3631e-27	2.38737e-26	0.0005
32	1.97291	0.00569143	8.54729e-06	769.991	0.00878899	5.7993e-05	309.992	2470	0.000461439	0.00836296	0.00836322	1.08738e-09	4650	1.87399e-08	4.38489e-09	1.59534e-09	6.8	4.75932e-11	0	0	20	0	5.91706e-09	8.98149e-10	0	0	257.133	0.0266178	0	1.07746e-07	0.00873072	1.53723e-07	6.56755e-09	1.22242e-07	0	0	2.3404e-07	0	5.09306e-27	2.48927e-27	3.15968e-26	0.0005
33	1.97261	0.00538992	8.56344e-06	769.991	0.00936073	6.1673e-05	309.991	2470	0.000476561	0.00890677	0.00890708	1.23421e-09	4650	2.19275e-08	5.01936e-09	1.83351e-09	6.8	5.54653e-11	0	0	20	0	5.93053e-09	9.04832e-10	0	0	257.044	0.0269042	0	1.26037e-07	0.00929875	1.75059e-07	7.68334e-09	1.25738e-07	0	0	2.42621e-07	0	7.08318e-27	2.75472e-27	3.16242e-26	0.0005
