Time	[V]	[h1]	[x1]	[n1]	[c]
0	-55	0.9	0.27	0.03	0.4
1	-54.9918	0.900075	0.270216	0.0300151	0.400014
2	-54.9835	0.900148	0.270433	0.0300303	0.400029
3	-54.9753	0.900218	0.27065	0.0300457	0.400043
4	-54.967	0.900286	0.270867	0.0300613	0.400058
5	-54.9587	0.900351	0.271084	0.0300771	0.400073
6	-54.9503	0.900415	0.271302	0.030093	0.400087
7	-54.942	0.900476	0.271519	0.0301092	0.400102
8	-54.9336	0.900535	0.271737	0.0301255	0.400117
9	-54.9252	0.900592	0.271956	0.030142	0.400132
10	-54.9168	0.900646	0.272174	0.0301586	0.400147
11	-54.9083	0.900699	0.272393	0.0301754	0.400163
12	-54.8999	0.900749	0.272612	0.0301924	0.400178
13	-54.8914	0.900797	0.272831	0.0302096	0.400194
14	-54.8829	0.900843	0.273051	0.0302269	0.400209
15	-54.8744	0.900887	0.27327	0.0302445	0.400225
16	-54.8658	0.900929	0.27349	0.0302621	0.400241
17	-54.8573	0.900969	0.273711	0.03028	0.400257
18	-54.8487	0.901006	0.273931	0.030298	0.400273
19	-54.8401	0.901042	0.274152	0.0303161	0.400289
20	-54.8315	0.901076	0.274373	0.0303345	0.400305
21	-54.8228	0.901108	0.274594	0.0303529	0.400321
22	-54.8142	0.901137	0.274816	0.0303716	0.400337
23	-54.8055	0.901165	0.275038	0.0303904	0.400354
24	-54.7968	0.901191	0.27526	0.0304093	0.40037
25	-54.7881	0.901216	0.275482	0.0304284	0.400387
26	-54.7794	0.901238	0.275705	0.0304477	0.400404
27	-54.7706	0.901259	0.275928	0.0304671	0.400421
28	-54.7619	0.901277	0.276151	0.0304867	0.400438
29	-54.7531	0.901294	0.276375	0.0305064	0.400455
30	-54.7443	0.901309	0.276599	0.0305263	0.400472
31	-54.7355	0.901323	0.276823	0.0305463	0.400489
32	-54.7266	0.901334	0.277047	0.0305664	0.400507
33	-54.7178	0.901344	0.277272	0.0305867	0.400524
34	-54.7089	0.901352	0.277497	0.0306072	0.400542
35	-54.7001	0.901358	0.277722	0.0306278	0.400559
36	-54.6912	0.901363	0.277948	0.0306485	0.400577
37	-54.6823	0.901366	0.278174	0.0306694	0.400595
38	-54.6733	0.901367	0.2784	0.0306904	0.400613
39	-54.6644	0.901367	0.278626	0.0307116	0.400631
40	-54.6554	0.901365	0.278853	0.0307329	0.400649
41	-54.6465	0.901361	0.27908	0.0307543	0.400667
42	-54.6375	0.901356	0.279308	0.0307759	0.400686
43	-54.6285	0.901349	0.279535	0.0307976	0.400704
44	-54.6194	0.901341	0.279763	0.0308195	0.400723
45	-54.6104	0.901331	0.279992	0.0308415	0.400741
46	-54.6014	0.901319	0.28022	0.0308636	0.40076
47	-54.5923	0.901306	0.280449	0.0308858	0.400779
48	-54.5832	0.901292	0.280679	0.0309082	0.400798
49	-54.5741	0.901276	0.280908	0.0309307	0.400817
50	-54.565	0.901258	0.281138	0.0309534	0.400836
51	-54.5559	0.901239	0.281368	0.0309762	0.400856
52	-54.5467	0.901218	0.281599	0.0309991	0.400875
53	-54.5376	0.901196	0.28183	0.0310221	0.400895
54	-54.5284	0.901173	0.282061	0.0310452	0.400914
55	-54.5192	0.901148	0.282292	0.0310685	0.400934
56	-54.5101	0.901122	0.282524	0.0310919	0.400954
57	-54.5008	0.901094	0.282756	0.0311155	0.400974
58	-54.4916	0.901065	0.282989	0.0311391	0.400994
59	-54.4824	0.901035	0.283222	0.0311629	0.401014
