Time	[Rec]	[Rec_i]	[IL13_Rec]	[p_IL13_Rec]	[p_IL13_Rec_i]	[JAK2]	[pJAK2]	[SHP1]	[STAT5]	[pSTAT5]	[CD274mRNA]	[IL13]
0	1.8	118.598	0	0	0	24	0	9.4	209	0	0	3.776
1	1.78784	118.598	0.0109262	0.000808424	5.21683e-05	23.9681	0.0318683	9.4	208.99	0.009893	3.01019e-05	3.776
2	1.77852	118.596	0.0146438	0.00765207	0.00104569	23.9029	0.097088	9.4	208.937	0.0627738	0.000400264	3.776
3	1.77136	118.591	0.0109268	0.0187477	0.00429758	23.8359	0.164104	9.4	208.832	0.167754	0.0016897	3.776
4	1.76586	118.585	0.00723436	0.0265892	0.00901409	23.7843	0.215736	9.4	208.688	0.312355	0.00444358	3.776
5	1.76162	118.578	0.00555691	0.0305271	0.0136026	23.7502	0.249764	9.4	208.522	0.477619	0.00901105	3.776
6	1.75835	118.57	0.00487991	0.0325217	0.017358	23.7291	0.270859	9.4	208.352	0.648342	0.0155378	3.776
7	1.75581	118.561	0.00456704	0.033645	0.0202227	23.7162	0.283786	9.4	208.185	0.815173	0.0240277	3.776
8	1.75383	118.551	0.00440075	0.0343224	0.0223382	23.7082	0.291759	9.4	208.027	0.973112	0.0344033	3.776
9	1.75228	118.541	0.00430472	0.0347434	0.023872	23.7033	0.296725	9.4	207.88	1.11982	0.0465462	3.776
10	1.75106	118.531	0.00424661	0.0350084	0.02497	23.7002	0.299843	9.4	207.746	1.25447	0.0603203	3.776
11	1.75009	118.52	0.00421048	0.0351753	0.0257486	23.6982	0.301808	9.4	207.623	1.3771	0.0755854	3.776
12	1.74931	118.51	0.00418765	0.03528	0.0262962	23.697	0.303046	9.4	207.512	1.4882	0.0922047	3.776
13	1.74867	118.499	0.0041731	0.0353448	0.0266786	23.6962	0.303821	9.4	207.412	1.58848	0.110048	3.776
14	1.74815	118.488	0.00416378	0.035384	0.0269438	23.6957	0.304299	9.4	207.321	1.67877	0.128996	3.776
15	1.74771	118.477	0.00415782	0.0354068	0.0271264	23.6954	0.304589	9.4	207.24	1.75991	0.148936	3.776
16	1.74733	118.466	0.00415401	0.0354192	0.0272511	23.6952	0.304757	9.4	207.167	1.83273	0.169768	3.776
17	1.747	118.454	0.00415159	0.0354251	0.0273355	23.6952	0.304848	9.4	207.102	1.89802	0.1914	3.776
18	1.74672	118.443	0.00415007	0.0354268	0.0273921	23.6951	0.30489	9.4	207.043	1.95653	0.213749	3.776
19	1.74646	118.432	0.00414913	0.0354261	0.0274294	23.6951	0.304902	9.4	206.991	2.00893	0.23674	3.776
20	1.74622	118.421	0.00414854	0.0354238	0.0274535	23.6951	0.304896	9.4	206.944	2.05583	0.260306	3.776
21	1.746	118.41	0.00414819	0.0354208	0.0274687	23.6951	0.304879	9.4	206.902	2.09782	0.284387	3.776
22	1.74579	118.398	0.00414797	0.0354172	0.0274779	23.6951	0.304855	9.4	206.865	2.13538	0.308928	3.776
23	1.74559	118.387	0.00414785	0.0354134	0.0274829	23.6952	0.304828	9.4	206.831	2.16899	0.333881	3.776
24	1.7454	118.376	0.00414778	0.0354096	0.0274852	23.6952	0.304799	9.4	206.801	2.19905	0.359204	3.776
25	1.74522	118.364	0.00414773	0.0354057	0.0274857	23.6952	0.30477	9.4	206.774	2.22593	0.384855	3.776
26	1.74503	118.353	0.0041477	0.0354018	0.027485	23.6953	0.30474	9.4	206.75	2.24997	0.410802	3.776
27	1.74486	118.342	0.00414767	0.0353981	0.0274835	23.6953	0.304711	9.4	206.729	2.27147	0.437013	3.776
