Time	[Myc]	[E2F]	[CycD]	[CycE]	[Rb]	[Rb-E2F complex]	[phosphorylated Rb]
0	0	0	0	0	0	0.55	0
1	0.701623	0.0686092	0.23859	0.0482884	0.157596	0.524899	0.025184
2	1.05004	0.0992172	0.29399	0.0760582	0.147887	0.579833	0.129564
3	1.22306	0.178875	0.30674	0.105125	0.0937073	0.617053	0.2888
4	1.30898	0.317835	0.309728	0.13797	0.056904	0.621282	0.455984
5	1.35164	0.480293	0.310457	0.163958	0.0391383	0.603928	0.617613
6	1.15065	0.494522	0.238475	0.175701	0.0384422	0.722712	0.619951
7	1.05084	0.534182	0.222231	0.179545	0.035941	0.806935	0.654954
8	1.00127	0.614395	0.218501	0.184158	0.0315917	0.837816	0.739945
9	0.97666	0.704722	0.217611	0.189194	0.0277871	0.842782	0.844274
10	0.964437	0.787599	0.217383	0.193492	0.0250231	0.838935	0.950219
11	0.958368	0.856995	0.217317	0.196739	0.023102	0.833836	1.05065
12	0.955354	0.912959	0.217295	0.199086	0.0217575	0.829717	1.14394
13	0.953857	0.95753	0.217286	0.200776	0.0207955	0.826799	1.23044
14	0.953114	0.992937	0.217282	0.202008	0.0200911	0.824809	1.31087
15	0.952745	1.02108	0.21728	0.202921	0.0195652	0.823456	1.38591
16	0.952562	1.04349	0.217279	0.203609	0.0191667	0.822532	1.4561
17	0.952471	1.06134	0.217279	0.204134	0.0188611	0.821898	1.52187
18	0.952426	1.07557	0.217279	0.204538	0.0186249	0.821465	1.58358
19	0.952403	1.08693	0.217279	0.204853	0.018441	0.821172	1.64154
20	0.952392	1.096	0.217279	0.205099	0.0182972	0.820981	1.69599
21	0.952386	1.10324	0.217279	0.205292	0.0181843	0.820863	1.74719
22	0.952384	1.10902	0.217279	0.205444	0.0180954	0.820798	1.79534
23	0.952382	1.11364	0.217279	0.205564	0.0180253	0.820771	1.84064
24	0.952382	1.11733	0.217279	0.20566	0.0179699	0.820773	1.88326
25	0.952381	1.12028	0.217279	0.205736	0.0179261	0.820794	1.92337
26	0.952381	1.12264	0.217279	0.205796	0.0178914	0.820829	1.96113
27	0.952381	1.12453	0.217279	0.205844	0.0178639	0.820874	1.99666
28	0.952381	1.12604	0.217279	0.205882	0.0178422	0.820926	2.03012
29	0.952381	1.12725	0.217279	0.205913	0.017825	0.820981	2.06162
30	0.952381	1.12822	0.217279	0.205937	0.0178113	0.821039	2.09129
31	0.952381	1.129	0.217279	0.205957	0.0178005	0.821097	2.11921
32	0.952381	1.12962	0.217279	0.205972	0.017792	0.821155	2.14551
33	0.952381	1.13013	0.217279	0.205985	0.0177853	0.821211	2.17028
34	0.952381	1.13053	0.217279	0.205995	0.01778	0.821266	2.1936
35	0.952381	1.13085	0.217279	0.206003	0.0177759	0.821319	2.21557
36	0.952381	1.13111	0.217279	0.206009	0.0177726	0.82137	2.23625
37	0.952381	1.13132	0.217279	0.206015	0.0177701	0.821419	2.25573
38	0.952381	1.13149	0.217279	0.206019	0.0177681	0.821465	2.27408
39	0.952381	1.13163	0.217279	0.206022	0.0177666	0.821509	2.29136
40	0.952381	1.13174	0.217279	0.206025	0.0177654	0.82155	2.30763
41	0.952381	1.13183	0.217279	0.206027	0.0177645	0.821589	2.32296
42	0.952381	1.13191	0.217279	0.206029	0.0177639	0.821626	2.33739
43	0.952381	1.13197	0.217279	0.206031	0.0177634	0.821661	2.35099
44	0.952381	1.13202	0.217279	0.206032	0.017763	0.821693	2.36379
45	0.952381	1.13206	0.217279	0.206033	0.0177627	0.821724	2.37585
46	0.952381	1.13209	0.217279	0.206034	0.0177626	0.821753	2.38721
47	0.952381	1.13212	0.217279	0.206034	0.0177625	0.82178	2.39791
48	0.952381	1.13214	0.217279	0.206035	0.0177624	0.821805	2.40798
49	0.952381	1.13216	0.217279	0.206035	0.0177624	0.821829	2.41747
50	0.952381	1.13218	0.217279	0.206036	0.0177624	0.821851	2.42641
51	0.952381	1.13219	0.217279	0.206036	0.0177624	0.821872	2.43483
52	0.952381	1.1322	0.217279	0.206036	0.0177625	0.821892	2.44276
53	0.952381	1.13221	0.217279	0.206037	0.0177625	0.82191	2.45022
54	0.952381	1.13222	0.217279	0.206037	0.0177626	0.821927	2.45726
55	0.952381	1.13223	0.217279	0.206037	0.0177627	0.821944	2.46388
56	0.952381	1.13223	0.217279	0.206037	0.0177628	0.821959	2.47012
57	0.952381	1.13224	0.217279	0.206037	0.0177628	0.821973	2.476
58	0.952381	1.13224	0.217279	0.206037	0.0177629	0.821987	2.48153
59	0.952381	1.13225	0.217279	0.206037	0.017763	0.821999	2.48674
60	0.952381	1.13225	0.217279	0.206038	0.0177631	0.822011	2.49165
61	0.952381	1.13226	0.217279	0.206038	0.0177631	0.822022	2.49628
62	0.952381	1.13226	0.217279	0.206038	0.0177632	0.822033	2.50063
63	0.952381	1.13226	0.217279	0.206038	0.0177633	0.822042	2.50473
64	0.952381	1.13226	0.217279	0.206038	0.0177634	0.822052	2.50859
65	0.952381	1.13227	0.217279	0.206038	0.0177634	0.82206	2.51223
66	0.952381	1.13227	0.217279	0.206038	0.0177635	0.822068	2.51566
67	0.952381	1.13227	0.217279	0.206038	0.0177635	0.822076	2.51889
68	0.952381	1.13227	0.217279	0.206038	0.0177636	0.822083	2.52193
69	0.952381	1.13227	0.217279	0.206038	0.0177636	0.82209	2.52479
70	0.952381	1.13228	0.217279	0.206038	0.0177637	0.822096	2.52748
71	0.952381	1.13228	0.217279	0.206038	0.0177637	0.822102	2.53002
72	0.952381	1.13228	0.217279	0.206038	0.0177638	0.822108	2.53242
73	0.952381	1.13228	0.217279	0.206038	0.0177638	0.822113	2.53467
74	0.952381	1.13228	0.217279	0.206038	0.0177639	0.822118	2.53679
75	0.952381	1.13228	0.217279	0.206038	0.0177639	0.822122	2.53879
76	0.952381	1.13228	0.217279	0.206038	0.0177639	0.822127	2.54067
77	0.952381	1.13228	0.217279	0.206038	0.017764	0.822131	2.54244
78	0.952381	1.13228	0.217279	0.206038	0.017764	0.822135	2.54411
79	0.952381	1.13228	0.217279	0.206038	0.017764	0.822138	2.54568
80	0.952381	1.13229	0.217279	0.206038	0.0177641	0.822142	2.54716
81	0.952381	1.13229	0.217279	0.206038	0.0177641	0.822145	2.54856
82	0.952381	1.13229	0.217279	0.206038	0.0177641	0.822148	2.54987
83	0.952381	1.13229	0.217279	0.206038	0.0177641	0.822151	2.55111
84	0.952381	1.13229	0.217279	0.206038	0.0177642	0.822154	2.55227
85	0.952381	1.13229	0.217279	0.206038	0.0177642	0.822156	2.55337
