Time	[α-factor]	[Ste2]	[Ste2active]	[Gαβγ]	[GαGTP]	[Gβγ]	[GαGDP]	[complexC]	[complexD]	[Ste5]	[Ste11]	[complexA]	[Ste7]	[Fus3]	[complexB]	[Ste20]	[complexE]	[complexF]	[complexG]	[complexH]	[complexI]	[complexL]	[Fus3PP]	[complexK]	[Ste12]	[Ste12active]	[Bar1]	[Bar1active]	[Bar1activeEx]	[Far1]	[Far1PP]	[Far1ubiquitin]	[complexM]	[complexN]	[Cdc28]	[Sst2]	[p]
0	100	1666.67	0	1666.67	0	0	0	235.725	0	158.332	158.332	105.943	36.3997	686.4	77.8754	1000	0	0	0	0	0	0	0	0	200	0	200	0	0	500	0	0	0	0	300	0	0
1	98.7246	1485.58	125.812	1469.66	196.996	21.1418	0.0153427	103.223	0.0570746	104.199	104.199	118.444	43.142	244.515	29.5007	825.923	17.5861	3.55314	0.480558	3.15215	92.513	5.30345	254.367	51.4885	0.43595	199.564	0.991657	197.716	1.29267	0.00320704	0.00974572	481.148	1.7356	17.103	282.897	92.5296	0
2	92.2032	1376.85	164.362	1500.9	165.23	0.853307	0.535835	108.377	0.00235821	105.978	105.978	122.455	48.8522	224.392	29.581	836.812	0.631259	0.122731	0.016509	0.10508	100.088	6.25655	281.112	55.9671	0.394465	199.606	0.981203	195.759	3.26003	0.000303744	0.00657985	481.151	1.7224	17.1197	282.88	160.44	0
3	81.201	1304.76	164.382	1521.63	144.541	0.926583	0.495808	124.325	0.00286758	113.208	113.208	120.063	48.6846	258.102	34.5862	857.599	0.789242	0.152934	0.0205596	0.129822	87.5744	4.7604	245.794	48.974	0.451018	199.549	0.971764	193.82	5.20791	0.000311263	0.00657609	481.153	1.70591	17.1345	282.866	185.416	0
4	67.472	1253.79	147.085	1539.77	125.387	0.2758	1.51012	137.643	0.000931254	118.892	118.892	118.533	48.6706	285.626	38.7548	875.069	0.281546	0.0557704	0.00752173	0.0485081	77.4255	3.80383	217.358	43.3082	0.509868	199.49	0.962422	191.901	7.1365	0.000320688	0.006589	481.155	1.68932	17.1493	282.851	194.596	0
5	52.9278	1216.1	122.704	1556.11	104.639	0.0593413	5.91737	149.97	0.00021405	123.935	123.935	117.27	48.5428	311.908	42.6628	891.176	0.0646469	0.01274	0.00171698	0.0110244	67.7711	3.04938	190.267	37.9135	0.582252	199.418	0.953235	190.001	9.04599	0.000332885	0.00659155	481.156	1.6726	17.1641	282.836	197.962	0
6	39.2183	1186.85	96.7977	1569.68	83.3596	0.0205294	13.6228	160.34	7.78333e-05	128.031	128.031	116.324	48.38	334.532	45.9744	904.694	0.0232323	0.00454206	0.000611422	0.00389598	59.4927	2.4961	167.007	33.2848	0.663075	199.337	0.944176	188.119	10.9366	0.00034767	0.00658914	481.158	1.65598	17.1788	282.821	199.185	0
7	27.4652	1162.6	72.5944	1581	63.2943	0.00946517	22.3738	169.001	3.73229e-05	131.356	131.356	115.623	48.2342	353.629	48.7453	915.981	0.0111348	0.00216847	0.000291738	0.00185202	52.5286	2.08505	147.441	29.39	0.750733	199.249	0.935236	186.256	12.8084	0.000365119	0.00658546	481.16	1.63951	17.1932	282.807	199.616	0
8	18.1891	1140.83	51.8701	1590.56	45.8033	0.00504614	30.3032	176.325	2.05367e-05	134.105	134.105	115.092	48.1087	369.887	51.0879	925.522	0.00615086	0.00119552	0.000160794	0.00101884	46.6171	1.76916	130.837	26.0835	0.845604	199.154	0.926414	184.412	14.6618	0.000385422	0.006581	481.162	1.6232	17.2074	282.793	199.752	0
9	11.3976	1119.84	35.3509	1598.74	31.6039	0.0029052	36.3223	182.592	1.21339e-05	136.414	136.414	114.678	48.0006	383.875	53.091	933.684	0.00365412	0.000709519	9.54142e-05	0.000603992	41.5454	1.51931	116.594	23.2465	0.948407	199.052	0.917712	182.586	16.4967	0.000408755	0.00657583	481.165	1.60705	17.2213	282.779	199.773	0
10	6.76119	1098.64	23.0027	1605.81	20.8081	0.00174239	40.0489	188.009	7.4362e-06	138.379	138.379	114.348	47.9067	396.02	54.8206	940.736	0.00225265	0.000437179	5.87864e-05	0.000371952	37.1541	1.31709	104.264	20.7898	1.05997	198.94	0.909131	180.777	18.3135	0.00043523	0.00656994	481.167	1.59106	17.2349	282.765	199.747	0
11	3.7991	1076.82	14.3076	1611.97	13.0879	0.00106688	41.6103	192.728	4.63705e-06	140.069	140.069	114.081	47.8242	406.648	56.3259	946.878	0.00141289	0.000274145	3.68624e-05	0.000233187	33.323	1.15044	93.508	18.6465	1.18116	198.819	0.900674	178.987	20.1123	0.000464862	0.00656335	481.17	1.57523	17.2481	282.752	199.696	0
12	2.02311	1054.34	8.51994	1617.37	7.87628	0.000659963	41.4206	196.867	2.91344e-06	141.535	141.535	113.861	47.751	416.008	57.645	952.263	0.000892497	0.000173157	2.32829e-05	0.000147272	29.9596	1.01108	84.0667	16.7647	1.31293	198.687	0.892343	177.214	21.8933	0.000497545	0.00655608	481.172	1.55956	17.2611	282.739	199.626	0
13	1.02157	1031.4	4.86637	1622.13	4.54377	0.000411289	39.9902	200.518	1.84011e-06	142.815	142.815	113.678	47.6852	424.299	58.8074	957.011	0.0005663	0.000109858	1.47715e-05	9.34253e-05	26.9915	0.893135	75.7359	15.1041	1.45629	198.544	0.884141	175.459	23.6567	0.000533034	0.00654817	481.175	1.54404	17.2736	282.726	199.539	0
14	0.489391	1008.23	2.67204	1626.35	2.51842	0.000259532	37.7962	203.752	1.17464e-06	143.94	143.94	113.522	47.6253	431.677	59.8366	961.214	0.000362745	7.03504e-05	9.45887e-06	5.9809e-05	24.3608	0.792322	68.3526	13.6321	1.61232	198.388	0.87607	173.721	25.4026	0.000570939	0.00653971	481.178	1.52868	17.2859	282.714	199.434	0
15	0.22254	985.096	1.41401	1630.1	1.34452	0.000168074	35.218	206.629	7.68347e-07	144.933	144.933	113.389	47.5702	438.273	60.7517	964.951	0.000237708	4.60725e-05	6.19406e-06	3.9143e-05	22.0205	0.705437	61.7848	12.3226	1.78217	198.218	0.868133	172.001	27.1312	0.000610735	0.00653079	481.182	1.51347	17.2977	282.702	199.306	0
16	0.0961065	962.173	0.723187	1633.45	0.693356	0.000114026	32.5212	209.197	5.25798e-07	145.814	145.814	113.273	47.519	444.192	61.5683	968.284	0.000162659	3.14934e-05	4.23337e-06	2.67261e-05	19.9319	0.630027	55.9238	11.1539	1.9671	198.033	0.860333	170.297	28.8426	0.000651784	0.00652156	481.185	1.49841	17.3092	282.691	199.151	0
17	0.0394375	939.592	0.358568	1636.45	0.346446	8.28065e-05	29.8724	211.495	3.84717e-07	146.598	146.598	113.172	47.4707	449.524	62.2994	971.265	0.000118817	2.29719e-05	3.08724e-06	1.94641e-05	18.0628	0.564184	50.6793	10.1081	2.16844	197.832	0.852675	168.61	30.5372	0.000693374	0.00651214	481.189	1.4835	17.3202	282.68	198.965	0
