Time	[A_dopa]	[A_B]	[A_M]	[C_dopa]	[C_3-OMD]	[C1_M]	[C2_M]	[C1_B]	[C2_B]
0	101	18.135	1.365	0	0	0	0	0	0
1	27.8024	7.08404	0.115458	103.556	44.5195	0.0727048	0.0663156	0.0809277	0.0480362
2	7.65318	2.76722	0.00976608	84.0098	102.072	0.0178779	0.0573429	0.0327577	0.0493164
3	2.1067	1.08095	0.000826063	48.7582	135.975	0.0100491	0.0447977	0.0134577	0.0369667
4	0.579912	0.422251	6.98721e-05	24.3554	148.742	0.00721387	0.0345385	0.0056403	0.0246972
5	0.159633	0.164943	5.91018e-06	11.0192	149.168	0.00541651	0.0265515	0.00242537	0.0155905
6	0.0439423	0.0644313	4.99916e-07	4.57744	143.656	0.00411368	0.0203891	0.00107611	0.00953353
7	0.012096	0.0251687	4.22871e-08	1.75202	135.784	0.00313861	0.0156483	0.000494929	0.00571925
8	0.00332969	0.00983158	3.57757e-09	0.618576	127.29	0.00240015	0.0120063	0.000236539	0.00339013
9	0.000916572	0.00384049	3.027e-10	0.201772	118.925	0.00183766	0.0092104	0.000117433	0.0019941
10	0.000252307	0.0015002	2.56106e-11	0.0609967	110.967	0.00140793	0.00706486	6.03775e-05	0.00116705
11	6.94529e-05	0.000586022	2.16684e-12	0.0171755	103.494	0.0010791	0.00541878	3.19895e-05	0.000680756
12	1.91184e-05	0.000228917	1.83331e-13	0.0045348	96.5107	0.00082724	0.00415607	1.73656e-05	0.000396216
13	5.26277e-06	8.94212e-05	1.55111e-14	0.00113143	89.9945	0.000634249	0.00318751	9.605e-06	0.000230267
14	1.44869e-06	3.49304e-05	1.31235e-15	0.000268991	83.9172	0.000486322	0.00244463	5.3868e-06	0.00013369
15	3.98785e-07	1.36448e-05	1.11034e-16	6.14502e-05	78.2501	0.000372915	0.00187486	3.05147e-06	7.75679e-05
16	1.09774e-07	5.33005e-06	9.3943e-18	1.35988e-05	72.9656	0.000285964	0.00143788	1.74083e-06	4.49852e-05
17	3.02178e-08	2.08207e-06	7.94826e-19	2.93755e-06	68.038	0.000219293	0.00110274	9.9802e-07	2.60811e-05
18	8.31811e-09	8.13313e-07	6.72479e-20	6.23861e-07	63.4432	0.000168168	0.000845705	5.7411e-07	1.51181e-05
19	2.28974e-09	3.17703e-07	5.68966e-21	1.31149e-07	59.1587	0.000128964	0.000648582	3.31023e-07	8.76205e-06
20	6.30307e-10	1.24104e-07	4.81694e-22	2.74717e-08	55.1635	9.89007e-05	0.000497404	1.91165e-07	5.07781e-06
21	1.73512e-10	4.84787e-08	4.08653e-23	5.77164e-09	51.4381	7.58458e-05	0.000381464	1.10516e-07	2.94252e-06
22	4.77681e-11	1.89374e-08	3.48677e-24	1.22425e-09	47.9643	5.81656e-05	0.000292548	6.39375e-08	1.70508e-06
23	1.31557e-11	7.39791e-09	3.09673e-25	2.64121e-10	44.7251	4.46069e-05	0.000224357	3.70085e-08	9.88005e-07
24	3.6244e-12	2.89013e-09	2.77283e-26	5.8251e-11	41.7047	3.42089e-05	0.000172061	2.14285e-08	5.72487e-07
25	9.9855e-13	1.12908e-09	2.47207e-27	1.31766e-11	38.8882	2.62348e-05	0.000131954	1.24102e-08	3.31716e-07
26	2.75139e-13	4.41105e-10	1.94024e-28	3.06595e-12	36.262	2.01195e-05	0.000101196	7.1884e-09	1.92204e-07
27	7.59241e-14	1.72356e-10	4.9002e-29	7.36841e-13	33.8131	1.54297e-05	7.7608e-05	4.1642e-09	1.11368e-07
28	2.09709e-14	6.73532e-11	-1.00576e-29	1.82077e-13	31.5296	1.1833e-05	5.9518e-05	2.41247e-09	6.45291e-08
29	5.79358e-15	2.63221e-11	-6.99097e-30	4.6095e-14	29.4003	9.07479e-06	4.56446e-05	1.3977e-09	3.73897e-08
