Time	[x]	[y]	[u]	[v]
0	0.1	0.1	0.1	0.1
1	0.263563	0.128769	0.668907	0.0368171
2	0.408494	0.0817934	0.878197	0.0144294
3	0.495202	0.0470191	0.955191	0.0097076
4	0.543847	0.0352296	0.983516	0.0132031
5	0.572817	0.0394523	0.993936	0.0194595
6	0.591793	0.0512266	0.997769	0.0258713
7	0.605293	0.0650853	0.999179	0.0315754
8	0.615498	0.0784205	0.999698	0.0364399
9	0.623553	0.0903128	0.999889	0.0405614
10	0.630119	0.100627	0.999959	0.044078
11	0.63561	0.109522	0.999985	0.0471139
12	0.640297	0.117231	0.999994	0.0497686
13	0.644367	0.123973	0.999997	0.0521189
14	0.647954	0.129935	0.999998	0.0542238
15	0.651156	0.135266	0.999998	0.056129
16	0.654048	0.140083	0.999998	0.0578701
17	0.656685	0.144478	0.999997	0.0594754
18	0.659113	0.148525	0.999996	0.0609677
19	0.661368	0.152283	0.999996	0.0623655
20	0.663478	0.1558	0.999995	0.0636842
21	0.665467	0.159116	0.999994	0.0649366
22	0.667354	0.162262	0.999994	0.0661336
23	0.669157	0.165268	0.999993	0.0672846
24	0.67089	0.168157	0.999992	0.0683979
25	0.672565	0.17095	0.999991	0.0694807
26	0.674194	0.173666	0.99999	0.0705395
27	0.675787	0.176321	0.999989	0.0715805
28	0.677352	0.178931	0.999987	0.0726093
29	0.678899	0.18151	0.999986	0.0736312
30	0.680435	0.184071	0.999985	0.0746514
31	0.681968	0.186629	0.999983	0.0756752
32	0.683507	0.189195	0.999982	0.0767077
33	0.685059	0.191783	0.99998	0.0777544
34	0.686632	0.194406	0.999978	0.0788209
35	0.688235	0.19708	0.999976	0.0799132
36	0.689877	0.199818	0.999974	0.081038
37	0.691568	0.202639	0.999971	0.0822027
38	0.69332	0.20556	0.999969	0.0834154
39	0.695144	0.208603	0.999966	0.0846856
40	0.697055	0.211791	0.999962	0.0860241
41	0.699069	0.215152	0.999958	0.0874436
42	0.701207	0.218718	0.999954	0.0889594
43	0.70349	0.222528	0.999948	0.0905897
44	0.705947	0.226628	0.999942	0.0923564
45	0.708612	0.231075	0.999935	0.0942872
46	0.711526	0.23594	0.999926	0.0964161
47	0.714743	0.24131	0.999915	0.0987868
48	0.718329	0.247297	0.999902	0.101456
49	0.722372	0.254048	0.999884	0.104496
50	0.726986	0.261756	0.999862	0.108008
51	0.732327	0.270679	0.999831	0.112128
52	0.738608	0.281179	0.999789	0.117048
53	0.746134	0.293765	0.999727	0.123047
54	0.755349	0.309187	0.999632	0.130545
55	0.76693	0.328587	0.999478	0.140202
56	0.781948	0.353784	0.999205	0.1531
57	0.802191	0.387829	0.998663	0.171127
58	0.830795	0.436153	0.997412	0.197777
59	0.873531	0.509028	0.993856	0.239879
60	0.940722	0.626447	0.98043	0.310606
61	1.04367	0.822236	0.914252	0.427558
62	1.15594	1.11532	0.668455	0.576723
63	1.2115	1.43554	0.348518	0.692084
64	1.2195	1.68126	0.159402	0.749681
65	1.2094	1.82414	0.073778	0.768534
66	1.19186	1.88572	0.0379599	0.766606
67	1.16869	1.8936	0.0237681	0.752593
68	1.1385	1.86524	0.0190324	0.728606
69	1.09742	1.8059	0.0190852	0.691912
70	1.03752	1.70805	0.0231564	0.633754
71	0.942741	1.54599	0.0352342	0.534695
72	0.788254	1.27072	0.0811733	0.369752
73	0.603345	0.876881	0.309837	0.186403
74	0.530372	0.509654	0.694747	0.0815049
75	0.542234	0.273187	0.886252	0.0405982
76	0.56649	0.151445	0.958129	0.0286722
77	0.586309	0.0996809	0.984596	0.0280927
78	0.601051	0.0838064	0.994333	0.0313234
79	0.61219	0.0840897	0.997915	0.0354318
80	0.620901	0.0906306	0.999233	0.039409
81	0.627936	0.0989598	0.999718	0.042979
82	0.63377	0.107266	0.999896	0.0461188
83	0.638717	0.114926	0.999961	0.0488788
84	0.642988	0.121806	0.999985	0.051322
85	0.646733	0.127952	0.999994	0.0535052
86	0.650062	0.133462	0.999996	0.0554755
87	0.653056	0.138438	0.999997	0.0572707
88	0.655778	0.142968	0.999997	0.0589212
89	0.658275	0.14713	0.999997	0.0604512
90	0.660588	0.150984	0.999996	0.0618806
91	0.662746	0.154581	0.999995	0.0632258
92	0.664775	0.157964	0.999995	0.0645003
93	0.666697	0.161166	0.999994	0.0657158
94	0.668528	0.164219	0.999993	0.0668822
95	0.670284	0.167147	0.999992	0.0680079
96	0.671978	0.169972	0.999991	0.0691007
97	0.673623	0.172713	0.99999	0.0701673
98	0.675227	0.175388	0.999989	0.0712139
99	0.676801	0.178012	0.999988	0.0722464
100	0.678353	0.1806	0.999987	0.0732701
