Time	Values[V]	Values[N]	Values[M]
0	-50	6.14417e-06	0.00127102
1	-47.5816	7.39848e-06	0.00157381
2	-45.3818	1.05342e-05	0.00210198
3	-43.3758	1.53196e-05	0.00275193
4	-41.5424	2.19053e-05	0.00352275
5	-39.8622	3.05671e-05	0.00441856
6	-38.3179	4.16285e-05	0.00544235
7	-36.8936	5.5434e-05	0.00659588
8	-35.575	7.2339e-05	0.0078801
9	-34.3492	9.2709e-05	0.00929568
10	-33.2046	0.000116922	0.0108436
11	-32.1306	0.000145377	0.0125256
12	-31.1178	0.000178501	0.0143447
13	-30.1575	0.000216769	0.0163059
14	-29.2418	0.000260716	0.0184163
15	-28.3632	0.000310961	0.020686
16	-27.5151	0.000368237	0.0231286
17	-26.6909	0.000433424	0.0257619
18	-25.8844	0.000507593	0.0286089
19	-25.0893	0.000592072	0.0316991
20	-24.2996	0.000688515	0.0350704
21	-23.5087	0.00079902	0.0387708
22	-22.7098	0.000926277	0.0428624
23	-21.8953	0.00107378	0.0474253
24	-21.0566	0.00124615	0.0525644
25	-20.1838	0.00144958	0.0584191
26	-19.2648	0.00169258	0.0651773
27	-18.2846	0.00198708	0.0730974
28	-17.2244	0.00235031	0.0825427
29	-16.0591	0.00280798	0.0940369
30	-14.7552	0.00339991	0.108357
31	-13.2663	0.00419091	0.126689
32	-11.526	0.00529262	0.150907
33	-9.43796	0.00691186	0.18405
34	-6.85953	0.00946733	0.231114
35	-3.58608	0.0139014	0.300022
36	0.635504	0.0225651	0.401111
37	5.94635	0.0413555	0.538993
38	11.9055	0.0803983	0.693273
39	17.1771	0.142687	0.820508
40	20.3561	0.217353	0.896388
41	20.9911	0.291397	0.929094
42	19.5726	0.355717	0.934812
43	16.9412	0.405616	0.922604
44	13.8266	0.439009	0.895033
45	10.7002	0.455283	0.852698
46	7.79735	0.455765	0.797417
47	5.18879	0.443617	0.732933
48	2.85919	0.42255	0.663821
49	0.767195	0.39577	0.594224
50	-1.12341	0.365708	0.52732
51	-2.83353	0.334126	0.465349
52	-4.36836	0.302314	0.409805
53	-5.72046	0.271228	0.361605
54	-6.87383	0.24159	0.321196
55	-7.80805	0.213938	0.288653
56	-8.50156	0.188652	0.263797
57	-8.93339	0.165977	0.246332
58	-9.08292	0.146034	0.236007
59	-8.9276	0.128852	0.232792
60	-8.43855	0.1144	0.237072
61	-7.57414	0.102643	0.24989
62	-6.27182	0.093612	0.273278
63	-4.43892	0.0875376	0.310693
64	-1.94865	0.0851192	0.367299
65	1.33544	0.0881301	0.448969
66	5.44521	0.100522	0.557131
67	10.0485	0.128472	0.67896
68	14.2763	0.174716	0.787165
69	17.1239	0.233029	0.860761
70	18.1047	0.293514	0.898609
71	17.398	0.348177	0.909808
72	15.5433	0.392015	0.902051
73	13.1056	0.422331	0.87902
74	10.5076	0.438166	0.842501
75	7.99935	0.440357	0.794644
76	5.69224	0.43127	0.738735
77	3.61384	0.413873	0.678652
78	1.75608	0.390921	0.618026
79	0.104685	0.36463	0.559776
80	-1.34802	0.336686	0.506051
81	-2.5997	0.308355	0.458352
82	-3.63866	0.280592	0.417682
83	-4.44565	0.254121	0.384689
84	-4.99571	0.229491	0.359802
85	-5.25894	0.207111	0.343392
86	-5.19983	0.187291	0.335959
87	-4.77486	0.17028	0.338359
88	-3.92862	0.156336	0.352068
89	-2.59029	0.145837	0.379429
90	-0.676058	0.139496	0.42366
91	1.88678	0.138751	0.487923
92	5.08366	0.146309	0.572182
93	8.6692	0.166	0.668103
94	12.0716	0.19993	0.758344
95	14.5818	0.244862	0.826452
96	15.7473	0.293782	0.866873
97	15.5601	0.339873	0.883104
98	14.3345	0.378229	0.880567
99	12.4843	0.405888	0.863052
100	10.3683	0.421576	0.832977
