Time	[G-alpha]	[PLC]	[Calcium-Cyt]	[Calcium-ER]	[Calcium-mit]	[Enzyme]	[EnzCatlysedProduct]
0	0.01	0.01	0.01	10	0.001	0	0
1	0.0693858	0.0513191	0.000985458	10.0655	0.000999973	6.06741e-11	6.13658e-11
2	0.28323	0.237905	0.00419991	10.3673	0.00100064	1.84254e-09	6.77144e-10
3	0.910392	0.84229	0.0147856	11.3661	0.00101365	3.03578e-07	1.14448e-07
4	2.53822	2.54843	0.0522633	13.8446	0.00118188	4.46781e-05	1.64478e-05
5	6.11484	6.94039	0.285398	17.4407	0.00460375	0.024687	0.00689668
6	6.47811	13.3043	0.699786	12.9758	0.480864	3.02612	1.94968
7	4.83608	14.7591	0.337326	14.4847	0.487392	3.48397	3.5047
8	1.06189	11.141	0.0615249	17.8138	0.479049	2.39263	2.72616
9	0.000303818	4.73201	0.0135417	19.7983	0.476951	1.60386	1.84888
10	0.000856914	1.73263	0.00460917	20.7202	0.476253	1.0751	1.24041
11	0.00271117	0.59706	0.00157943	21.091	0.476013	0.72066	0.831527
12	0.00972075	0.207482	0.000652544	21.2297	0.475927	0.483073	0.557392
13	0.0390923	0.0986006	0.000733459	21.3145	0.475874	0.323814	0.373631
14	0.154322	0.152457	0.00231512	21.4956	0.475761	0.217059	0.250452
15	0.524878	0.480684	0.00812249	22.0854	0.475367	0.145499	0.167883
16	1.54626	1.49982	0.0274872	23.7298	0.474068	0.0975344	0.112537
17	4.03625	4.268	0.111104	26.8417	0.469911	0.0661569	0.0756965
18	7.34997	10.5257	2.21364	23.8161	0.556198	1.35204	0.524104
19	5.70771	13.5768	0.47258	18.3097	1.44067	2.74782	2.52988
20	3.76486	13.3687	0.201864	19.9738	1.38081	2.23324	2.45042
21	0.0268227	8.45031	0.0269409	22.8816	1.35885	1.50406	1.72814
22	0.000435543	3.32783	0.00922473	24.3404	1.35491	1.00821	1.16295
23	0.00128233	1.18379	0.00311965	25.0161	1.35354	0.675821	0.779775
24	0.00423359	0.404906	0.00109668	25.2738	1.35308	0.453016	0.52271
25	0.0159234	0.147268	0.000573586	25.3777	1.35289	0.303666	0.350384
26	0.0649707	0.0982702	0.00105309	25.4758	1.35272	0.203553	0.234869
27	0.244749	0.226058	0.00366945	25.7539	1.35221	0.136446	0.157438
28	0.786785	0.732868	0.0126059	26.6309	1.35046	0.0914626	0.105534
29	2.21907	2.21072	0.0436847	28.8483	1.34461	0.0613314	0.0707496
30	5.47199	6.07942	0.221273	31.6739	1.3229	0.0508102	0.0502511
31	5.69143	11.7616	0.386883	19.918	2.70111	2.42257	1.63591
32	5.17531	13.5322	0.367412	20.4312	2.54977	2.31931	2.33034
33	2.87423	12.1662	0.134334	22.5813	2.4558	1.68474	1.89914
34	0.000219893	6.51075	0.0195052	25.1063	2.43046	1.1305	1.30204
35	0.000592202	2.47023	0.00669699	26.2775	2.42525	0.757798	0.874263
36	0.00180266	0.863375	0.00227094	26.7943	2.42347	0.507967	0.58611
37	0.00617665	0.295648	0.000837175	26.9862	2.42285	0.340501	0.392885
38	0.0240724	0.116738	0.000595277	27.0748	2.42257	0.228244	0.263359
39	0.0976372	0.113473	0.00149992	27.2002	2.42217	0.152997	0.176535
40	0.351192	0.319874	0.00532059	27.5963	2.42086	0.102557	0.118335
41	1.08207	1.02587	0.0180449	28.7845	2.41635	0.0687466	0.0793224
42	2.94768	3.01077	0.0658524	31.4624	2.40105	0.0461891	0.0532098
43	6.74692	7.99054	0.49988	32.8596	2.33411	0.173772	0.0698732
44	5.64028	12.3023	0.40569	20.8748	3.79034	2.27877	2.02727
45	4.68802	13.3598	0.293347	21.5858	3.58315	2.02634	2.13559
46	1.99506	10.9495	0.0888051	24.12	3.4775	1.40497	1.60219
47	0.000281588	5.09829	0.0147923	26.2361	3.45502	0.941963	1.08591
48	0.000786416	1.88068	0.00502471	27.1958	3.44941	0.631417	0.72851
49	0.00246596	0.649803	0.00171567	27.5963	3.44751	0.423251	0.488365
50	0.00874894	0.224654	0.000685275	27.7454	3.44683	0.283714	0.327362
51	0.0349767	0.101221	0.000689777	27.8298	3.44645	0.190179	0.219437
52	0.139177	0.141193	0.00209498	27.9955	3.4457	0.127481	0.147093
53	0.479442	0.437973	0.00738013	28.535	3.44309	0.085453	0.0985996
54	1.42645	1.37613	0.0249553	30.0655	3.43424	0.0572833	0.0660942
55	3.76089	3.94321	0.0987529	33.0187	3.40321	0.0388935	0.0444726
56	7.21634	9.90292	2.10882	29.519	3.26005	1.10324	0.375282
57	5.51438	12.7115	0.401961	21.3212	4.69755	2.19398	2.11588
58	4.17341	13.0451	0.232832	22.4294	4.46124	1.80106	1.96036
59	1.07366	9.60222	0.0542576	25.1802	4.36078	1.22344	1.40305
60	0.000359152	4.01683	0.0113569	26.8928	4.34301	0.820116	0.945856
61	0.00103412	1.44937	0.00383795	27.6821	4.33761	0.54974	0.634294
62	0.00333691	0.497193	0.00132679	27.9947	4.33577	0.368502	0.425193
63	0.0122399	0.175591	0.000601618	28.1147	4.33509	0.247014	0.285016
64	0.0496975	0.0960175	0.000858395	28.2034	4.33459	0.165579	0.191052
65	0.192266	0.18229	0.00287885	28.4247	4.33331	0.110991	0.128066
66	0.636448	0.587013	0.0100013	29.1383	4.32884	0.0743993	0.0858453
67	1.83621	1.80292	0.0341051	31.0429	4.31379	0.0498798	0.057547
68	4.67494	5.05013	0.152022	33.997	4.25799	0.0359038	0.0393531
69	5.55626	11.0563	1.55465	21.4647	5.76595	2.18444	1.08587
70	5.31399	12.9941	0.377297	21.6126	5.41912	2.1139	2.11603
71	3.60029	12.5611	0.180912	23.1905	5.17847	1.61385	1.79596
72	0.176282	8.09007	0.0284415	25.9353	5.09403	1.08685	1.24999
73	0.000457787	3.17036	0.00876855	27.3248	5.0797	0.728541	0.840422
74	0.00135532	1.12411	0.00296225	27.9703	5.07482	0.488356	0.563477
75	0.00450133	0.384365	0.00104722	28.2159	5.07316	0.327355	0.377717
76	0.0170356	0.1412	0.000571978	28.3166	5.07249	0.219432	0.253191
77	0.0695202	0.0997532	0.00111414	28.4181	5.07182	0.14709	0.169719
78	0.259987	0.239145	0.00390478	28.7131	5.0698	0.0985974	0.113766
79	0.829738	0.775002	0.0133807	29.6368	5.06278	0.066092	0.0762598
80	2.32677	2.32708	0.0467035	31.9309	5.0391	0.0443314	0.0511291
81	5.678	6.36475	0.250766	34.4656	4.94366	0.0447176	0.03849
82	5.4939	11.5909	0.353235	21.283	6.3417	2.27418	1.71561
83	5.04135	13.1389	0.337877	21.9054	5.98115	2.01213	2.0728
84	2.9527	11.8871	0.136015	23.9406	5.75504	1.45314	1.64092
85	0.000232229	6.58577	0.0198012	26.4623	5.69086	0.975429	1.12353
86	0.000584332	2.50236	0.00679615	27.6364	5.67843	0.65385	0.754345
87	0.00177619	0.875173	0.0023032	28.1592	5.6742	0.438289	0.505713
88	0.006076	0.299621	0.000846688	28.3537	5.67274	0.293794	0.338993
89	0.023647	0.117748	0.000592963	28.4428	5.67208	0.196936	0.227234
90	0.0959693	0.112503	0.00147734	28.5667	5.67116	0.13201	0.152319
91	0.3459	0.3151	0.00524028	28.9571	5.66812	0.088489	0.102103
92	1.0676	1.01136	0.0177811	30.131	5.65768	0.0593166	0.0684417
93	2.91244	2.97149	0.0647806	32.7854	5.62205	0.0398614	0.0459139
94	6.68544	7.89695	0.488949	34.1061	5.45785	0.159285	0.0624252
95	5.52117	12.0717	0.377891	21.516	6.79046	2.18464	1.96831
96	4.69784	13.1333	0.291014	22.2667	6.41576	1.88584	1.99654
97	2.22184	11.0079	0.0974068	24.6852	6.21647	1.31321	1.4965
98	0.0002693	5.32673	0.0155554	26.8814	6.17083	0.880563	1.01506
99	0.000747619	1.97402	0.00528877	27.8733	6.16028	0.590259	0.68102
100	0.00233199	0.683244	0.0018028	28.2927	6.15671	0.395662	0.456531
