Time	[IX]	[IX_TF_VIIa]	[TF_VIIa]	[IXa]	[X]	[X_TF_VIIa]	[Xa]	[VIIIa_IXa]	[X_VIIIa_IXa]	[V]	[Va]	[VIII]	[VIIIa]	[IIa]	[II]	[II_Va_Xa]	[Va_Xa]	[mIIa]	Values[I]
0	9e-08	0	5e-09	0	1.7e-07	0	0	0	0	2e-08	0	7e-10	0	0	1.4e-06	0	0	0	0
1	8.86375e-08	1.05048e-09	2.87974e-09	3.12061e-10	1.67708e-07	1.06978e-09	1.21546e-09	1.41048e-15	1.91604e-15	1.97577e-08	2.35237e-10	6.95714e-10	4.2825e-12	9.17958e-17	1.39997e-06	4.01179e-12	3.03473e-12	2.66611e-11	-1.20651e-17
2	8.83079e-08	1.04903e-09	2.88649e-09	6.42972e-10	1.66486e-07	1.06448e-09	2.34579e-09	2.27702e-14	3.63803e-14	1.89612e-08	9.34764e-10	6.79763e-10	2.0178e-11	7.1629e-14	1.39916e-06	5.96814e-11	4.43362e-11	7.82751e-10	-3.61571e-16
3	8.79694e-08	1.04749e-09	2.89332e-09	9.82725e-10	1.65269e-07	1.0592e-09	3.15795e-09	1.52912e-13	2.53807e-13	1.70114e-08	2.47465e-09	6.27135e-10	7.24586e-11	3.79143e-12	1.39399e-06	2.95119e-10	2.18798e-10	5.71167e-09	-3.23463e-15
4	8.76245e-08	1.04587e-09	2.90022e-09	1.32759e-09	1.64053e-07	1.05391e-09	3.22193e-09	7.66896e-13	1.29704e-12	1.22333e-08	6.09639e-09	4.65991e-10	2.31945e-10	6.81893e-11	1.37483e-06	9.54938e-10	7.15398e-10	2.41451e-08	-1.91522e-14
5	8.72776e-08	1.04424e-09	2.90722e-09	1.67052e-09	1.62823e-07	1.04854e-09	2.41635e-09	2.78742e-12	4.86762e-12	4.67889e-09	1.16134e-08	1.83398e-10	5.08947e-10	6.18377e-10	1.3256e-06	2.08984e-09	1.61783e-09	7.16943e-08	-8.56517e-14
6	8.69301e-08	1.04266e-09	2.91441e-09	2.00849e-09	1.61551e-07	1.04293e-09	1.81736e-09	6.6834e-12	1.21081e-11	4.82545e-10	1.39408e-08	1.93073e-11	6.61901e-10	2.97244e-09	1.24102e-06	3.05765e-09	2.51902e-09	1.5295e-07	-2.76529e-13
7	8.65783e-08	1.04111e-09	2.92192e-09	2.34726e-09	1.60214e-07	1.03697e-09	1.85839e-09	1.16991e-11	2.16127e-11	7.23297e-12	1.31239e-08	2.94657e-13	6.66394e-10	8.90041e-09	1.13293e-06	3.61262e-09	3.25626e-09	2.54556e-07	-6.59542e-13
8	8.62191e-08	1.03959e-09	2.9298e-09	2.69149e-09	1.588e-07	1.03061e-09	2.18965e-09	1.74378e-11	3.2384e-11	1.08102e-14	1.20529e-08	4.49328e-16	6.50178e-10	2.01614e-08	1.01111e-06	3.95483e-09	3.99229e-09	3.64777e-07	-1.27789e-12
9	8.58504e-08	1.03808e-09	2.93813e-09	3.04345e-09	1.573e-07	1.02379e-09	2.66026e-09	2.38523e-11	4.42422e-11	1.29183e-18	1.10287e-08	5.50012e-20	6.31905e-10	3.87281e-08	8.80755e-07	4.15635e-09	4.81494e-09	4.7636e-07	-2.16945e-12
10	8.54702e-08	1.03659e-09	2.94694e-09	3.40516e-09	1.55707e-07	1.01647e-09	3.25816e-09	3.092e-11	5.70841e-11	-3.98175e-21	1.00386e-08	-1.65592e-22	6.11996e-10	6.67714e-08	7.46427e-07	4.20948e-09	5.75191e-09	5.82592e-07	-3.37249e-12
11	8.50767e-08	1.03509e-09	2.9563e-09	3.77881e-09	1.54013e-07	1.00861e-09	4.0021e-09	3.86179e-11	7.08019e-11	-6.75645e-21	9.09431e-09	-2.80316e-22	5.9058e-10	1.06411e-07	6.13192e-07	4.09631e-09	6.80939e-09	6.763e-07	-4.92592e-12
12	8.46675e-08	1.03358e-09	2.96624e-09	4.16672e-09	1.52212e-07	1.00019e-09	4.91504e-09	4.69229e-11	8.52824e-11	6.22243e-24	8.21266e-09	2.77557e-25	5.67795e-10	1.59309e-07	4.86548e-07	3.80924e-09	7.9781e-09	7.50334e-07	-6.86929e-12
13	8.42406e-08	1.03203e-09	2.97681e-09	4.57116e-09	1.503e-07	9.91158e-10	6.01531e-09	5.58114e-11	1.00407e-10	-1.16812e-24	7.40693e-09	-4.4562e-26	5.43781e-10	2.26144e-07	3.71794e-07	3.36766e-09	9.22542e-09	7.98694e-07	-9.24281e-12
14	8.37941e-08	1.03044e-09	2.98806e-09	4.99415e-09	1.48273e-07	9.81499e-10	7.3118e-09	6.52583e-11	1.16052e-10	-1.43063e-25	6.68191e-09	-5.21935e-27	5.1869e-10	3.06132e-07	2.73171e-07	2.81783e-09	1.05003e-08	8.17879e-07	-1.20874e-11
15	8.33267e-08	1.0288e-09	3.00002e-09	5.43718e-09	1.46127e-07	9.71184e-10	8.80269e-09	7.52357e-11	1.32083e-10	1.39823e-25	6.0328e-09	5.33718e-27	4.92681e-10	3.96822e-07	1.93026e-07	2.22741e-09	1.17398e-08	8.07924e-07	-1.54444e-11
16	8.28377e-08	1.02709e-09	3.01272e-09	5.90116e-09	1.43861e-07	9.60191e-10	1.04789e-08	8.57122e-11	1.48362e-10	1.19487e-26	5.44873e-09	4.70115e-28	4.65926e-10	4.94394e-07	1.31455e-07	1.66581e-09	1.28855e-08	7.72485e-07	-1.93558e-11
17	8.23268e-08	1.02532e-09	3.02617e-09	6.38645e-09	1.41475e-07	9.48503e-10	1.23301e-08	9.66513e-11	1.64737e-10	2.76011e-27	4.91865e-09	1.01286e-28	4.38612e-10	5.944e-07	8.65961e-08	1.18399e-09	1.38974e-08	7.1782e-07	-2.38639e-11
18	8.17943e-08	1.02348e-09	3.04041e-09	6.89313e-09	1.3897e-07	9.36107e-10	1.43486e-08	1.08011e-10	1.81051e-10	-1.35974e-28	4.43556e-09	-5.1879e-30	4.10937e-10	6.92614e-07	5.5428e-08	8.05232e-10	1.47592e-08	6.51152e-07	-2.90112e-11
