Time	[TGF_beta_ex]	[T1R_surf]	[T1R_endo]	[T2R_surf]	[T2R_endo]	[LRC_surf]	[LRC_endo]	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[PSmad2c]	[PSmad2_PSmad2_c]	[PSmad2_Smad4_c]	[PSmad2n]	[PSmad2_PSmad2_n]	[PSmad2_Smad4_n]	[TGF_beta_endo]	[TGF_beta_ns]	[AA]	[empty_degraded]
0	0.05	0.702494	6.52344	0.201077	1.43997	0	0	60.6	28.5	50.8	50.8	0	0	0	0	0	0	0	0	0	0
1	0.0486999	0.525562	6.47926	0.0241469	1.39599	0.176352	0.0447418	60.5472	28.4939	50.7641	50.7888	0.0139143	6.32716e-06	0.0327691	0.00160787	2.14164e-06	0.0184675	0.000745553	0.00105765	0	0
2	0.0485111	0.520919	6.42499	0.0195187	1.34246	0.178759	0.10087	60.348	28.4594	50.5955	50.7598	0.0408571	9.08651e-05	0.144566	0.0151043	6.81645e-05	0.178014	0.00328834	0.00118765	0	0
3	0.0484432	0.520285	6.37446	0.0189241	1.29318	0.175241	0.153957	60.0123	28.3804	50.2983	50.7	0.071943	0.000350008	0.295334	0.0494223	0.00046598	0.574621	0.00710871	0.00120268	0	0
4	0.0483913	0.519779	6.32772	0.018489	1.24818	0.169445	0.203114	59.5576	28.2552	49.8898	50.6059	0.104428	0.000830489	0.459495	0.106986	0.00181846	1.23081	0.0116989	0.00120346	0	0
5	0.0483427	0.519279	6.2845	0.018095	1.20709	0.161465	0.247796	59.0017	28.0875	49.3875	50.4795	0.136945	0.00153817	0.624443	0.186869	0.00520458	2.13303	0.016677	0.00120249	0	0
6	0.0482956	0.518777	6.24444	0.0177361	1.16956	0.151569	0.287531	58.3629	27.8828	48.8095	50.3256	0.168668	0.00245432	0.783303	0.286617	0.0121056	3.25095	0.021754	0.00120134	0	0
7	0.0482498	0.518272	6.20723	0.017409	1.13521	0.140278	0.322	57.6595	27.6476	48.174	50.1499	0.199029	0.00354534	0.931926	0.403068	0.0242139	4.54654	0.0267109	0.00120019	0	0
8	0.0482051	0.517759	6.17253	0.0171103	1.10367	0.128264	0.351096	56.9095	27.3887	47.4984	49.9589	0.227634	0.0047692	1.06777	0.532773	0.0431867	5.97889	0.0313853	0.00119906	0	0
9	0.0481615	0.517238	6.14003	0.0168366	1.07461	0.116219	0.374941	56.1297	27.1126	46.7992	49.7585	0.25423	0.00608094	1.18948	0.672262	0.0704146	7.50746	0.0356627	0.00119797	0	0
10	0.0481187	0.516708	6.10941	0.0165848	1.0477	0.104736	0.393864	55.3352	26.8253	46.0911	49.5538	0.278697	0.00743758	1.29668	0.818235	0.106853	9.09432	0.039471	0.00119689	0	0
11	0.0480769	0.516167	6.08041	0.0163519	1.02264	0.0942352	0.408346	54.5387	26.5322	45.3864	49.3489	0.301024	0.00880192	1.38977	0.967701	0.152937	10.7058	0.0427746	0.00119584	0	0
12	0.0480359	0.515615	6.05279	0.0161354	0.999184	0.0849423	0.418949	53.751	26.2381	44.6953	49.147	0.321288	0.0101446	1.46971	1.11807	0.208579	12.3135	0.045568	0.00119481	0	0
13	0.0479956	0.515051	6.02635	0.015933	0.977105	0.0769145	0.426255	52.9802	25.9468	44.0254	48.9502	0.339621	0.0114446	1.5378	1.26721	0.273231	13.8944	0.0478686	0.0011938	0	0
